00100394 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100fb9 string-utf8 _ITM_deregisterTMCloneTable
00100fd5 string-utf8 __gmon_start__
00100fe4 string-utf8 _ITM_registerTMCloneTable
00100ffe string-utf8 wi_close
00101007 string-utf8 wi_get_mac
00101012 string-utf8 wi_read
0010101a string-utf8 wi_set_channel
00101029 string-utf8 wi_write
00101032 string-utf8 wi_fd
00101038 string-utf8 wi_get_channel
00101047 string-utf8 wi_set_freq
00101053 string-utf8 wi_open
0010105b string-utf8 pcre2_match_data_free_8
00101073 string-utf8 pcre2_compile_8
00101083 string-utf8 pcre2_get_error_message_8
0010109d string-utf8 pcre2_match_data_create_from_pattern_8
001010c4 string-utf8 pcre2_code_free_8
001010d6 string-utf8 pcre2_match_8
001010e4 string-utf8 EVP_EncryptUpdate
001010f6 string-utf8 EVP_DigestInit_ex
00101108 string-utf8 ERR_get_error
00101116 string-utf8 EVP_CIPHER_CTX_set_padding
00101131 string-utf8 EVP_aes_256_ecb
00101141 string-utf8 EVP_MD_CTX_new
00101150 string-utf8 EVP_md5
00101158 string-utf8 EVP_sha1
00101161 string-utf8 EVP_DigestFinal_ex
00101174 string-utf8 EVP_EncryptInit_ex
00101187 string-utf8 EVP_aes_192_ecb
00101197 string-utf8 EVP_DigestUpdate
001011a8 string-utf8 EVP_CIPHER_CTX_new
001011bb string-utf8 OSSL_PROVIDER_load
001011ce string-utf8 EVP_aes_128_ecb
001011de string-utf8 EVP_MD_CTX_copy
001011ee string-utf8 EVP_MD_CTX_free
001011fe string-utf8 EVP_CIPHER_CTX_free
00101212 string-utf8 EVP_EncryptFinal_ex
00101226 string-utf8 ERR_error_string
00101237 string-utf8 optind
0010123e string-utf8 nl_langinfo
0010124a string-utf8 fgets
00101250 string-utf8 stdin
00101256 string-utf8 sleep
0010125c string-utf8 perror
00101263 string-utf8 strncpy
0010126b string-utf8 __ctype_toupper_loc
0010127f string-utf8 __stack_chk_fail
00101290 string-utf8 __printf_chk
0010129d string-utf8 exit
001012a2 string-utf8 __fdelt_chk
001012ae string-utf8 __assert_fail
001012bc string-utf8 __isoc23_fscanf
001012cc string-utf8 getc
001012d1 string-utf8 strdup
001012d8 string-utf8 putchar
001012e0 string-utf8 fflush
001012e7 string-utf8 memmove
001012ef string-utf8 gettimeofday
001012fc string-utf8 strtol
00101303 string-utf8 fopen
00101309 string-utf8 __isoc23_sscanf
00101319 string-utf8 socket
00101320 string-utf8 fork
00101325 string-utf8 strlen
0010132c string-utf8 __ctype_b_loc
0010133a string-utf8 __memcpy_chk
00101347 string-utf8 strstr
0010134e string-utf8 strnlen
00101356 string-utf8 wait
0010135b string-utf8 gethostbyname
00101369 string-utf8 __vfprintf_chk
00101378 string-utf8 feof
0010137d string-utf8 stdout
00101384 string-utf8 rand
00101389 string-utf8 optarg
00101390 string-utf8 realloc
00101398 string-utf8 __fprintf_chk
001013a6 string-utf8 malloc
001013ad string-utf8 __libc_start_main
001013bf string-utf8 stderr
001013c6 string-utf8 getopt
001013cd string-utf8 __read_chk
001013d8 string-utf8 inet_aton
001013e2 string-utf8 __cxa_finalize
001013f1 string-utf8 localtime
001013fb string-utf8 setlocale
00101405 string-utf8 strchr
0010140c string-utf8 kill
00101411 string-utf8 calloc
00101418 string-utf8 fsync
0010141e string-utf8 memcmp
00101425 string-utf8 fclose
0010142c string-utf8 __asprintf_chk
0010143b string-utf8 memset
00101442 string-utf8 fputc
00101448 string-utf8 tcgetattr
00101452 string-utf8 fputs
00101458 string-utf8 signal
0010145f string-utf8 connect
00101467 string-utf8 __isoc99_sscanf
00101477 string-utf8 __snprintf_chk
00101486 string-utf8 tcsetattr
00101490 string-utf8 memcpy
00101497 string-utf8 getcwd
0010149e string-utf8 fwrite
001014a5 string-utf8 select
001014ac string-utf8 strcmp
001014b3 string-utf8 qsort
001014b9 string-utf8 __errno_location
001014ca string-utf8 abort
001014d0 string-utf8 pipe
001014d5 string-utf8 lseek
001014db string-utf8 tcgetpgrp
001014e5 string-utf8 fstat
001014eb string-utf8 strncmp
001014f3 string-utf8 warnx
001014f9 string-utf8 errx
001014fe string-utf8 libaircrack-osdep-1.7.0.so
00101519 string-utf8 libpcre2-8.so.0
00101529 string-utf8 libcrypto.so.3
00101538 string-utf8 libc.so.6
00101542 string-utf8 OPENSSL_3.0.0
00101550 string-utf8 GLIBC_2.33
0010155b string-utf8 GLIBC_2.15
00101566 string-utf8 GLIBC_2.8
00101570 string-utf8 GLIBC_2.4
0010157a string-utf8 GLIBC_2.7
00101584 string-utf8 GLIBC_2.14
0010158f string-utf8 GLIBC_2.34
0010159a string-utf8 GLIBC_2.38
001015a5 string-utf8 GLIBC_2.3
001015af string-utf8 GLIBC_2.2.5
001015bb string-utf8 GLIBC_2.3.4
00111004 string Pre-condition Failed: %s 
0011101e string l >= (p - start)
0011102f string src/besside-ng/besside-ng.c
0011104b string FAILED:%s:%d: %s 
0011105d string fd != -1
00111066 string localtime()
00111072 string [%.2d:%.2d:%.2d] 
00111084 string 1.7.0
0011108a string Besside-ng
00111095 string mac_string != NULL
001110a8 string wi_write()
001110b3 string Can't resolve %s 
001110c5 string socket()
001110ce string Can't connect to %s 
001110e3 string fstat()
001110eb string lseek()
001110f8 string Uploaded WPA handshake to %s 
00111116 string WPA handshake upload failed 
00111133 string fname != NULL
00111141 string Appending to %s 
00111152 string open(%s)
0011115b string malloc()
00111164 string Associating... 
00111174 string dunno
00111187 string WPA-SECURE
00111192 string %.2X:%.2X:%.2X:%.2X:%.2X:%.2X
001111b2 string Resuming from %s 
001111c4 string parse_hex len
001111d5 string parse_hex()
001111e1 string Sending deauth to %s 
001111f7 string arg != NULL
0011120a string n->n_client_mac != NULL
00111222 string Found MAC %s for %s 
00111237 string Authenticating... 
0011124c string fopen()
00111254 string # SSID              
00111269 string              | MAC filter 
00111284 string Got WPA handshake
0011129b string  | %s
001112a5 string mac_address != NULL
001112b9 string TO-OWN
001112c0 string  OWNED
001112c7 string  UNREACH
001112d0 string wi_set_channel()
001112e1 string Pwning [%s] %s on chan %d 
001112fc string Giving up on %s for now 
00111315 string Sending ping to %s 
00111329 string Found SSID [%s] for %s 
00111341 string *p == IEEE80211_ELEMID_SSID
0011135d string origlen == 0 || p[0] == 0
00111377 string  bad grab_hidden_ssid
00111391 string attack_watchdog
001113a1 string deauth
001113a8 string UNKNOWN
001113b0 string State:	%d 
001113bb string  KEY [
001113c2 string Current chan: %d 
001113d4 string Hop cycle %u chans:
001113e8 string Now: %lu.%lu 
001113f6 string Timer: %lu.%lu %p[%s](%p) 
00111411 string  Dying...
0011141b string wpa.cap
00111423 string wep.cap
0011142b string besside.log
00111437 string Invalid channel, must be > 0
00111454 string hb:vWs:c:p:R:
00111462 string Gimme an interface name dude
0011147f string wi_open()
00111489 string wi_get_mac()
00111496 string mac %s 
0011149e string Let's ride 
001114aa string Logging to %s 
001114b9 string All neighbors owned 
001114ce string select()
001114d7 string rc <= (int) sizeof(n->n_key)
001114f4 string Got key for %s [
00111505 string ] %d IVs 
0011150f string  Scanning chan %.2d
00111523 string  Attacking [%s] %s - %s
0011153b string  [conn: %s]
00111547 string  cracking
00111551 string  (know %d clients)
00111564 string ri != NULL
0011156f string wi_read()
0011157d string Can't attack %s 
0011158e string  Bad beacon
0011159a string Bad auth
001115a3 string MAC address filter on %s 
001115bd string Ping reply %s 
001115cc string Authenticated 
001115db string Bad assoc resp
001115ea string Associated to %s AID [%d] 
00111605 string Assoc died %d 
00111614 string Got deauth for %s 
00111627 string UNHANDLED MGMT %d 
0011163a string PTW_newattackstate()
0011164f string pipe()
00111656 string fork()
0011165d string Unknown type %d 
00111673 string ASSOC
0011167e string READY
00111684 string DEAUTH
0011168b string WPA_CRACK
00111695 string GET REPLAY
001116a0 string FLOOD
001116ab string legacy
001116b2 string default
001116ba string key != NULL
001116c6 string essid_pre != NULL
001116d8 string ap != NULL
001116e3 string buf != NULL
001116ef string data != NULL
001116fc string wh != NULL
00111707 string clear != NULL
00111715 string clen != NULL
00111722 string wpa != NULL
0011172e string Blub 2:
00111736 string %02X 
0011173c string Blub 1:
00111744 string Blub 3:
0011174c string packet != NULL
0011175b string h80211 != NULL
0011176a string aes_ctx != NULL
0011177a string src != NULL
00111786 string *dst != NULL
00111793 string Digest_SHA1_Create() failed
001117af string Digest_SHA1_Init() failed
001117c9 string Digest_SHA1_Update() failed
001117e5 string Digest_SHA1_Finish() failed
00111801 string out of memory
0011180f string failed to AES encrypt data
0011182a string Digest_MD5_Create() failed
00111845 string Digest_MD5_Init() failed
0011185e string Digest_MD5_Update() failed
00111879 string Digest_MD5_Finish() failed
00111894 string iv != NULL
0011189f string state != NULL
001118ad string key != NULL && keylen > 0
001118c7 string keybyte >= 0
001118d4 string inb != NULL
001118e0 string ina != NULL
001118ec string keystream != NULL
001118fe string weight != NULL
0011190d string tmp_allsessions != NULL
00111925 string lib/ptw/aircrack-ptw-lib.c
00111940 string state->allsessions != NULL
0011195b string %d day%s, 
00111966 string %d hour%s, 
00111972 string %d minute%s, 
00111980 string %3.2f%%
00111988 string %d second%s
00111994 string %*s %s 
0011199c string fopen fails on /proc/meminfo
001119b9 string MemTotal
001119c2 string %100s %d
001119cb string %s %u.%u
001119d4 string asprintf failed to allocate
001119f0 string %s.%u
001119f6 string %s rc%u
001119fe string %s beta%u
00111a08 string rev_tmp != NULL
00111a18 string lib/libac/support/common.c
00111a38 string %s %s
00111a3e string /proc/stat
