00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100629 string-utf8 g_free
00100630 string-utf8 g_print
00100638 string-utf8 __gmon_start__
00100647 string-utf8 g_object_unref
00100656 string-utf8 _ITM_deregisterTMCloneTable
00100672 string-utf8 _ITM_registerTMCloneTable
0010068c string-utf8 g_error_free
00100699 string-utf8 g_file_new_for_path
001006ad string-utf8 g_log
001006b3 string-utf8 cd_icc_to_string
001006c4 string-utf8 cd_icc_new
001006cf string-utf8 cd_icc_load_file
001006e0 string-utf8 g_option_context_free
001006f6 string-utf8 g_option_context_new
0010070b string-utf8 g_set_application_name
00100722 string-utf8 g_option_context_parse
00100739 string-utf8 cmsSetLogErrorHandler
0010074f string-utf8 dcgettext
00100759 string-utf8 __stack_chk_fail
0010076a string-utf8 bind_textdomain_codeset
00100782 string-utf8 bindtextdomain
00100791 string-utf8 __libc_start_main
001007a3 string-utf8 __cxa_finalize
001007b2 string-utf8 setlocale
001007bc string-utf8 libcolord.so.2
001007cb string-utf8 libgio-2.0.so.0
001007db string-utf8 libgobject-2.0.so.0
001007ef string-utf8 libglib-2.0.so.0
00100800 string-utf8 liblcms2.so.2
0010080e string-utf8 libc.so.6
00100818 string-utf8 GLIBC_2.34
00100823 string-utf8 GLIBC_2.4
0010082d string-utf8 GLIBC_2.2.5
00100839 string-utf8 XXXXXXXXXXXXXXXXXXXXX
00102004 string LCMS error %u: %s
00102019 string share/locale
00102026 string colord
0010202d string UTF-8
00102033 string ICC profile dump program
0010204c string Failed to parse arguments
00102066 string %s: %s 
0010206e string Failed to dump %s: %s
001020c1 string zR
001020f1 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/colord.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .note.gnu.property
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
.shstrtab::000000f8 string-utf8 .gnu_debugaltlink
.shstrtab::0000010a string-utf8 .gnu_debuglink
