001003ac TerminatedCString /lib64/ld-linux-x86-64.so.2
001006f1 string-utf8 _ITM_deregisterTMCloneTable
0010070d string-utf8 __gmon_start__
0010071c string-utf8 _ITM_registerTMCloneTable
00100736 string-utf8 tigetstr
0010073f string-utf8 setupterm
00100749 string-utf8 use_tioctl
00100754 string-utf8 use_env
0010075c string-utf8 curses_version
0010076b string-utf8 cur_term
00100774 string-utf8 tputs
0010077a string-utf8 _nc_rootname
00100787 string-utf8 optind
0010078e string-utf8 exit
00100793 string-utf8 stdout
0010079a string-utf8 optarg
001007a1 string-utf8 __fprintf_chk
001007af string-utf8 open
001007b4 string-utf8 __libc_start_main
001007c6 string-utf8 stderr
001007cd string-utf8 getopt
001007d4 string-utf8 __cxa_finalize
001007e3 string-utf8 strerror
001007ec string-utf8 getenv
001007f3 string-utf8 fputc
001007f9 string-utf8 tcgetattr
00100803 string-utf8 tcsetattr
0010080d string-utf8 fileno
00100814 string-utf8 fwrite
0010081b string-utf8 __errno_location
0010082c string-utf8 libtinfo.so.6
0010083a string-utf8 libc.so.6
00100844 string-utf8 NCURSES6_TINFO_5.3.20021019
00100860 string-utf8 NCURSES6_TINFO_5.9.20150530
0010087c string-utf8 NCURSES6_TINFO_5.0.19991023
00100898 string-utf8 GLIBC_2.3.4
001008a4 string-utf8 GLIBC_2.34
001008af string-utf8 GLIBC_2.2.5
00102004 string Usage: %s [options] 
00102023 string clear
0010202c string /dev/tty
00102035 string terminal attributes
00102049 string %s: %s: %s 
00102060 string  Options:   -T TERM     use this instead of $TERM   -V          print curses-version   -x          do not try to clear scrollback 
00102149 string zR
00102179 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/ncurses-bin.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .sframe
.shstrtab::000000b3 string-utf8 .note.gnu.property
.shstrtab::000000c6 string-utf8 .note.ABI-tag
.shstrtab::000000d4 string-utf8 .init_array
.shstrtab::000000e0 string-utf8 .fini_array
.shstrtab::000000ec string-utf8 .dynamic
.shstrtab::000000f5 string-utf8 .data
.shstrtab::000000fb string-utf8 .bss
.shstrtab::00000100 string-utf8 .gnu_debugaltlink
.shstrtab::00000112 string-utf8 .gnu_debuglink
