00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
001010c9 string-utf8 _ITM_deregisterTMCloneTable
001010e5 string-utf8 __gmon_start__
001010f4 string-utf8 _ITM_registerTMCloneTable
0010110e string-utf8 _ZNSt12_Vector_baseIdSaIdEED2Ev
0010112e string-utf8 _ZNKSt5ctypeIcE8do_widenEc
00101149 string-utf8 _Z10set_rtodmsii
0010115a string-utf8 _ZN5osgeo4proj8internal8toStringB5cxx11Edi
00101185 string-utf8 proj_get_name
00101193 string-utf8 proj_list_operations
001011a8 string-utf8 proj_context_use_proj4_init_rules
001011ca string-utf8 proj_area_destroy
001011dc string-utf8 _ZN5osgeo4proj8metadata10Identifier16isEquivalentNameEPKcS4_
00101219 string-utf8 _ZNSt16_Sp_counted_baseILN9__gnu_cxx12_Lock_policyE2EE10_M_releaseEv
0010125e string-utf8 _ZNK5osgeo4proj8metadata6Extent18geographicElementsEv
00101294 string-utf8 _Z25pj_add_type_crs_if_neededRKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE
001012e8 string-utf8 proj_unit_list_destroy
001012ff string-utf8 _ZN5osgeo4proj8internal7ci_findERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEPKc
00101359 string-utf8 _Z6dmstorPKcPPc
00101369 string-utf8 _Z38pj_stderr_proj_lib_deprecation_warningv
00101395 string-utf8 proj_create
001013a1 string-utf8 proj_area_set_bbox
001013b4 string-utf8 proj_list_ellps
001013c4 string-utf8 _ZNSt16_Sp_counted_baseILN9__gnu_cxx12_Lock_policyE2EE10_M_destroyEv
00101409 string-utf8 proj_cs_get_axis_count
00101420 string-utf8 _Z18pj_get_default_ctxv
00101438 string-utf8 _ZNK5osgeo4proj8metadata21GeographicBoundingBox18eastBoundLongitudeEv
0010147e string-utf8 proj_get_source_crs
00101492 string-utf8 _ZN5osgeo4proj2io16AuthorityFactory6createERKN7dropbox6oxygen2nnISt10shared_ptrINS1_15DatabaseContextEEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE
00101532 string-utf8 proj_coordinate_metadata_create
00101552 string-utf8 _ZN5osgeo4proj2io15DatabaseContext6createERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEERKSt6vectorIS8_SaIS8_EEP6pj_ctx
001015d2 string-utf8 proj_destroy
001015df string-utf8 _ZTIN5osgeo4proj8metadata16GeographicExtentE
0010160c string-utf8 proj_area_create
0010161d string-utf8 _ZNSt6vectorINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EED1Ev
0010166b string-utf8 _ZNSt16_Sp_counted_baseILN9__gnu_cxx12_Lock_policyE2EE24_M_release_last_use_coldEv
001016be string-utf8 _Z6rtodmsPcmdii
001016ce string-utf8 _ZNSt15_Sp_counted_ptrIDnLN9__gnu_cxx12_Lock_policyE2EE10_M_disposeEv
00101714 string-utf8 proj_get_id_code
00101725 string-utf8 _ZNSt12_Vector_baseIdSaIdEED1Ev
00101745 string-utf8 proj_trans
00101750 string-utf8 _ZN5osgeo4proj8internal13c_locale_stodERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE
001017ae string-utf8 proj_crs_promote_to_3D
001017c5 string-utf8 _ZNSt16_Sp_counted_baseILN9__gnu_cxx12_Lock_policyE2EE15_M_add_ref_copyEv
0010180f string-utf8 proj_cleanup
0010181c string-utf8 _ZNK5osgeo4proj2io16AuthorityFactory12createExtentERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE
00101886 string-utf8 _ZNK5osgeo4proj2io16AuthorityFactory21listAreaOfUseFromNameERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEb
001018fa string-utf8 proj_errno_string
0010190c string-utf8 proj_context_get_use_proj4_init_rules
00101932 string-utf8 proj_context_errno
