00100394 TerminatedCString /lib64/ld-linux-x86-64.so.2
001005b9 string-utf8 perror
001005c0 string-utf8 free
001005c5 string-utf8 fread
001005cb string-utf8 fopen
001005d1 string-utf8 strlen
001005d8 string-utf8 __sprintf_chk
001005e6 string-utf8 __fprintf_chk
001005f4 string-utf8 malloc
001005fb string-utf8 __libc_start_main
0010060d string-utf8 stderr
00100614 string-utf8 __cxa_finalize
00100623 string-utf8 ftell
00100629 string-utf8 fclose
00100630 string-utf8 fwrite
00100637 string-utf8 strcmp
0010063e string-utf8 fseek
00100644 string-utf8 libc.so.6
0010064e string-utf8 GLIBC_2.3.4
0010065a string-utf8 GLIBC_2.34
00100665 string-utf8 GLIBC_2.2.5
00100671 string-utf8 _ITM_deregisterTMCloneTable
0010068d string-utf8 __gmon_start__
0010069c string-utf8 _ITM_registerTMCloneTable
00102008 string Usage:  %s crw_0001.crw crw_0002.crw ... 
00102035 string Cannot open file! 
00102048 string Cannot allocate memory! 
00102061 string %s.clean
0010206a string %s is not a CRW file! 
00102081 string Failed to clean %s 
00102095 string Writing %s 
001020f9 string zR
00102129 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/dcraw.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.property
.shstrtab::0000001e string-utf8 .note.gnu.build-id
.shstrtab::00000031 string-utf8 .interp
.shstrtab::00000039 string-utf8 .gnu.hash
.shstrtab::00000043 string-utf8 .dynsym
.shstrtab::0000004b string-utf8 .dynstr
.shstrtab::00000053 string-utf8 .gnu.version
.shstrtab::00000060 string-utf8 .gnu.version_r
.shstrtab::0000006f string-utf8 .rela.dyn
.shstrtab::00000079 string-utf8 .rela.plt
.shstrtab::00000083 string-utf8 .init
.shstrtab::00000089 string-utf8 .plt.got
.shstrtab::00000092 string-utf8 .text
.shstrtab::00000098 string-utf8 .fini
.shstrtab::0000009e string-utf8 .rodata
.shstrtab::000000a6 string-utf8 .eh_frame_hdr
.shstrtab::000000b4 string-utf8 .eh_frame
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
.shstrtab::000000f8 string-utf8 .gnu_debugaltlink
.shstrtab::0000010a string-utf8 .gnu_debuglink
