00100318 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100ce1 string-utf8 __gmon_start__
00100cf0 string-utf8 _ITM_deregisterTMCloneTable
00100d0c string-utf8 _ITM_registerTMCloneTable
00100d26 string-utf8 g_strrstr
00100d30 string-utf8 g_ascii_table
00100d3e string-utf8 g_strconcat
00100d4a string-utf8 g_hash_table_new_full
00100d60 string-utf8 g_string_append_printf
00100d77 string-utf8 g_slice_free1
00100d85 string-utf8 g_list_append
00100d93 string-utf8 g_hash_table_lookup_extended
00100db0 string-utf8 g_list_foreach
00100dbf string-utf8 g_string_insert_c
00100dd1 string-utf8 g_slist_reverse
00100de1 string-utf8 g_string_erase
00100df0 string-utf8 g_option_context_add_main_entries
00100e12 string-utf8 g_file_set_contents
00100e26 string-utf8 g_strdup
00100e2f string-utf8 g_key_file_get_string_list
00100e4a string-utf8 g_hash_table_foreach_remove
00100e66 string-utf8 g_slist_copy
00100e73 string-utf8 g_list_free
00100e7f string-utf8 g_option_context_set_summary
00100e9c string-utf8 g_slice_alloc
00100eaa string-utf8 g_strchomp
00100eb5 string-utf8 g_ascii_strncasecmp
00100ec9 string-utf8 g_key_file_get_comment
00100ee0 string-utf8 g_key_file_has_group
00100ef5 string-utf8 g_hash_table_remove
00100f09 string-utf8 g_hash_table_lookup
00100f1d string-utf8 g_path_get_basename
00100f31 string-utf8 g_propagate_error
00100f43 string-utf8 g_hash_table_size
00100f55 string-utf8 g_key_file_remove_group
00100f6d string-utf8 g_hash_table_replace
00100f82 string-utf8 g_file_test
00100f8e string-utf8 g_strdup_vprintf
00100f9f string-utf8 g_print
00100fa7 string-utf8 g_list_length
00100fb5 string-utf8 g_key_file_to_data
00100fc8 string-utf8 g_strndup
00100fd2 string-utf8 g_key_file_set_value
00100fe7 string-utf8 g_strsplit
00100ff2 string-utf8 g_key_file_remove_key
00101008 string-utf8 g_assertion_message_expr
00101021 string-utf8 g_filename_to_utf8
00101034 string-utf8 g_key_file_get_keys
00101048 string-utf8 g_strfreev
00101053 string-utf8 g_slist_free
00101060 string-utf8 g_key_file_get_value
00101075 string-utf8 g_utf8_strchr
00101083 string-utf8 g_hash_table_destroy
00101098 string-utf8 g_hash_table_insert
001010ac string-utf8 g_strerror
001010b7 string-utf8 g_option_context_new
001010cc string-utf8 g_strchug
001010d6 string-utf8 g_hash_table_foreach
001010eb string-utf8 g_option_context_free
00101101 string-utf8 g_option_context_parse
00101118 string-utf8 g_slist_prepend
00101128 string-utf8 g_utf8_validate
00101138 string-utf8 g_get_prgname
00101146 string-utf8 g_log_writer_supports_color
00101162 string-utf8 g_ascii_strcasecmp
00101175 string-utf8 g_string_free
00101183 string-utf8 g_str_hash
0010118e string-utf8 g_string_new
0010119b string-utf8 g_str_has_suffix
001011ac string-utf8 g_key_file_set_comment
001011c3 string-utf8 g_str_has_prefix
001011d4 string-utf8 g_filename_from_utf8
001011e9 string-utf8 g_path_is_absolute
001011fc string-utf8 g_return_if_fail_warning
00101215 string-utf8 g_strdup_printf
00101225 string-utf8 g_str_equal
00101231 string-utf8 g_printerr
0010123c string-utf8 g_error_free
00101249 string-utf8 g_dbus_is_interface_name
00101262 string-utf8 __stack_chk_fail
00101273 string-utf8 open64
0010127a string-utf8 strlen
00101281 string-utf8 read
00101286 string-utf8 stdout
0010128d string-utf8 __libc_start_main
0010129f string-utf8 memchr
001012a6 string-utf8 fstat64
001012ae string-utf8 __cxa_finalize
001012bd string-utf8 setlocale
001012c7 string-utf8 close
001012cd string-utf8 __isoc99_sscanf
001012dd string-utf8 fileno
001012e4 string-utf8 strcmp
001012eb string-utf8 __errno_location
001012fc string-utf8 strncmp
00101304 string-utf8 libglib-2.0.so.0
00101315 string-utf8 libgio-2.0.so.0
00101325 string-utf8 libc.so.6
0010132f string-utf8 GLIBC_2.34
0010133a string-utf8 GLIBC_2.4
00101344 string-utf8 GLIBC_2.33
0010134f string-utf8 GLIBC_2.7
00101359 string-utf8 GLIBC_2.2.5
0010b009 string desktop-file-validate %s 
0010b023 string %s: file does not exist 
0010b03c string no-hints
0010b045 string no-warn-deprecated
0010b058 string warn-kde
0010b061 string Show the program version
0010b07a string <desktop-file>...
0010b09c string kf != NULL && format != NULL
0010b0b9 string %s%s%s: %serror%s: %s
0010b0cf string Application
0010b0db string MimeType
0010b0e4 string FSDevice
0010b0f2 string Desktop Action 
0010b108 string %s%s%s: %swarning%s: %s
0010b126 string %s%s%s: %shint%s: %s
0010b140 string false
0010b146 string ../src/validate.c
0010b169 string %s[%s]
0010b170 string GenericName%s
0010b17e string if-exists
0010b188 string unless-exists
0010b196 string GNOME
0010b19c string GNOME3
0010b1a3 string GSettings
0010b1ad string , or %s
0010b1b5 string UTF-8
0010b1bb string Legacy-Mixed
0010b1e8 string OnlyShowIn
0010b1f3 string string
0010b1fa string regexp
0010b201 string KDE Desktop Entry
0010b213 string while reading the file: %s 
0010b22f string file is not a regular file 
0010b24b string file is empty 
0010b25a string .directory
0010b265 string .desktop
0010b26e string .kdelnk
0010b276 string kf.current_keys == NULL
0010b28e string AudioVideo
0010b299 string Education
0010b2a3 string Network
0010b2ab string Office
0010b2b2 string System
0010b2b9 string Utility
0010b2c1 string Building
0010b2ca string Debugger
0010b2d7 string GUIDesigner
0010b2e3 string Profiling
0010b2ed string RevisionControl
0010b2fd string Translation
0010b309 string Calendar
0010b312 string ContactManagement
0010b324 string Database
0010b32d string Dictionary
0010b338 string TextTools
0010b342 string Email
0010b348 string Finance
0010b350 string FlowChart
0010b35e string ProjectManagement
0010b370 string Presentation
0010b37d string Spreadsheet
0010b389 string WordProcessor
0010b397 string VectorGraphics
0010b3a6 string Graphics;2DGraphics
0010b3ba string RasterGraphics
0010b3c9 string 3DGraphics
0010b3d8 string Graphics;Scanning
0010b3ea string Photography
0010b3f6 string Publishing
0010b401 string Viewer
0010b408 string DesktopSettings
0010b418 string HardwareSettings
0010b429 string Printing
0010b432 string HardwareSettings;Settings
0010b44c string PackageManager
0010b45b string Dialup
0010b462 string InstantMessaging
0010b478 string IRCClient
0010b487 string FileTransfer
0010b494 string HamRadio
0010b4a6 string RemoteAccess
0010b4b3 string Telephony
0010b4bd string TelephonyTools
0010b4cc string VideoConference
0010b4dc string WebBrowser
0010b4e7 string WebDevelopment
0010b4fb string AudioVideo;Audio
0010b50c string Mixer
0010b512 string Sequencer
0010b51c string Tuner
0010b525 string AudioVideo;Video
0010b536 string AudioVideoEditing
0010b548 string Player
0010b54f string Recorder
0010b558 string DiscBurning
0010b564 string ActionGame
0010b56f string AdventureGame
0010b57d string ArcadeGame
0010b588 string BoardGame
0010b592 string BlocksGame
0010b59d string CardGame
0010b5a6 string KidsGame
0010b5af string LogicGame
0010b5b9 string RolePlaying
0010b5c5 string Shooter
0010b5cd string Simulation
0010b5d8 string SportsGame
0010b5e3 string StrategyGame
0010b5f4 string Construction
0010b601 string Music
0010b607 string Languages
0010b611 string ArtificialIntelligence
0010b628 string Astronomy
0010b632 string Biology
0010b63a string Chemistry
0010b644 string DataVisualization
0010b656 string Economy
0010b65e string Electricity
0010b66a string Geography
0010b674 string Geology
0010b67c string Geoscience
0010b687 string History
0010b68f string Humanities
0010b69a string ImageProcessing
0010b6aa string Literature
0010b6ba string NumericalAnalysis
0010b6cc string Education;Math
0010b6db string Science;Math
0010b6e8 string MedicalSoftware
0010b6f8 string Physics
0010b700 string Robotics
0010b709 string Spirituality
0010b716 string Sports
0010b71d string ParallelComputing
0010b72f string Education;ComputerScience
0010b749 string Science;ComputerScience
0010b761 string Amusement
0010b76b string Compression
0010b777 string Utility;Archiving
0010b789 string Electronics
0010b795 string Engineering
0010b7a1 string FileManager
0010b7ad string System;FileTools
0010b7be string TerminalEmulator
0010b7cf string Filesystem
0010b7da string Monitor
0010b7e2 string Security
0010b7eb string Accessibility
0010b7f9 string Calculator
0010b804 string Clock
0010b80a string TextEditor
0010b815 string Documentation
0010b823 string Adult
0010b82e string COSMIC
0010b84b string Motif
0010b856 string ConsoleOnly
0010b862 string Screensaver
0010b86e string TrayIcon
0010b877 string Applet
0010b87e string Shell
0010b884 string Applications
0010b891 string if-session
0010b89c string unless-session
0010b8ab string GNOME-Classic
0010b8b9 string GNOME-Flashback
0010b8d3 string Razor
0010b8e1 string Unity
0010b8eb string Cinnamon
0010b8f4 string Pantheon
0010b8fd string Budgie
0010b904 string Enlightenment
0010b912 string Endless
0010b91e string NotShowIn
0010b928 string Version
0010b930 string GenericName
0010b93c string NoDisplay
0010b946 string Comment
0010b94e string Hidden
0010b955 string TryExec
0010b95d string Terminal
0010b966 string Categories
0010b971 string StartupNotify
0010b97f string StartupWMClass
0010b992 string Keywords
0010b99b string Actions
0010b9a3 string Implements
0010b9ae string DBusActivatable
0010b9be string PrefersNonDefaultGPU
0010b9d3 string SingleMainWindow
0010b9e4 string ServiceTypes
0010b9f1 string DocPath
0010b9f9 string InitialPreference
0010ba0f string FSType
0010ba16 string MountPoint
0010ba21 string ReadOnly
0010ba2a string UnmountIcon
0010ba36 string Protocols
0010ba40 string Extensions
0010ba4b string BinaryPattern
0010ba59 string MapNotify
0010ba63 string Patterns
0010ba6c string DefaultApp
0010ba77 string MiniIcon
0010ba80 string TerminalOptions
0010ba90 string Encoding
0010ba99 string SwallowTitle
0010baa6 string SwallowExec
0010bab2 string SortOrder
0010babc string FilePattern
0010bac8 string X-KDE-RunOnDiscreteGpu
0010badf string AutostartCondition
0010baf2 string Directory
0010bafc string Service
0010bb04 string ServiceType
0010bb10 string keyfile != NULL
0010bb24 string fromgroup != NULL
0010bb36 string fromkey != NULL
0010bb46 string togroup != NULL
0010bb56 string tokey != NULL
0010bb6d string path != NULL
0010bb7d string message/rfc822
0010bb8c string message
0010bb94 string multipart
0010bb9e string example
0010bba6 string multipart/related
0010bbb8 string misc/ultravox
0010bbc6 string x-directory
0010bbd2 string flv-application/octet-stream
0010bbef string video/x-flv
0010bbfb string application/vnd.lotus-1-2-3
0010bc17 string application/vnd.corel-draw
0010bc32 string application/vnd.ms-word
0010bc4a string application/winhlp
0010bc5d string text/plain
0010bc68 string application/vnd.lotus-wordpro
0010bc86 string application/x-lzh-compressed
0010bca3 string application/vnd.ms-access
0010bcbd string zz-application/zz-winassoc-uu
0010bcdb string text/x-uuencode
0010bceb string application/vnd.ms-excel
0010bd04 string application
0010bd10 string audio
0010bd1b string image
0010bd21 string model
0010bd2c string video
0010bd32 string inode
0010bd38 string x-content
0010bd42 string x-scheme-handler
0010bd53 string chemical
0010bd60 string Validate desktop entry files according to the Desktop Entry specification 1.5. For information about this specification, see: 	http://freedesktop.org/wiki/Specifications/desktop-entry-spec
0010be28 string Error while parsing arguments: %s 
0010be50 string See "%s --help" for correct usage. 
0010be78 string Do not output hints to improve desktop file
0010bea8 string Do not warn about usage of deprecated items
0010bed8 string Warn if KDE extensions to the specification are used
0010bf10 string key "%s" is present in group "%s", but the type is "%s" while this key is only valid for type "%s" 
0010bf78 string action group "%s%s" exists, but there is no matching action "%s" 
0010bfc0 string action "%s" is defined, but there is no matching "%s%s" group 
0010c000 string value "%s" for key "%s" in group "%s" contains an invalid field code "%%%c" 
0010c050 string value "%s" for key "%s" in group "%s" contains an escaped double quote (\\") outside of a quote, but the double quote is a reserved character 
0010c0e0 string value "%s" for key "%s" in group "%s" contains a non-escaped character '%c' in a quote, but it should be escaped with two backslashes ("\\%c") 
0010c170 string value "%s" for key "%s" in group "%s" contains a reserved character '%c' outside of a quote 
0010c1d0 string value "%s" for key "%s" in group "%s" ends in an incomplete escape sequence 
0010c220 string value "%s" for key "%s" in group "%s" may contain at most one "%%f", "%%u", "%%F" or "%%U" field code 
0010c288 string value "%s" for key "%s" in group "%s" contains a deprecated field code "%%%c" 
0010c2d8 string value "%s" for key "%s" in group "%s" contains a quote which is not closed 
0010c328 string value "%s" for key "%s" in group "%s" contains a non-complete field code 
0010c378 string %s%s%s: %serror%s: (will be fatal in the future): %s
0010c3b0 string value "%s" for key "%s" in group "%s" is a reserved value for KDE 
0010c3f8 string value "%s" for key "%s" in group "%s" is deprecated 
0010c430 string value "%s" for key "%s" in group "%s" is not a registered type value ("Application", "Link" and "Directory") 
0010c4a0 string value "%s" for boolean key "%s" in group "%s" contains invalid characters, boolean values must be "false" or "true" 
0010c518 string boolean key "%s" in group "%s" has value "%s", which is deprecated: boolean values should be "false" or "true" 
0010c588 string file contains key "%s" in group "%s", but "%s" is not defined as a locale string 
0010c5e0 string key "%s" in group "%s" is deprecated 
0010c608 string key "%s" in group "%s" is a reserved key for KDE 
0010c640 string file contains key "%s" in group "%s", but keys extending the format should start with "X-" 
0010c6a0 string j != G_N_ELEMENTS (validate_for_type)
0010c6c8 string DBusActivatable filename must conform to reverse-DNS notation 
0010c708 string only one of "OnlyShowIn" and "NotShowIn" keys may appear in group "%s" 
0010c750 string value "%s" for key "%s" in group "%s" contains "%s" more than once 
0010c798 string value "%s" for key "%s" in group "%s" contains an unregistered value "%s"; values extending the format should start with "X-" 
0010c818 string value "%s" for key "%s" in group "%s" is an absolute path to a directory, instead of being an absolute path to an icon or an icon name 
0010c8a0 string value "%s" for key "%s" in group "%s" looks like a relative path, instead of being an absolute path to an icon or an icon name 
0010c920 string value "%s" for key "%s" in group "%s" is an icon name with an extension, but there should be no extension as described in the Icon Theme Specification if the value is not an absolute path 
0010c9e0 string value "%s" for locale string list key "%s" in group "%s" contains invalid UTF-8 characters, locale string list values should be encoded in UTF-8 
0010ca78 string key "%s" in group "%s" is a localized key, but there is no non-localized key "%s" 
0010cad0 string value "%s" for locale string key "%s" in group "%s" contains invalid UTF-8 characters, locale string values should be encoded in UTF-8 
0010cb58 string value "%s" for key "%s" in group "%s" looks the same as that of key "%s" 
0010cba8 string value "%s" for key "%s" in group "%s" contains an invalid interface name "%s" 
0010cbf8 string value "%s" for key "%s" in group "%s" contains interface "%s" more than once 
0010cc48 string value "%s" for key "%s" in group "%s" contains value "%s" which is a MIME type that should probably not be used: %s 
0010ccc0 string value "%s" for key "%s" in group "%s" contains value "%s" which is an invalid MIME type: %s 
0010cd20 string value "%s" for key "%s" in group "%s" does not contain a path to a file to test the condition 
0010cd80 string value "%s" for key "%s" in group "%s" contains a path "%s" that is absolute, while it should be relative (to $XDG_CONFIG_HOME) 
0010ce00 string value "%s" for key "%s" in group "%s" contains a path "%s" that depends on the value of $XDG_CONFIG_HOME (".." should be avoided) 
0010ce88 string value "%s" for key "%s" in group "%s" has trailing space(s) 
0010cec8 string value "%s" for key "%s" in group "%s" does not contain a valid first argument for condition "%s"; valid first arguments are: %s 
0010cf50 string value "%s" for key "%s" in group "%s" has too many arguments for condition "%s" 
0010cfa8 string value "%s" for key "%s" in group "%s" is missing a last argument for condition "%s" 
0010d000 string value "%s" for key "%s" in group "%s" has %d too many arguments for condition "%s" 
