00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100dd1 string-utf8 optind
00100dd8 string-utf8 error_message_count
00100dec string-utf8 sync
00100df1 string-utf8 mempcpy
00100df9 string-utf8 strverscmp
00100e04 string-utf8 program_invocation_short_name
00100e22 string-utf8 fputc_unlocked
00100e31 string-utf8 statvfs
00100e39 string-utf8 dcgettext
00100e43 string-utf8 fchdir
00100e4a string-utf8 __stack_chk_fail
00100e5b string-utf8 __printf_chk
00100e68 string-utf8 free
00100e6d string-utf8 hasmntopt
00100e77 string-utf8 __assert_fail
00100e85 string-utf8 rawmemchr
00100e8f string-utf8 fcntl
00100e95 string-utf8 __ctype_get_mb_cur_max
00100eac string-utf8 __getdelim
00100eb7 string-utf8 strspn
00100ebe string-utf8 strrchr
00100ec6 string-utf8 fflush
00100ecd string-utf8 memmove
00100ed5 string-utf8 error
00100edb string-utf8 fopen
00100ee1 string-utf8 __isoc23_sscanf
00100ef1 string-utf8 endmntent
00100efb string-utf8 strlen
00100f02 string-utf8 strerrorname_np
00100f12 string-utf8 __ctype_b_loc
00100f20 string-utf8 __fpending
00100f2b string-utf8 __memcpy_chk
00100f38 string-utf8 strstr
00100f3f string-utf8 wcslen
00100f46 string-utf8 faccessat
00100f50 string-utf8 strnlen
00100f58 string-utf8 __vfprintf_chk
00100f67 string-utf8 mbsinit
00100f6f string-utf8 fflush_unlocked
00100f7f string-utf8 canonicalize_file_name
00100f96 string-utf8 readlink
00100f9f string-utf8 stdout
00100fa6 string-utf8 optarg
00100fad string-utf8 realloc
00100fb5 string-utf8 isatty
00100fbc string-utf8 __sprintf_chk
00100fca string-utf8 _exit
00100fd0 string-utf8 bindtextdomain
00100fdf string-utf8 error_one_per_line
00100ff2 string-utf8 __fprintf_chk
00101000 string-utf8 localeconv
0010100b string-utf8 statfs
00101012 string-utf8 strcspn
0010101a string-utf8 malloc
00101021 string-utf8 __libc_start_main
00101033 string-utf8 getmntent
0010103d string-utf8 setmntent
00101047 string-utf8 iswprint
00101050 string-utf8 wcrtomb
00101058 string-utf8 error_at_line
00101066 string-utf8 stderr
0010106d string-utf8 __isoc23_strtoumax
00101080 string-utf8 iswcntrl
00101089 string-utf8 fwrite_unlocked
00101099 string-utf8 __cxa_finalize
001010a8 string-utf8 setlocale
001010b2 string-utf8 openat
001010b9 string-utf8 strchr
001010c0 string-utf8 getenv
001010c7 string-utf8 calloc
001010ce string-utf8 memcmp
001010d5 string-utf8 fclose
001010dc string-utf8 memset
001010e3 string-utf8 fputs_unlocked
001010f2 string-utf8 program_invocation_name
0010110a string-utf8 __snprintf_chk
00101119 string-utf8 wcwidth
00101121 string-utf8 memcpy
00101128 string-utf8 getcwd
0010112f string-utf8 strcmp
00101136 string-utf8 uname
0010113c string-utf8 __errno_location
0010114d string-utf8 abort
00101153 string-utf8 getopt_long
0010115f string-utf8 strerror_r
0010116a string-utf8 mbrtoc32
00101173 string-utf8 __overflow
0010117e string-utf8 error_print_progname
00101193 string-utf8 fstat
00101199 string-utf8 strncmp
001011a1 string-utf8 memrchr
001011a9 string-utf8 __progname_full
001011b9 string-utf8 __progname
001011c4 string-utf8 __cxa_atexit
001011d1 string-utf8 libc.so.6
001011db string-utf8 GLIBC_2.3
001011e5 string-utf8 GLIBC_2.14
001011f0 string-utf8 GLIBC_2.33
001011fb string-utf8 GLIBC_2.16
00101206 string-utf8 GLIBC_2.32
00101211 string-utf8 GLIBC_2.4
0010121b string-utf8 GLIBC_2.38
00101226 string-utf8 GLIBC_2.34
00101231 string-utf8 GLIBC_2.3.4
0010123d string-utf8 GLIBC_2.2.5
00101249 string-utf8 _ITM_deregisterTMCloneTable
00101265 string-utf8 __gmon_start__
00101274 string-utf8 _ITM_registerTMCloneTable
0011301c string src/df.c
00113025 string !field_data[f].used
00113047 string ,=[  
0011304d string --help
00113054 string --version
00113093 string blocks
0011309a string %s-%s
001130a0 string %ju-%s
001130a7 string -0123456789abcdefABCDEF
001130bf string !"bad field_type"
001130d1 string %.0f%%
001130d8 string !"unhandled field"
001130ed string test invocation
001130fd string Multi-call invocation
00113113 string sha2 utilities
00113122 string sha224sum
0011312c string sha256sum
00113140 string sha512sum
0011314a string   -v          (ignored) 
0011316a string Full documentation <%s%s> 
0011318a string Avail
00113190 string /usr/share/locale
001131a2 string aB:iF:hHklmPTt:vx:
001131b5 string --output
001131c7 string Paul Eggert
001131d3 string David MacKenzie
001131ea string rn Granlund
001131f6 string Torbjorn Granlund
00113208 string GNU coreutils
00113216 string POSIXLY_CORRECT
00113226 string DF_BLOCK_SIZE
00113234 string Warning: 
00113243 string Capacity
00113251 string no file systems processed
0011326f string block-size
0011327a string inodes
00113281 string human-readable
00113293 string local
00113299 string portability
001132a5 string print-type
001132b0 string no-sync
001132b8 string exclude-type
001132c5 string source
001132cc string Filesystem
001132d7 string fstype
001132e3 string Available
001132ed string itotal
001132f4 string Inodes
001132fb string iused
00113301 string IUsed
00113307 string iavail
0011330e string IFree
00113314 string ipcent
00113321 string target
