00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
001011c1 string-utf8 _ITM_deregisterTMCloneTable
001011dd string-utf8 __gmon_start__
001011ec string-utf8 _ITM_registerTMCloneTable
00101206 string-utf8 dm_event_log
00101213 string-utf8 dm_event_daemon_fini_fifos
0010122e string-utf8 dm_event_get_version
00101243 string-utf8 dm_event_daemon_talk
00101258 string-utf8 dm_event_daemon_init_fifos
00101273 string-utf8 dm_event_log_set
00101284 string-utf8 dm_task_get_info
00101295 string-utf8 dm_task_get_errno
001012a7 string-utf8 dm_task_set_uuid
001012b8 string-utf8 dm_list_end
001012c4 string-utf8 dm_task_no_flush
001012d5 string-utf8 dm_list_add
001012e1 string-utf8 dm_task_get_name
001012f2 string-utf8 dm_task_destroy
00101302 string-utf8 dm_list_first
00101310 string-utf8 dm_snprintf
0010131c string-utf8 dm_create_lockfile
0010132f string-utf8 dm_hold_control_dev
00101343 string-utf8 dm_log_with_errno_init
0010135a string-utf8 dm_lib_release
00101369 string-utf8 dm_fclose
00101373 string-utf8 dm_lib_exit
0010137f string-utf8 dm_prepare_selinux_context
0010139a string-utf8 dm_list_empty
001013a8 string-utf8 dm_list_size
001013b5 string-utf8 dm_task_create
001013c4 string-utf8 dm_asprintf
001013d0 string-utf8 dm_list_init
001013dd string-utf8 dm_list_del
001013e9 string-utf8 dm_task_run
001013f5 string-utf8 dm_task_set_event_nr
0010140a string-utf8 dm_daemon_is_running
0010141f string-utf8 optind
00101426 string-utf8 getpagesize
00101432 string-utf8 pthread_attr_setstacksize
0010144c string-utf8 fopen64
00101454 string-utf8 perror
0010145b string-utf8 closelog
00101464 string-utf8 pthread_sigmask
00101474 string-utf8 dirfd
0010147a string-utf8 setsid
00101481 string-utf8 clock_gettime
0010148f string-utf8 __stack_chk_fail
001014a0 string-utf8 free
001014a5 string-utf8 chdir
001014ab string-utf8 ntohl
001014b1 string-utf8 sigaddset
001014bb string-utf8 readdir64
001014c5 string-utf8 sigfillset
001014d0 string-utf8 pthread_setcanceltype
001014e6 string-utf8 dlclose
001014ee string-utf8 sigismember
001014fa string-utf8 sigaction
00101504 string-utf8 strdup
0010150b string-utf8 closedir
00101514 string-utf8 unlink
0010151b string-utf8 htonl
00101521 string-utf8 strtok
00101528 string-utf8 fork
0010152d string-utf8 strlen
00101534 string-utf8 getppid
0010153c string-utf8 pthread_join
00101549 string-utf8 sigpending
00101554 string-utf8 read
00101559 string-utf8 usleep
00101560 string-utf8 unsetenv
00101569 string-utf8 strstr
00101570 string-utf8 sigdelset
0010157a string-utf8 __sigsetjmp
00101586 string-utf8 pthread_mutex_destroy
0010159c string-utf8 pthread_attr_init
001015ae string-utf8 getrlimit64
001015ba string-utf8 pthread_cond_timedwait
001015d1 string-utf8 pthread_cond_signal
001015e5 string-utf8 pthread_create
001015f4 string-utf8 dup2
001015f9 string-utf8 getpid
00101600 string-utf8 readlink
00101609 string-utf8 stdout
00101610 string-utf8 optarg
00101617 string-utf8 pthread_mutex_lock
0010162a string-utf8 pthread_attr_destroy
0010163f string-utf8 lstat64
00101647 string-utf8 optopt
0010164e string-utf8 atoi
00101653 string-utf8 malloc
0010165a string-utf8 __libc_start_main
0010166c string-utf8 sigprocmask
00101678 string-utf8 stderr
0010167f string-utf8 fprintf
00101687 string-utf8 pthread_kill
00101694 string-utf8 getopt
0010169b string-utf8 openlog
001016a3 string-utf8 fcntl64
001016ab string-utf8 dlsym
001016b1 string-utf8 __pthread_unregister_cancel
001016cd string-utf8 fstat64
001016d5 string-utf8 dlopen
001016dc string-utf8 __cxa_finalize
001016eb string-utf8 dlerror
001016f3 string-utf8 strchr
001016fa string-utf8 __pthread_register_cancel
00101714 string-utf8 strerror
0010171d string-utf8 mkfifo
00101724 string-utf8 __pthread_unwind_next
0010173a string-utf8 getenv
00101741 string-utf8 pthread_mutex_init
00101754 string-utf8 calloc
0010175b string-utf8 __isoc23_strtoul
0010176c string-utf8 pthread_attr_setdetachstate
00101788 string-utf8 waitpid
00101790 string-utf8 fputs
00101796 string-utf8 opterr
0010179d string-utf8 pthread_mutex_unlock
001017b2 string-utf8 opendir
001017ba string-utf8 sigemptyset
001017c6 string-utf8 access
001017cd string-utf8 memcpy
001017d4 string-utf8 fwrite
001017db string-utf8 select
001017e2 string-utf8 strcmp
001017e9 string-utf8 __errno_location
001017fa string-utf8 __cxa_atexit
00101807 string-utf8 libdevmapper-event.so.1.02.1
00101824 string-utf8 libdevmapper.so.1.02.1
0010183b string-utf8 libc.so.6
00101845 string-utf8 _IO_stdin_used
00101854 string-utf8 __data_start
00101861 string-utf8 __bss_start
0010186d string-utf8 _edata
00101874 string-utf8 Base
00101879 string-utf8 GLIBC_2.14
00101884 string-utf8 GLIBC_2.38
0010188f string-utf8 GLIBC_2.4
00101899 string-utf8 GLIBC_2.28
001018a4 string-utf8 GLIBC_2.33
001018af string-utf8 GLIBC_2.3.2
001018bb string-utf8 GLIBC_2.17
001018c6 string-utf8 GLIBC_2.32
001018d1 string-utf8 GLIBC_2.34
001018dc string-utf8 GLIBC_2.2.5
001018e8 string-utf8 DM_1_02_110
001018f4 string-utf8 DM_1_02_98
001018ff string-utf8 DM_1_02_197
0010190b string-utf8 DM_1_02_97
0010a020 string /proc/%u/cmdline
0010a031 string /proc/self/fd/%u
0010a048 string File descriptor %d (%s) leaked on %s invocation.
0010a080 string Close failed on stray file descriptor %d (%s): %s
0010a0b2 string  Parent PID %d: %s 
0010a0d8 string /run/nologin
0010a0e9 string dmeventd
0010a0f2 string <backtrace>
0010a0fe string dmeventd.c
0010a109 string process_event
0010a117 string register_device
0010a127 string unregister_device
0010a139 string no memory
0010a143 string symbols missing
0010a158 string dmeventd %s dlopen failed: %s.
0010a177 string %s %s dlopen failed: %s
0010a190 string Cannot create new thread, out of memory.
0010a1bd string %s%s%s failed: %s
0010a1cf string pthread_attr_init
0010a1e1 string pthread_create
0010a1f0 string Failed to fetch item %s.
0010a209 string Failed to fetch last item %s.
0010a228 string WARNING: Can't set no_flush for dm status.
0010a253 string 0:%d %s %s %u %u;
0010a265 string  idle=%lu
0010a26f string systemd
0010a277 string direct
0010a288 string %s pid=%d daemon=%s exec_method=%s exit_on="%s"%s
0010a2c0 string Failed to read clock_gettime().
0010a2e0 string Skipping SIGALRM to processing Thr %x for timeout.
0010a318 string Unable to wakeup Thr %x for timeout: %s.
0010a341 string unblock alarm
0010a34f string pthread_sigmask
0010a35f string %s disappeared, detaching.
0010a37a string waitevent
0010a384 string dm_task_run
0010a390 string block alarm
0010a39c string Lost event in Thr %x.
0010a3b2 string %s: %s unregister failed.
0010a3d0 string Failed to fill device data for %s.
0010a3f3 string Failed to register device %s.
0010a411 string sigpending
0010a41c string Unable to wakeup thread: %s
0010a438 string /run/dmeventd.pid
0010a44a string %s %s %s %u
0010a456 string %s %u
0010a468 string WARNING: %s has wrong attributes: Replacing.
0010a495 string unlink
0010a49c string mkfifo
0010a4a8 string fstat
0010a4b0 string %s: fifo has incorrect attributes
0010a4d2 string fcntl(FD_CLOEXEC)
0010a4e4 string close
0010a4ea string DYING
0010a4f0 string HELLO
0010a4f6 string %s %s %d
0010a4ff string %s %s
0010a505 string dmeventd exiting for restart.
0010a523 string %s: %s failed: %s
0010a535 string pthread_join
0010a542 string SIGLARM
0010a54a string sigaction
0010a554 string SIG_BLOCK
0010a563 string fclose
0010a56a string /proc/self/oom_score_adj
0010a583 string /proc/self/oom_adj
0010a596 string SD_ACTIVATION
0010a5a6 string LISTEN_PID
0010a5b1 string LISTEN_FDS
0010a5bc string /run/dmeventd-server
0010a5d1 string /run/dmeventd-client
0010a5e6 string Unable to restore signals. 
0010a607 string Child exited with code %d 
0010a624 string /dev/null
0010a630 string Failed to communicate with new instance of dmeventd. 
0010a668 string Failed to reinstate monitoring for device %s. 
0010a698 string No running dmeventd instance for status query. 
0010a6c8 string Could not initiate communication with existing dmeventd. 
0010a708 string Could not communicate with existing dmeventd. 
0010a738 string The running dmeventd instance is too old. Protocol version %d (required: 1). Action cancelled. 
0010a7a0 string Failed to acquire status from existing dmeventd. 
0010a7d2 string %s is monitoring: 
0010a7e8 string %s does not monitor any device. 
0010a810 string Failed to acquire parameters from existing dmeventd. 
0010a846 string %s internal status: %s 
0010a860 string WARNING: Could not find running dmeventd associated with pid file %s. 
0010a8a8 string WARNING: Could not initiate communication with existing dmeventd. 
0010a8f0 string WARNING: Could not communicate with existing dmeventd. 
0010a928 string WARNING: The running dmeventd instance is too old. Protocol version %d (required: 1). Action cancelled. 
0010a998 string Memory allocation registration failed. 
0010a9c0 string Memory allocation for message failed. 
0010a9e8 string Failed to acquire parameters from old dmeventd. 
0010aa19 string exec_method=systemd
0010aa2d string /run/systemd/system/
0010aa42 string Old dmeventd refused to die. 
0010aa60 string Could not initiate communication with new instance of dmeventd. 
0010aaa8 string Failed to reinstate monitoring with new instance of dmeventd. 
0010aae8 string Usage: %s [-d [-d [-d]]] [-e path] [-f] [-h] [i] [-l] [-R] [-V] [-?]     -d       Log debug messages to syslog (-d, -dd, -ddd)    -e       Select a file path checked on exit    -f       Don't fork, run in the foreground    -h       Show this help information    -i       Query running instance of dmeventd for info    -l       Log to stdout,stderr instead of syslog    -?       Show this help information on stderr    -R       Restart dmeventd    -V       Show version of dmeventd  
0010acd0 string dmeventd: option -e does not accept path "%s" with '"' character. 
0010ad13 string 1.02.205 (2025-02-27)
0010ad29 string dmeventd version: %s 
0010ad40 string dmeventd: option -%c requires an argument. 
0010ad6c string :?e:fhiVdlR
0010ad78 string WARNING: Ignoring logging to stdout, needs options -f
0010adb0 string LC_ALL
0010adb7 string Cannot set LC_ALL to C
0010add0 string WARNING: Failed to protect against OOM killer.
0010ae00 string dmeventd ready for processing.
0010ae20 string dmeventd detected break while being idle for %ld second(s), exiting.
0010ae68 string dmeventd was idle for %ld second(s), exiting.
0010ae98 string dmeventd received break, scheduling exit.
0010aec8 string dmeventd detected exit on file %s, unregistering all monitored devices.
0010af10 string dmeventd shutting down.
0010af28 string client close
0010af35 string server close
0010af48 string /proc/self/fd
0010af60 string _monitor_unregister
0010af80 string Failed to parse existing event registration. 
0010b251 string zR
0010b281 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/dmeventd.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .note.gnu.property
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
.shstrtab::000000f8 string-utf8 .gnu_debugaltlink
.shstrtab::0000010a string-utf8 .gnu_debuglink
