00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100989 string-utf8 optind
00100990 string-utf8 strcpy
00100997 string-utf8 gethostname
001009a3 string-utf8 snprintf
001009ac string-utf8 lstat
001009b2 string-utf8 sleep
001009b8 string-utf8 perror
001009bf string-utf8 strncpy
001009c7 string-utf8 fchdir
001009ce string-utf8 __stack_chk_fail
001009df string-utf8 free
001009e4 string-utf8 exit
001009e9 string-utf8 setgid
001009f0 string-utf8 sigaction
001009fa string-utf8 utime
00100a00 string-utf8 strrchr
00100a08 string-utf8 unlink
00100a0f string-utf8 getpwuid
00100a18 string-utf8 fork
00100a1d string-utf8 strlen
00100a24 string-utf8 getppid
00100a2c string-utf8 read
00100a31 string-utf8 __isoc23_strtol
00100a41 string-utf8 getpid
00100a48 string-utf8 optarg
00100a4f string-utf8 execvp
00100a56 string-utf8 open
00100a5b string-utf8 malloc
00100a62 string-utf8 __libc_start_main
00100a74 string-utf8 stderr
00100a7b string-utf8 fprintf
00100a83 string-utf8 getopt
00100a8a string-utf8 raise
00100a90 string-utf8 __cxa_finalize
00100a9f string-utf8 sprintf
00100aa7 string-utf8 strchr
00100aae string-utf8 getgid
00100ab5 string-utf8 strerror
00100abe string-utf8 kill
00100ac3 string-utf8 setregid
00100acc string-utf8 getenv
00100ad3 string-utf8 close
00100ad9 string-utf8 waitpid
00100ae1 string-utf8 signal
00100ae8 string-utf8 getuid
00100aef string-utf8 getegid
00100af7 string-utf8 memcpy
00100afe string-utf8 fwrite
00100b05 string-utf8 strcmp
00100b0c string-utf8 __errno_location
00100b1d string-utf8 fstat
00100b23 string-utf8 geteuid
00100b2b string-utf8 alarm
00100b31 string-utf8 libc.so.6
00100b3b string-utf8 GLIBC_2.38
00100b46 string-utf8 GLIBC_2.14
00100b51 string-utf8 GLIBC_2.33
00100b5c string-utf8 GLIBC_2.4
00100b66 string-utf8 GLIBC_2.34
00100b71 string-utf8 GLIBC_2.2.5
00100b7d string-utf8 _ITM_deregisterTMCloneTable
00100b99 string-utf8 __gmon_start__
00100ba8 string-utf8 _ITM_registerTMCloneTable
0010400b string /var/mail/
00104016 string %s%s.lock
00104020 string dotlockfile: 
0010402e string         dotlockfile -u|-t 
00104049 string setregid(-1, gid)
0010405b string +qpNr:mluci:tP
0010406a string dotlockfile: opening ".": %s 
00104088 string dotlockfile: %s: %s 
0010409d string setregid
001040a6 string setgid
001040b2 string dotlockfile: restoring cwd:
001040ce string /usr/bin/dotlockfile
001040eb string %s%0*d%0*x%s
001040f8 string Usage:  dotlockfile -l [-r retries] [-i interval] [-p] [-q] <-m|lockfile> 
00104148 string         dotlockfile -l [-r retries] [-i interval] [-p] [-q] <-m|lockfile> [-P] command args... 
001041a8 string dotlockfile: -r %s: invalid argument 
001041d0 string dotlockfile: You don't exist. Go away. 
001041f8 string dotlockfile: -i needs argument >= 0 
00104220 string dotlockfile: %s: name too long 
00104391 string zR
001043c1 string zR
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .note.gnu.property
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .got.plt
.shstrtab::000000f6 string-utf8 .data
.shstrtab::000000fc string-utf8 .bss
.shstrtab::00000101 string-utf8 .gnu_debuglink
