001003ac TerminatedCString /lib64/ld-linux-x86-64.so.2
00100869 string-utf8 _ITM_deregisterTMCloneTable
00100885 string-utf8 __gmon_start__
00100894 string-utf8 _ITM_registerTMCloneTable
001008ae string-utf8 dbm_fetch
001008b8 string-utf8 dbm_close
001008c2 string-utf8 dbm_open
001008cb string-utf8 dbm_store
001008d5 string-utf8 optind
001008dc string-utf8 fgets
001008e2 string-utf8 strcpy
001008e9 string-utf8 stdin
001008ef string-utf8 puts
001008f4 string-utf8 fopen64
001008fc string-utf8 perror
00100903 string-utf8 __stpcpy_chk
00100910 string-utf8 __stack_chk_fail
00100921 string-utf8 free
00100926 string-utf8 fread
0010092c string-utf8 exit
00100931 string-utf8 readdir64
0010093b string-utf8 closedir
00100944 string-utf8 unlink
0010094b string-utf8 ferror
00100952 string-utf8 strtok
00100959 string-utf8 strlen
00100960 string-utf8 rmdir
00100966 string-utf8 mkdir
0010096c string-utf8 optarg
00100973 string-utf8 __isoc23_strtoll
00100984 string-utf8 __fprintf_chk
00100992 string-utf8 lstat64
0010099a string-utf8 malloc
001009a1 string-utf8 __libc_start_main
001009b3 string-utf8 stderr
001009ba string-utf8 getopt
001009c1 string-utf8 __cxa_finalize
001009d0 string-utf8 strerror
001009d9 string-utf8 getenv
001009e0 string-utf8 fclose
001009e7 string-utf8 signal
001009ee string-utf8 opendir
001009f6 string-utf8 __snprintf_chk
00100a05 string-utf8 fwrite
00100a0c string-utf8 strcmp
00100a13 string-utf8 __errno_location
00100a24 string-utf8 libgdbm_compat.so.4
00100a38 string-utf8 libc.so.6
00100a42 string-utf8 GLIBC_2.38
00100a4d string-utf8 GLIBC_2.4
00100a57 string-utf8 GLIBC_2.33
00100a62 string-utf8 GLIBC_2.34
00100a6d string-utf8 GLIBC_2.3.4
00100a79 string-utf8 GLIBC_2.2.5
00103008 string  dupemap: killed by signal %d 
00103030 string Usage: dupemap [OPTIONS] OPERATION PATH... Where OPERATION is one of the operations listed in the manpage.  Options:   -d DATABASE   Read/write from a database on disk   -I FILE       Read input file names from this file ("-" for stdin)   -m MINSIZE    Exclude files below this size   -M MAXSIZE    Exclude files above this size
00103180 string Cannot open temporary database 
001031a8 string Error parsing options. 
001031c0 string d:m:I:M:
001031ce string report
001031d5 string delete
001031df string Invalid operation 
001031f2 string dbm_open
001031fb string Cannot open database 
00103215 string %s/dupemap_%d
00103223 string making temporary directory
0010323e string %s/tempdb
0010324c string Opening %s: %s 
0010325c string %s/%s
00103b69 string zR
00103b99 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/magicrescue.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .sframe
.shstrtab::000000b3 string-utf8 .note.gnu.property
.shstrtab::000000c6 string-utf8 .note.ABI-tag
.shstrtab::000000d4 string-utf8 .init_array
.shstrtab::000000e0 string-utf8 .fini_array
.shstrtab::000000ec string-utf8 .dynamic
.shstrtab::000000f5 string-utf8 .data
.shstrtab::000000fb string-utf8 .bss
.shstrtab::00000100 string-utf8 .gnu_debugaltlink
.shstrtab::00000112 string-utf8 .gnu_debuglink
