00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100781 string-utf8 puts
00100786 string-utf8 pathconf
0010078f string-utf8 sysconf
00100797 string-utf8 __printf_chk
001007a4 string-utf8 free
001007a9 string-utf8 exit
001007ae string-utf8 putchar
001007b6 string-utf8 error
001007bc string-utf8 __progname
001007c7 string-utf8 __fprintf_chk
001007d5 string-utf8 confstr
001007dd string-utf8 malloc
001007e4 string-utf8 __libc_start_main
001007f6 string-utf8 stderr
001007fd string-utf8 textdomain
00100808 string-utf8 __cxa_finalize
00100817 string-utf8 setlocale
00100821 string-utf8 _libc_intl_domainname
00100837 string-utf8 strcmp
0010083e string-utf8 __errno_location
0010084f string-utf8 __dcgettext
0010085b string-utf8 strncmp
00100863 string-utf8 program_invocation_short_name
00100881 string-utf8 libc.so.6
0010088b string-utf8 GLIBC_ABI_DT_X86_64_PLT
001008a3 string-utf8 GLIBC_ABI_DT_RELR
001008b5 string-utf8 GLIBC_2.3.4
001008c1 string-utf8 GLIBC_2.34
001008cc string-utf8 GLIBC_2.2.5
001008d8 string-utf8 _ITM_deregisterTMCloneTable
001008f4 string-utf8 __gmon_start__
00100903 string-utf8 _ITM_registerTMCloneTable
00102008 string Usage: %s [-v specification] variable_name [pathname] 
00102048 string Copyright (C) %s Free Software Foundation, Inc. This is free software; see the source for copying conditions.  There is NO warranty; not even for MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. 
00102110 string Usage: getconf [-v SPEC] VAR   or:  getconf [-v SPEC] PATH_VAR PATH  Get the configuration value for variable VAR, or for variable PATH_VAR for path PATH.  If SPEC is given, give values for compilation environment SPEC.  
001021f0 string For bug reporting instructions, please see: %s. 
00102228 string _POSIX_THREAD_PRIORITY_SCHEDULING
00102250 string _POSIX_THREAD_ROBUST_PRIO_INHERIT
00102278 string _POSIX_THREAD_ROBUST_PRIO_PROTECT
001022a0 string POSIX_V6_ILP32_OFF32_LINTFLAGS
001022c0 string _POSIX_V6_WIDTH_RESTRICTED_ENVS
001022e0 string POSIX_V6_WIDTH_RESTRICTED_ENVS
00102300 string POSIX_V6_ILP32_OFFBIG_LINTFLAGS
00102320 string POSIX_V6_LPBIG_OFFBIG_LINTFLAGS
00102340 string POSIX_V7_ILP32_OFF32_LINTFLAGS
00102360 string _POSIX_V7_WIDTH_RESTRICTED_ENVS
00102380 string POSIX_V7_WIDTH_RESTRICTED_ENVS
001023a0 string POSIX_V7_ILP32_OFFBIG_LINTFLAGS
001023c0 string POSIX_V7_LPBIG_OFFBIG_LINTFLAGS
001023e0 string        %s -a [pathname] 
001023f9 string %-35s
00102407 string memory exhausted
00102418 string confstr
00102420 string %.*s 
00102426 string --version
00102435 string (Debian GLIBC 2.42-13) 
0010244d string getconf %s%s 
00102460 string Written by %s. 
00102470 string Roland McGrath
0010247f string --help
00102486 string <http://www.debian.org/Bugs/>
001024af string _POSIX_
001024b7 string pathconf: %s
001024c4 string undefined
001024d8 string Unrecognized variable `%s'
001024f3 string _POSIX_LINK_MAX
00102503 string _POSIX_MAX_CANON
00102514 string _POSIX_MAX_INPUT
00102525 string _POSIX_NAME_MAX
00102535 string _POSIX_PATH_MAX
00102545 string _POSIX_PIPE_BUF
00102555 string SOCK_MAXBUF
00102561 string _POSIX_ASYNC_IO
00102571 string _POSIX_CHOWN_RESTRICTED
00102589 string _POSIX_NO_TRUNC
00102599 string _POSIX_PRIO_IO
001025a8 string _POSIX_SYNC_IO
001025b7 string _POSIX_VDISABLE
001025c7 string ATEXIT_MAX
001025d2 string CHAR_BIT
001025e3 string INT_MIN
001025eb string LOGNAME_MAX
001025f7 string LONG_BIT
00102600 string MB_LEN_MAX
0010260b string NL_ARGMAX
00102615 string NL_LANGMAX
00102620 string NL_MSGMAX
00102632 string NL_SETMAX
0010263c string NL_TEXTMAX
00102647 string NSS_BUFLEN_GROUP
00102658 string NSS_BUFLEN_PASSWD
00102670 string PAGESIZE
00102679 string PAGE_SIZE
00102683 string PASS_MAX
0010268c string PTHREAD_DESTRUCTOR_ITERATIONS
001026aa string PTHREAD_KEYS_MAX
001026bb string PTHREAD_STACK_MIN
001026cd string PTHREAD_THREADS_MAX
001026e1 string SCHAR_MAX
001026eb string SCHAR_MIN
001026f5 string SHRT_MIN
001026fe string TTY_NAME_MAX
0010270b string UCHAR_MAX
00102715 string UINT_MAX
0010271e string UIO_MAXIOV
00102729 string ULONG_MAX
00102733 string USHRT_MAX
0010273d string WORD_BIT
00102746 string _AVPHYS_PAGES
00102754 string _NPROCESSORS_CONF
00102766 string _NPROCESSORS_ONLN
00102778 string _PHYS_PAGES
