00100394 TerminatedCString /lib64/ld-linux-x86-64.so.2
00101031 string-utf8 __gmon_start__
00101040 string-utf8 _ITM_deregisterTMCloneTable
0010105c string-utf8 _ITM_registerTMCloneTable
00101076 string-utf8 dm_task_get_uuid
00101087 string-utf8 dm_task_no_open_count
0010109d string-utf8 dm_task_destroy
001010ad string-utf8 dm_is_dm_major
001010bc string-utf8 dm_get_next_target
001010cf string-utf8 dm_log_with_errno_init
001010e6 string-utf8 dm_task_set_major_minor
001010fe string-utf8 dm_task_create
0010110d string-utf8 dm_task_run
00101119 string-utf8 fgets
0010111f string-utf8 strcpy
00101126 string-utf8 mempcpy
0010112e string-utf8 argp_err_exit_status
00101143 string-utf8 reallocarray
00101150 string-utf8 stdin
00101156 string-utf8 argp_error
00101161 string-utf8 sleep
00101167 string-utf8 program_invocation_short_name
00101185 string-utf8 fopen64
0010118d string-utf8 strncpy
00101195 string-utf8 __strcpy_chk
001011a2 string-utf8 dcgettext
001011ac string-utf8 __stack_chk_fail
001011bd string-utf8 free
001011c2 string-utf8 fread
001011c8 string-utf8 exit
001011cd string-utf8 lseek64
001011d5 string-utf8 argp_failure
001011e2 string-utf8 __assert_fail
001011f0 string-utf8 readdir64
001011fa string-utf8 __isoc23_fscanf
0010120a string-utf8 argp_help
00101214 string-utf8 closedir
0010121d string-utf8 realpath
00101226 string-utf8 __ctype_get_mb_cur_max
0010123d string-utf8 strrchr
00101245 string-utf8 fflush
0010124c string-utf8 mkstemp64
00101256 string-utf8 memmove
0010125e string-utf8 gettimeofday
0010126b string-utf8 strndup
00101273 string-utf8 dgettext
0010127c string-utf8 mkdtemp
00101284 string-utf8 ftello64
0010128d string-utf8 strlen
00101294 string-utf8 argp_state_help
001012a4 string-utf8 argp_program_version_hook
001012be string-utf8 __ctype_b_loc
001012cc string-utf8 strchrnul
001012d6 string-utf8 mbrtowc
001012de string-utf8 __vfprintf_chk
001012ed string-utf8 mbsinit
001012f5 string-utf8 argp_parse
00101300 string-utf8 stdout
00101307 string-utf8 realloc
0010130f string-utf8 __sprintf_chk
0010131d string-utf8 strcat
00101324 string-utf8 argp_usage
0010132f string-utf8 bindtextdomain
0010133e string-utf8 flockfile
00101348 string-utf8 strcasecmp
00101353 string-utf8 __fprintf_chk
00101361 string-utf8 lstat64
00101369 string-utf8 atoi
0010136e string-utf8 malloc
00101375 string-utf8 __libc_start_main
00101387 string-utf8 funlockfile
00101393 string-utf8 stderr
0010139a string-utf8 memchr
001013a1 string-utf8 iswcntrl
001013aa string-utf8 fwrite_unlocked
001013ba string-utf8 vsnprintf
001013c4 string-utf8 fstat64
001013cc string-utf8 tolower
001013d4 string-utf8 __cxa_finalize
001013e3 string-utf8 setlocale
001013ed string-utf8 strchr
001013f4 string-utf8 putc_unlocked
00101402 string-utf8 __open64_2
0010140d string-utf8 ftell
00101413 string-utf8 strerror
0010141c string-utf8 getenv
00101423 string-utf8 calloc
0010142a string-utf8 stpcpy
00101431 string-utf8 fsync
00101437 string-utf8 memcmp
0010143e string-utf8 fclose
00101445 string-utf8 memset
0010144c string-utf8 ioctl
00101452 string-utf8 fputc
00101458 string-utf8 vfprintf
00101461 string-utf8 fputs_unlocked
00101470 string-utf8 tcgetattr
0010147a string-utf8 fputs
00101480 string-utf8 program_invocation_name
00101498 string-utf8 opendir
001014a0 string-utf8 tcsetattr
001014aa string-utf8 wcwidth
001014b2 string-utf8 memcpy
001014b9 string-utf8 fileno
001014c0 string-utf8 fwrite
001014c7 string-utf8 fseeko64
001014d0 string-utf8 strcmp
001014d7 string-utf8 qsort
001014dd string-utf8 argp_program_bug_address
001014f6 string-utf8 fseek
001014fc string-utf8 __errno_location
0010150d string-utf8 argp_program_version
00101522 string-utf8 abort
00101528 string-utf8 strerror_r
00101533 string-utf8 strncmp
0010153b string-utf8 __progname_full
0010154b string-utf8 __progname
00101556 string-utf8 _IO_stdin_used
00101565 string-utf8 libdevmapper.so.1.02.1
0010157c string-utf8 libc.so.6
00101586 string-utf8 DM_1_02_197
00101592 string-utf8 Base
00101597 string-utf8 GLIBC_2.14
001015a2 string-utf8 GLIBC_2.34
001015ad string-utf8 GLIBC_2.4
001015b7 string-utf8 GLIBC_2.7
001015c1 string-utf8 GLIBC_2.3
001015cb string-utf8 GLIBC_2.33
001015d6 string-utf8 GLIBC_2.38
001015e1 string-utf8 GLIBC_2.26
001015ec string-utf8 GLIBC_2.3.4
001015f8 string-utf8 GLIBC_2.2.5
00191011 string not a host disk
00191021 string 2.12-9+kali1
00191033 string %s (%s) %s 
0019103f string <bug-grub@gnu.org>
00191052 string cannot seek `%s': %s
00191067 string cannot read `%s': %s
0019107c string can't open `%s': %s
00191090 string not a hostfs
0019109d string /usr/share/locale
001910b4 string Missing arguments 
001910c7 string cannot open `%s': %s
001910dc string [OPTIONS]
001910e6 string Render Apple .disk_label.
00191100 string input
0019110b string read text from FILE.
00191120 string COLOR
00191126 string use COLOR for text
00191139 string bgcolor
00191141 string use COLOR for background
0019115a string STRING
00191161 string set the label to render
00191179 string output
00191185 string use FILE as font (PF2).
0019119d string verbose
001911a5 string print verbose messages.
001911bd string stdout
001911c7 string (host)/%s
001911d1 string /fonts/
001911de string <No Font>
001911e8 string (memdisk)
001911f2 string prefix
001911f9 string variable `%s' isn't set
00191225 string normal
0019124f string Font has no name. 
00191262 string grub-core/font/font.c
00191278 string Unknown
00191286 string Render capture
00191295 string aliceblue
0019129f string antiquewhite
001912b7 string beige
001912bd string bisque
001912c4 string black
001912ca string blanchedalmond
001912d9 string blueviolet
001912e4 string burlywood
001912ee string cadetblue
001912f8 string chartreuse
00191303 string chocolate
0019130d string cornflowerblue
0019131c string cornsilk
00191325 string crimson
0019132d string darkblue
00191336 string darkcyan
0019133f string darkgoldenrod
0019134d string darkgray
00191356 string darkgreen
