001003ac TerminatedCString /lib64/ld-linux-x86-64.so.2
00100669 string-utf8 __gmon_start__
00100678 string-utf8 _ITM_deregisterTMCloneTable
00100694 string-utf8 _ITM_registerTMCloneTable
001006ae string-utf8 g_log
001006b4 string-utf8 gts_surface_foreach_vertex
001006cf string-utf8 gts_face_class
001006de string-utf8 gts_edge_class
001006ed string-utf8 gts_surface_foreach_face
00100706 string-utf8 gts_surface_class
00100718 string-utf8 gts_file_new
00100725 string-utf8 gts_vertex_class
00100736 string-utf8 gts_surface_read
00100747 string-utf8 gts_surface_new
00100757 string-utf8 gts_surface_stats
00100769 string-utf8 gts_triangle_vertices
0010077f string-utf8 stdin
00100785 string-utf8 puts
0010078a string-utf8 __stack_chk_fail
0010079b string-utf8 __printf_chk
001007a8 string-utf8 __fprintf_chk
001007b6 string-utf8 __libc_start_main
001007c8 string-utf8 stderr
001007cf string-utf8 __cxa_finalize
001007de string-utf8 setlocale
001007e8 string-utf8 fwrite
001007ef string-utf8 libglib-2.0.so.0
00100800 string-utf8 libgts-0.7.so.5
00100810 string-utf8 libc.so.6
0010081a string-utf8 GLIBC_2.34
00100825 string-utf8 GLIBC_2.4
0010082f string-utf8 GLIBC_2.2.5
0010083b string-utf8 GLIBC_2.3.4
00102008 string   0 VERTEX   8 0  10 0.0  20 0.0  30 0.0  70 128  71 %u  72 %u  73 %u 
00102058 string   0 VERTEX   8 0  10 %g  20 %g  30 %g  70 192 
00102088 string gts2dxf: file on standard input is not a valid GTS file 
001020c8 string   0 SECTION   2 HEADER   9 $ACADVER   1 AC1009   0 ENDSEC   0 SECTION   2 ENTITIES   0 POLYLINE   8 0  66 1  10 0.0  20 0.0  30 0.0  70 64  71 %u  72 %u 
00102162 string cannot set locale to POSIX
0010217d string Gts-tools
00102187 string stdin:%d:%d: %s 
00102198 string   0 SEQEND   0 ENDSEC   0 EOF
00102201 string zR
00102231 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/libgts-bin.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .sframe
.shstrtab::000000b3 string-utf8 .note.gnu.property
.shstrtab::000000c6 string-utf8 .note.ABI-tag
.shstrtab::000000d4 string-utf8 .init_array
.shstrtab::000000e0 string-utf8 .fini_array
.shstrtab::000000ec string-utf8 .dynamic
.shstrtab::000000f5 string-utf8 .got.plt
.shstrtab::000000fe string-utf8 .data
.shstrtab::00000104 string-utf8 .bss
.shstrtab::00000109 string-utf8 .gnu_debugaltlink
.shstrtab::0000011b string-utf8 .gnu_debuglink
