001003cc TerminatedCString /lib64/ld-linux-x86-64.so.2
00101071 string-utf8 _ITM_deregisterTMCloneTable
0010108d string-utf8 __gmon_start__
0010109c string-utf8 _ITM_registerTMCloneTable
001010b6 string-utf8 _IO_stdin_used
001010c5 string-utf8 cap_set_flag
001010d2 string-utf8 cap_set_proc
001010df string-utf8 cap_free
001010e8 string-utf8 cap_init
001010f1 string-utf8 lws_callback_on_writable
0010110a string-utf8 lws_ring_create
0010111a string-utf8 lws_cancel_service
0010112d string-utf8 lws_callback_http_dummy
00101145 string-utf8 lws_ring_get_count_free_elements
00101166 string-utf8 lws_ring_update_oldest_tail
00101182 string-utf8 lws_ring_consume
00101193 string-utf8 lws_service
0010119f string-utf8 lws_ring_insert
001011af string-utf8 lws_create_context
001011c2 string-utf8 lws_context_user
001011d3 string-utf8 lws_write
001011dd string-utf8 lws_client_connect_via_info
001011f9 string-utf8 lws_ring_get_element
0010120e string-utf8 lws_get_protocol
0010121f string-utf8 lws_get_context
0010122f string-utf8 lws_get_vhost
0010123d string-utf8 sqlite3_column_bytes
00101252 string-utf8 sqlite3_prepare
00101262 string-utf8 sqlite3_reset
00101270 string-utf8 sqlite3_errmsg
0010127f string-utf8 sqlite3_step
0010128c string-utf8 sqlite3_close
0010129a string-utf8 sqlite3_column_blob
001012ae string-utf8 sqlite3_column_double
001012c4 string-utf8 sqlite3_exec
001012d1 string-utf8 sqlite3_column_int64
001012e6 string-utf8 sqlite3_column_int
001012f9 string-utf8 sqlite3_open
00101306 string-utf8 sqlite3_column_text
0010131a string-utf8 pthread_setcancelstate
00101331 string-utf8 optind
00101338 string-utf8 pthread_attr_setschedpolicy
00101354 string-utf8 prctl
0010135a string-utf8 pthread_sigmask
0010136a string-utf8 __stack_chk_fail
0010137b string-utf8 __printf_chk
00101388 string-utf8 fread
0010138e string-utf8 exit
00101393 string-utf8 pthread_mutexattr_settype
001013ad string-utf8 __fdelt_chk
001013b9 string-utf8 sigaddset
001013c3 string-utf8 sigfillset
001013ce string-utf8 stat
001013d3 string-utf8 pthread_setcanceltype
001013e9 string-utf8 strdup
001013f0 string-utf8 fcntl
001013f6 string-utf8 bind
001013fb string-utf8 ferror
00101402 string-utf8 memmove
0010140a string-utf8 gettimeofday
00101417 string-utf8 fopen
0010141d string-utf8 strndup
00101425 string-utf8 __isoc23_sscanf
00101435 string-utf8 socket
0010143c string-utf8 time
00101441 string-utf8 fork
00101446 string-utf8 strlen
0010144d string-utf8 pthread_cond_init
0010145f string-utf8 usleep
00101466 string-utf8 __memcpy_chk
00101473 string-utf8 send
00101478 string-utf8 pthread_mutex_destroy
0010148e string-utf8 gethostbyname
0010149c string-utf8 pthread_attr_init
001014ae string-utf8 feof
001014b3 string-utf8 pthread_mutexattr_init
001014ca string-utf8 pthread_create
001014d9 string-utf8 dup2
001014de string-utf8 getpid
001014e5 string-utf8 recv
001014ea string-utf8 optarg
001014f1 string-utf8 pthread_mutex_lock
00101504 string-utf8 realloc
0010150c string-utf8 pthread_cond_broadcast
00101523 string-utf8 execvp
0010152a string-utf8 __sprintf_chk
00101538 string-utf8 strcasecmp
00101543 string-utf8 __fprintf_chk
00101551 string-utf8 malloc
00101558 string-utf8 __libc_start_main
0010156a string-utf8 recvmsg
00101572 string-utf8 stderr
00101579 string-utf8 strncasecmp
00101585 string-utf8 inet_ntoa
0010158f string-utf8 __cxa_finalize
0010159e string-utf8 strchr
001015a5 string-utf8 ftell
001015ab string-utf8 strerror
001015b4 string-utf8 kill
001015b9 string-utf8 getenv
001015c0 string-utf8 pthread_mutex_init
001015d3 string-utf8 calloc
001015da string-utf8 memcmp
001015e1 string-utf8 fclose
001015e8 string-utf8 memset
001015ef string-utf8 pthread_attr_setdetachstate
0010160b string-utf8 fputc
00101611 string-utf8 waitpid
00101619 string-utf8 opterr
00101620 string-utf8 connect
00101628 string-utf8 pthread_mutex_unlock
0010163d string-utf8 pthread_cancel
0010164c string-utf8 __snprintf_chk
0010165b string-utf8 getuid
00101662 string-utf8 sigemptyset
0010166e string-utf8 memcpy
00101675 string-utf8 fwrite
0010167c string-utf8 select
00101683 string-utf8 fseek
00101689 string-utf8 strsep
00101690 string-utf8 __errno_location
001016a1 string-utf8 getopt_long
001016ad string-utf8 pthread_cond_wait
001016bf string-utf8 pipe
001016c4 string-utf8 strncmp
001016cc string-utf8 sigwait
001016d4 string-utf8 libcap.so.2
001016e0 string-utf8 libwebsockets.so.19
001016f4 string-utf8 libsqlite3.so.0
00101704 string-utf8 libc.so.6
0010170e string-utf8 GLIBC_2.15
00101719 string-utf8 GLIBC_2.4
00101723 string-utf8 GLIBC_2.33
0010172e string-utf8 GLIBC_2.14
00101739 string-utf8 GLIBC_2.38
00101744 string-utf8 GLIBC_2.3.2
00101750 string-utf8 GLIBC_2.32
0010175b string-utf8 GLIBC_2.34
00101766 string-utf8 GLIBC_2.2.5
00101772 string-utf8 GLIBC_2.3.4
0011b008 string Kismetdb '%s' is not a normal file
0011b030 string Unable to open kismetdb file: %s
0011b058 string Unable to find kismetdb version in database %s: %s
0011b090 string Could not stat() file '%s', something is very odd
0011b0c8 string Opened kismetdb '%s' for playback
0011b0f0 string kismetdb '%s' will replay in realtime
0011b118 string kismetdb '%s' will throttle to %u packets per second
0011b150 string SELECT ts_sec, ts_usec, frequency, (lat / 100000.0), (lon / 100000.0), dlt, packet FROM packets ORDER BY ts_sec, ts_usec
0011b1d0 string SELECT ts_sec, ts_usec, frequency, lat, lon, alt, speed, heading, dlt, packet, packet_full_len FROM packets ORDER BY ts_sec, ts_usec
0011b258 string SELECT ts_sec, ts_usec, frequency, lat, lon, alt, speed, heading, dlt, packet FROM packets ORDER BY ts_sec, ts_usec
0011b2d0 string KismetDB '%s' could not prepare packet query: %s
0011b308 string SELECT ts_sec, ts_usec, (lat / 100000.0), (lon / 100000.0), type, json FROM data ORDER BY ts_sec, ts_usec
0011b378 string SELECT ts_sec, ts_usec, lat, lon, alt, speed, heading, type, json FROM data ORDER BY ts_sec, ts_usec
0011b3e0 string KismetDB '%s' could not prepare data query: %s
0011b410 string KismetDB '%s' closed, all packets and data processed.
0011b448 string FATAL: Could not allocate basic handler data, your system is very low on RAM or something is wrong. 
0011b4b0 string ERROR - No capture handler defined for capture thread 
0011b4e8 string %s does not support listing available devices, sorry! 
0011b520 string %s - No supported data sources found... 
0011b550 string %s is a capture driver for Kismet.  Typically it is started automatically by the Kismet server. 
0011b5b8 string  %s supports sending data to a remote Kismet server usage: %s [options]  --connect [host]:[port]      Connect to remote Kismet server on [host] and [port]; by                                default this now uses the new websockets interface built                                into the Kismet webserver on port 2501; to connect using                                the legacy remote capture protocol, specify the '--tcp'                                option and the appropriate port, by default port 3501.  --tcp                        Use the legacy TCP remote capture protocol, when combined                                with the --connect option.  The modern protocol uses                                 websockets built into the Kismet server and does not                                need this option.  --ssl                        Use SSL to connect to a websocket-enabled Kismet server  --ssl-certificate [certfile] Use SSL to connect to a websocket-enabled Kismet server                                and use the provided certificate authority certificate                                to validate the server.  --user [username]            Kismet username for a websockets-based remote capture                                source.  A username and password, or an API key, are                                required for websockets mode.  A username and password                                are ONLY used in websockets mode.  --password [password]        Kismet password for a websockets-based remote capture source.                                A username and password, or an API key, are required for                                websocket mode.  A username and password are ONLY used in                                websockets mode.  --apikey [api key]           A Kismet API key for the 'datasource' role; this may be                                supplied instead of a username and password for websockets                                based remote capture.  An API key is ONLY used in websockets                                mode.  --endpoint [endpoint]        An alternate endpoint for the websockets connection.  By                                default remote datasources are terminated at                                  /datasource/remote/remotesource.ws                                This should typically only be changed when using a HTTP proxy                                homing the Kismet service under a directory.  Endpoints                                 should include the full path to the websocket endpoint, for                                example:                                  --endpoint=/kismet/proxy/datasource/remote/remotesource.ws  --source [source def]        Specify a source to send to the remote                                Kismet server; only used in conjunction with remote capture.  --disable-retry              Do not attempt to reconnect to a remote server if there is an                                error; exit immediately.  By default a remote capture will                                attempt to reconnect indefinitely if the server is not                                available.  --fixed-gps [lat,lon,alt]    Set a fixed location for this capture (remote only),                                accepts lat,lon,alt or lat,lon  --gps-name [name]            Set an alternate GPS name for this source  --daemonize                  Background the capture tool and enter daemon mode.  --list                       List supported devices detected  --autodetect [uuid:optional] Look for a Kismet server in announcement mode, optionally                                waiting for a specific server UUID to be seen.  Requires                                a Kismet server configured for announcement mode.  --version                    Print version and exit. 
0011c4c0 string FATAL: unable to connect as remote source when no probe callback provided. 
0011c510 string FATAL: Could not probe local source prior to connecting to the remote host: %s 
0011c560 string FATAL: Datasource could not connect websocket 
0011c590 string FATAL: Failed to write data to buffer 
0011c5b8 string FATAL: Failed to allocate ws buffer 
0011c5e0 string FATAL:  Failed to queue ws message 
0011c608 string ERROR:  cf_send_packet with unknown connection type 
0011c640 string FATAL: Mpack couldn't serialize MESSAGE (%u) 
0011c670 string FATAL: Mpack couldn't serialize ERROR (%u) 
0011c6a0 string failed to launch signal thread
0011c6c0 string failed to launch capture thread
0011c6e0 string failed to launch channel hopping thread
0011c708 string FATAL: Mpack couldn't serialize LISTREPORT (%u) 
0011c740 string ERROR: Mpack couldn't serialize PROBEREPORT (%u) 
