00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
001010d1 string-utf8 _ITM_deregisterTMCloneTable
001010ed string-utf8 __gmon_start__
001010fc string-utf8 _ITM_registerTMCloneTable
00101116 string-utf8 fgetfilecon_raw
00101126 string-utf8 fgetfilecon
00101132 string-utf8 freecon
0010113a string-utf8 lgetfilecon
00101146 string-utf8 lgetfilecon_raw
00101156 string-utf8 optind
0010115d string-utf8 nl_langinfo
00101169 string-utf8 obstack_alloc_failed_handler
00101186 string-utf8 error_message_count
0010119a string-utf8 strcpy
001011a1 string-utf8 gethostname
001011ad string-utf8 mempcpy
001011b5 string-utf8 snprintf
001011be string-utf8 getgrgid
001011c7 string-utf8 program_invocation_short_name
001011e5 string-utf8 nl_langinfo_l
001011f3 string-utf8 _setjmp
001011fb string-utf8 fputc_unlocked
0010120a string-utf8 strcoll
00101212 string-utf8 dirfd
00101218 string-utf8 __strcpy_chk
00101225 string-utf8 clock_gettime
00101233 string-utf8 dcgettext
0010123d string-utf8 __ctype_toupper_loc
00101251 string-utf8 uselocale
0010125b string-utf8 tzset
00101261 string-utf8 __stack_chk_fail
00101272 string-utf8 __printf_chk
0010127f string-utf8 free
00101284 string-utf8 statx
0010128a string-utf8 __assert_fail
00101298 string-utf8 sigaddset
001012a2 string-utf8 stat
001012a7 string-utf8 sigismember
001012b3 string-utf8 rawmemchr
001012bd string-utf8 sigaction
001012c7 string-utf8 fcntl
001012cd string-utf8 fnmatch
001012d5 string-utf8 closedir
001012de string-utf8 __ctype_get_mb_cur_max
001012f5 string-utf8 strspn
001012fc string-utf8 strrchr
00101304 string-utf8 memmove
0010130c string-utf8 error
00101312 string-utf8 timegm
00101319 string-utf8 getpwuid
00101322 string-utf8 localtime_r
0010132e string-utf8 strlen
00101335 string-utf8 getgrnam
0010133e string-utf8 __ctype_b_loc
0010134c string-utf8 __fpending
00101357 string-utf8 unsetenv
00101360 string-utf8 __memcpy_chk
0010136d string-utf8 faccessat
00101377 string-utf8 strnlen
0010137f string-utf8 __vfprintf_chk
0010138e string-utf8 mbsinit
00101396 string-utf8 fflush_unlocked
001013a6 string-utf8 readlink
001013af string-utf8 stdout
001013b6 string-utf8 optarg
001013bd string-utf8 realloc
001013c5 string-utf8 isatty
001013cc string-utf8 gmtime_r
001013d5 string-utf8 __sprintf_chk
001013e3 string-utf8 _exit
001013e9 string-utf8 getpwnam
001013f2 string-utf8 bindtextdomain
00101401 string-utf8 __memmove_chk
0010140f string-utf8 error_one_per_line
00101422 string-utf8 strftime
0010142b string-utf8 __fprintf_chk
00101439 string-utf8 localeconv
00101444 string-utf8 strcspn
0010144c string-utf8 malloc
00101453 string-utf8 __libc_start_main
00101465 string-utf8 iswprint
0010146e string-utf8 sigprocmask
0010147a string-utf8 error_at_line
00101488 string-utf8 stderr
0010148f string-utf8 __isoc23_strtoumax
001014a2 string-utf8 mktime
001014a9 string-utf8 __memset_chk
001014b6 string-utf8 llistxattr
001014c1 string-utf8 iswcntrl
001014ca string-utf8 fwrite_unlocked
001014da string-utf8 raise
001014e0 string-utf8 __ctype_tolower_loc
001014f4 string-utf8 __cxa_finalize
00101503 string-utf8 setlocale
0010150d string-utf8 strchr
00101514 string-utf8 fgetxattr
0010151e string-utf8 readdir
00101526 string-utf8 lgetxattr
00101530 string-utf8 getenv
00101537 string-utf8 calloc
0010153e string-utf8 memcmp
00101545 string-utf8 fclose
0010154c string-utf8 memset
00101553 string-utf8 ioctl
00101559 string-utf8 fputs_unlocked
00101568 string-utf8 signal
0010156f string-utf8 program_invocation_name
00101587 string-utf8 opendir
0010158f string-utf8 __snprintf_chk
0010159e string-utf8 sigemptyset
001015aa string-utf8 wcwidth
001015b2 string-utf8 memcpy
001015b9 string-utf8 getcwd
001015c0 string-utf8 strcmp
001015c7 string-utf8 __errno_location
001015d8 string-utf8 abort
001015de string-utf8 getopt_long
001015ea string-utf8 strerror_r
001015f5 string-utf8 mbrtoc32
001015fe string-utf8 __overflow
00101609 string-utf8 error_print_progname
0010161e string-utf8 tcgetpgrp
00101628 string-utf8 strncmp
00101630 string-utf8 flistxattr
0010163b string-utf8 __progname_full
0010164b string-utf8 __progname
00101656 string-utf8 __cxa_atexit
00101663 string-utf8 libselinux.so.1
00101673 string-utf8 libc.so.6
0010167d string-utf8 LIBSELINUX_1.0
0010168c string-utf8 GLIBC_2.28
00101697 string-utf8 GLIBC_2.38
001016a2 string-utf8 GLIBC_2.14
001016ad string-utf8 GLIBC_2.33
001016b8 string-utf8 GLIBC_2.16
001016c3 string-utf8 GLIBC_2.17
001016ce string-utf8 GLIBC_2.4
001016d8 string-utf8 GLIBC_2.34
001016e3 string-utf8 GLIBC_2.3.4
001016ef string-utf8 GLIBC_2.2.5
001016fb string-utf8 GLIBC_2.3
0011d5e0 string dev_ino_pop
0011d628 string sort_files
0011d633 string posix-
0011d740 string lcrcecrsnofidilnpisobdcdmiorexdosusgstowtwcamhcl
0011d8b0 string ?pcdb-lswd
0011d920 string # Configuration file for dircolors, a utility to help you set the
0011d962 string # LS_COLORS environment variable used by GNU ls with the --color option.
0011d9ab string # Copyright (C) 1996-2026 Free Software Foundation, Inc.
0011d9e4 string # Copying and distribution of this file, with or without modification,
0011da2b string # are permitted provided the copyright notice and this notice are preserved.
0011da7a string # The keywords COLOR, OPTIONS, and EIGHTBIT (honored by the
0011dab6 string # slackware version of dircolors) are recognized but ignored.
0011daf4 string # Global config options can be specified before TERM or COLORTERM entries
0011db3e string # ===================================================================
0011db84 string # Terminal filters
0011db97 string # ===================================================================
0011dbdd string # Below are TERM or COLORTERM entries, which can be glob patterns, which
0011dc26 string # restrict following config to systems with matching environment variables.
0011dc72 string COLORTERM ?*
0011dc7f string TERM Eterm
0011dc8a string TERM ansi
0011dc94 string TERM *color*
0011dca1 string TERM con[0-9]*x[0-9]*
0011dcb7 string TERM cons25
0011dcc3 string TERM console
0011dcd0 string TERM cygwin
0011dcdc string TERM *direct*
0011dcea string TERM dtterm
0011dcf6 string TERM gnome
0011dd01 string TERM hurd
0011dd0b string TERM jfbterm
0011dd18 string TERM konsole
0011dd25 string TERM kterm
0011dd30 string TERM linux
0011dd3b string TERM linux-c
0011dd48 string TERM mlterm
0011dd54 string TERM putty
0011dd6a string TERM screen*
0011dd77 string TERM st
0011dd7f string TERM terminator
0011dd9a string TERM vt100
0011ddb0 string TERM xterm*
0011ddbc string # ===================================================================
0011de02 string # Basic file attributes
0011de1a string # ===================================================================
0011de60 string # Below are the color init strings for the basic file types.
0011de9d string # One can use codes for 256 or more colors supported by modern terminals.
0011dee7 string # The default color codes use the capabilities of an 8 color terminal
0011df2d string # with some additional attributes as per the following codes:
0011df6b string # Attribute codes:
0011df7e string # 00=none 01=bold 04=underscore 05=blink 07=reverse 08=concealed
0011dfbf string # Text color codes:
0011dfd3 string # 30=black 31=red 32=green 33=yellow 34=blue 35=magenta 36=cyan 37=white
0011e01c string # Background color codes:
0011e036 string # 40=black 41=red 42=green 43=yellow 44=blue 45=magenta 46=cyan 47=white
0011e07f string #NORMAL 00 # no color code at all
0011e0a1 string #FILE 00 # regular file: use no color at all
0011e0ce string RESET 0 # reset to "normal" color
0011e0f0 string DIR 01;34 # directory
0011e106 string LINK 01;36 # symbolic link. (If you set this to 'target' instead of a
0011e14c string  # numerical value, the color is as for the file pointed to.)
0011e18a string MULTIHARDLINK 00 # regular file with more than one link
0011e1c2 string FIFO 40;33 # pipe
0011e1d4 string SOCK 01;35 # socket
0011e1e8 string DOOR 01;35 # door
