00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100f71 string-utf8 _ITM_deregisterTMCloneTable
00100f8d string-utf8 __gmon_start__
00100f9c string-utf8 _ITM_registerTMCloneTable
00100fb6 string-utf8 scols_table_set_name
00100fcb string-utf8 scols_new_table
00100fdb string-utf8 scols_table_enable_json
00100ff3 string-utf8 scols_init_debug
00101004 string-utf8 scols_print_table
00101016 string-utf8 scols_table_enable_noheadings
00101034 string-utf8 scols_line_refer_data
0010104a string-utf8 scols_table_enable_export
00101064 string-utf8 scols_column_set_json_type
0010107f string-utf8 scols_table_new_line
00101094 string-utf8 scols_table_enable_raw
001010ab string-utf8 scols_unref_table
001010bd string-utf8 scols_table_new_column
001010d4 string-utf8 fgetc
001010da string-utf8 optind
001010e1 string-utf8 nanosleep
001010eb string-utf8 reallocarray
001010f8 string-utf8 program_invocation_short_name
00101116 string-utf8 versionsort
00101122 string-utf8 getdtablesize
00101130 string-utf8 dirfd
00101136 string-utf8 dcgettext
00101140 string-utf8 __stack_chk_fail
00101151 string-utf8 __printf_chk
0010115e string-utf8 fstatat
00101166 string-utf8 __assert_fail
00101174 string-utf8 __isoc23_strtoimax
00101187 string-utf8 strdup
0010118e string-utf8 fcntl
00101194 string-utf8 __sched_cpualloc
001011a5 string-utf8 closedir
001011ae string-utf8 strspn
001011b5 string-utf8 strrchr
001011bd string-utf8 ferror
001011c4 string-utf8 fflush
001011cb string-utf8 strtod
001011d2 string-utf8 strtok
001011d9 string-utf8 __explicit_bzero_chk
001011ee string-utf8 strndup
001011f6 string-utf8 __openat_2
00101201 string-utf8 strlen
00101208 string-utf8 __ctype_b_loc
00101216 string-utf8 read
0010121b string-utf8 __vasprintf_chk
0010122b string-utf8 __sched_cpufree
0010123b string-utf8 __memcpy_chk
00101248 string-utf8 faccessat
00101252 string-utf8 mkdir
00101258 string-utf8 __vfprintf_chk
00101267 string-utf8 __isoc23_strtol
00101277 string-utf8 __vsnprintf_chk
00101287 string-utf8 getpid
0010128e string-utf8 readlink
00101297 string-utf8 stdout
0010129e string-utf8 umask
001012a4 string-utf8 optarg
001012ab string-utf8 realloc
001012b3 string-utf8 isatty
001012ba string-utf8 _exit
001012c0 string-utf8 bindtextdomain
001012cf string-utf8 __open_2
001012d8 string-utf8 __fprintf_chk
001012e6 string-utf8 localeconv
001012f1 string-utf8 strcspn
001012f9 string-utf8 malloc
00101300 string-utf8 __libc_start_main
00101312 string-utf8 strtold
0010131a string-utf8 stderr
00101321 string-utf8 fdopen
00101328 string-utf8 __isoc23_strtoumax
0010133b string-utf8 mkostemp
00101344 string-utf8 __read_chk
0010134f string-utf8 fdopendir
00101359 string-utf8 __ctype_tolower_loc
0010136d string-utf8 warn
00101372 string-utf8 __cxa_finalize
00101381 string-utf8 scandir
00101389 string-utf8 setlocale
00101393 string-utf8 strchr
0010139a string-utf8 getgid
001013a1 string-utf8 readdir
001013a9 string-utf8 getenv
001013b0 string-utf8 calloc
001013b7 string-utf8 fclose
001013be string-utf8 __asprintf_chk
001013cd string-utf8 memset
001013d4 string-utf8 readlinkat
001013df string-utf8 __isoc23_strtoul
001013f0 string-utf8 fputc
001013f6 string-utf8 __isoc23_vfscanf
00101407 string-utf8 fputs
0010140d string-utf8 __snprintf_chk
0010141c string-utf8 getuid
00101423 string-utf8 getegid
0010142b string-utf8 access
00101432 string-utf8 memcpy
00101439 string-utf8 fileno
00101440 string-utf8 strcmp
00101447 string-utf8 __errno_location
00101458 string-utf8 write
0010145e string-utf8 syscall
00101466 string-utf8 sendfile
0010146f string-utf8 getopt_long
0010147b string-utf8 fstat
00101481 string-utf8 strncmp
00101489 string-utf8 geteuid
00101491 string-utf8 warnx
00101497 string-utf8 errx
0010149c string-utf8 rewinddir
001014a6 string-utf8 __progname
001014b1 string-utf8 __cxa_atexit
001014be string-utf8 libsmartcols.so.1
001014d0 string-utf8 libc.so.6
001014da string-utf8 GLIBC_2.3
001014e4 string-utf8 GLIBC_2.25
001014ef string-utf8 GLIBC_2.14
001014fa string-utf8 GLIBC_2.33
00101505 string-utf8 GLIBC_2.8
0010150f string-utf8 GLIBC_2.7
00101519 string-utf8 GLIBC_2.26
00101524 string-utf8 GLIBC_2.4
0010152e string-utf8 GLIBC_2.34
00101539 string-utf8 GLIBC_2.3.4
00101545 string-utf8 GLIBC_2.38
00101550 string-utf8 GLIBC_2.2.5
0010155c string-utf8 SMARTCOLS_2.27
0010156b string-utf8 SMARTCOLS_2.25
0010157a string-utf8 SMARTCOLS_2.33
0010d005 string $tI(knNunknown column: %s
0010d01f string Memory block size:
0010d032 string %-32s %15ld 
0010d03f string Total online memory:
0010d054 string Total offline memory:
0010d06a string %-32s %5s 
0010d075 string sys-utils/lsmem.c
0010d087 string num >= 0
0010d090 string (size_t) num < ncolumns
0010d0a8 string cannot allocate string
0010d0bf string Failed to open %s
0010d0d6 string block_size_bytes
0010d0e7 string Failed to read %s
0010d0f9 string memory0/valid_zones
0010d10d string %s/removable
0010d11a string %s/state
0010d123 string online
0010d12a string going-offline
