00100394 TerminatedCString /lib64/ld-linux-x86-64.so.2
001011c9 string-utf8 _ITM_deregisterTMCloneTable
001011e5 string-utf8 __gmon_start__
001011f4 string-utf8 _ITM_registerTMCloneTable
0010120e string-utf8 tgoto
00101214 string-utf8 tgetflag
0010121d string-utf8 tgetent
00101225 string-utf8 tgetnum
0010122d string-utf8 BC
00101230 string-utf8 COLS
00101235 string-utf8 tputs
0010123b string-utf8 tgetstr
00101243 string-utf8 LINES
00101249 string-utf8 optind
00101250 string-utf8 fgets
00101256 string-utf8 strcpy
0010125d string-utf8 setvbuf
00101265 string-utf8 snprintf
0010126e string-utf8 chmod
00101274 string-utf8 iconv_open
0010127f string-utf8 wcscpy
00101286 string-utf8 perror
0010128d string-utf8 _setjmp
00101295 string-utf8 strncpy
0010129d string-utf8 __strcpy_chk
001012aa string-utf8 dcgettext
001012b4 string-utf8 __ctype_toupper_loc
001012c8 string-utf8 __stack_chk_fail
001012d9 string-utf8 __printf_chk
001012e6 string-utf8 free
001012eb string-utf8 fread
001012f1 string-utf8 chdir
001012f7 string-utf8 iconv
001012fd string-utf8 __fdelt_chk
00101309 string-utf8 __assert_fail
00101317 string-utf8 tcsendbreak
00101323 string-utf8 sigaddset
0010132d string-utf8 iconv_close
00101339 string-utf8 stat
0010133e string-utf8 freeaddrinfo
0010134b string-utf8 getaddrinfo
00101357 string-utf8 __longjmp_chk
00101365 string-utf8 strdup
0010136c string-utf8 fcntl
00101372 string-utf8 closedir
0010137b string-utf8 strrchr
00101383 string-utf8 putchar
0010138b string-utf8 unlink
00101392 string-utf8 fflush
00101399 string-utf8 memmove
001013a1 string-utf8 gettimeofday
001013ae string-utf8 strtok
001013b5 string-utf8 poll
001013ba string-utf8 fopen
001013c0 string-utf8 __isoc23_sscanf
001013d0 string-utf8 flock
001013d6 string-utf8 system
001013dd string-utf8 socket
001013e4 string-utf8 getpwuid
001013ed string-utf8 mbtowc
001013f4 string-utf8 localtime_r
00101400 string-utf8 fork
00101405 string-utf8 strlen
0010140c string-utf8 __ctype_b_loc
0010141a string-utf8 usleep
00101421 string-utf8 unsetenv
0010142a string-utf8 strstr
00101431 string-utf8 wcsncpy
00101439 string-utf8 wcslen
00101440 string-utf8 wait
00101445 string-utf8 __vfprintf_chk
00101454 string-utf8 __isoc23_strtol
00101464 string-utf8 wcsstr
0010146b string-utf8 __vsnprintf_chk
0010147b string-utf8 dup2
00101480 string-utf8 getpid
00101487 string-utf8 stdout
0010148e string-utf8 umask
00101494 string-utf8 mbstowcs
0010149d string-utf8 optarg
001014a4 string-utf8 realloc
001014ac string-utf8 wctomb
001014b3 string-utf8 execvp
001014ba string-utf8 __sprintf_chk
001014c8 string-utf8 strcat
001014cf string-utf8 bindtextdomain
001014de string-utf8 __memmove_chk
001014ec string-utf8 strftime
001014f5 string-utf8 strcasecmp
00101500 string-utf8 __fprintf_chk
0010150e string-utf8 __fread_chk
0010151a string-utf8 malloc
00101521 string-utf8 __libc_start_main
00101533 string-utf8 sigprocmask
0010153f string-utf8 stderr
00101546 string-utf8 __cxa_finalize
00101555 string-utf8 localtime
0010155f string-utf8 setlocale
00101569 string-utf8 strchr
00101570 string-utf8 ftell
00101576 string-utf8 kill
0010157b string-utf8 readdir
00101583 string-utf8 getenv
0010158a string-utf8 calloc
00101591 string-utf8 fclose
00101598 string-utf8 memset
0010159f string-utf8 wcschr
001015a6 string-utf8 ioctl
001015ac string-utf8 fputc
001015b2 string-utf8 towupper
001015bb string-utf8 tcgetattr
001015c5 string-utf8 fputs
001015cb string-utf8 signal
001015d2 string-utf8 connect
001015da string-utf8 opendir
001015e2 string-utf8 gai_strerror
001015ef string-utf8 __snprintf_chk
001015fe string-utf8 getuid
00101605 string-utf8 sigemptyset
00101611 string-utf8 access
00101618 string-utf8 tcsetattr
00101622 string-utf8 wcwidth
0010162a string-utf8 memcpy
00101631 string-utf8 getcwd
00101638 string-utf8 fwrite
0010163f string-utf8 select
00101646 string-utf8 strcmp
0010164d string-utf8 qsort
00101653 string-utf8 fseek
00101659 string-utf8 strsep
00101660 string-utf8 __errno_location
00101671 string-utf8 getopt_long
0010167d string-utf8 pipe
00101682 string-utf8 strncmp
0010168a string-utf8 alarm
00101690 string-utf8 __environ
0010169a string-utf8 __cxa_atexit
001016a7 string-utf8 libtinfo.so.6
001016b5 string-utf8 libc.so.6
001016bf string-utf8 NCURSES6_TINFO_5.0.19991023
001016db string-utf8 GLIBC_2.11
001016e6 string-utf8 GLIBC_2.7
001016f0 string-utf8 GLIBC_2.14
001016fb string-utf8 GLIBC_2.33
00101706 string-utf8 GLIBC_2.15
00101711 string-utf8 GLIBC_2.4
0010171b string-utf8 GLIBC_2.38
00101726 string-utf8 GLIBC_2.34
00101731 string-utf8 GLIBC_2.3.4
0010173d string-utf8 GLIBC_2.2.5
00101749 string-utf8 GLIBC_2.3
00125004 string minicom.c
0012500e string outofrange
00125019 string simple
00125020 string delta
00125026 string persecond
00125030 string extended
00125039 string Killed by signal %d ! 
00125050 string Type "minicom %s" for help. 
0012506d string --help
00125074 string SEARCH FOR (ESC=Exit)
0012508a string %s(%d):
00125092 string Timestamp OFF
001250a0 string Timestamp every line (simple)
001250be string Timestamp lines every second
001250db string Timestamp delta between lines
00125102 string ASCII
00125108 string /usr/share/locale
00125124 string LC_ALL
0012512b string POSIX
00125131 string MINICOM
00125139 string args_buffer
00125145 string %s version %s
00125158 string /etc/minicom
00125165 string /dev/
00125173 string pqrstuvwxyz/
00125180 string /dev/%s
00125188 string TERMCAP
00125190 string Cannot open capture file 
001251aa string Invalid buffering mode '%s' 
001251c9 string Unknown option '%s'. 
001251e1 string LC_CTYPE
001251ea string %s//TRANSLIT
001251f7 string %s/minirc.%s
00125204 string You don't exist. Go away. 
00125224 string %s/.minirc.%s
0012523c string Welcome to minicom
0012524f string  %s %s  
00125258 string OPTIONS
00125260 string  %s: %s  
00125274 string %s %s%s [%c]  
001252b3 string pertoire des scripts :
00125311 string 1234567890
0012531c string  (failed test)
0012532b string %s%s  
00125332 string Add linefeed ON
00125342 string Add linefeed OFF
00125353 string Add carriage return ON
0012536a string Add carriage return OFF
00125382 string Local echo ON
00125390 string Local echo OFF
0012539f string History buffer Disabled!
001253b8 string History buffer empty!
001253ce string Leave without reset?
001253e3 string CHANGED
001253eb string Save macros?
001253f8 string Leave Minicom?
00125407 string Capture to which file? 
0012541f string Cannot open capture file
00125438 string Capture file
00125445 string Hang-up line?
00125453 string Linewrap ON
0012545f string Linewrap OFF
00125471 string metakey
00125479 string metakey8
00125490 string noinit
00125497 string attrib
0012549e string statline
001254a7 string capturefile
001254bd string displayhex
001254c8 string disabletime
001254d4 string baudrate
001254dd string device
001254e4 string remotecharset
001254f2 string option
001254f9 string statlinefmt
00125505 string capturefile-buffer-mode
0012551d string    Yes  
00125526 string    No   
0012552f string   Close 
00125538 string  Unpause
00125541 string   Exit  
0012554a string  Pause  
0012555b string [%F %T
0012556b string [%lld.%03lld] 
001255b3 string cursor.on
001255bd string cursor.off
001255c8 string linewrap.on
001255d4 string linewrap.off
00125642 string  A - Download directory :
0012565c string  B - Upload directory   :
00125676 string  C - Script directory   :
00125690 string  D - Script program     :
001256aa string  E - Kermit program     :
001256c4 string  F - Logging options
001256d9 string Change which setting?
001256ef string %s %.44s 
001256f9 string %s %s 
00125700 string  C - Status line is         :
0012571e string  E - Foreground Color (menu):
0012573c string  F - Background Color (menu):
0012575a string  G - Foreground Color (term):
00125778 string  H - Background Color (term):
