00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00101499 string-utf8 _ITM_deregisterTMCloneTable
001014b5 string-utf8 __gmon_start__
001014c4 string-utf8 _ITM_registerTMCloneTable
001014de string-utf8 uuid_generate_random
001014f3 string-utf8 uuid_clear
001014fe string-utf8 uuid_unparse
0010150b string-utf8 uuid_generate_time
0010151e string-utf8 uuid_parse
00101529 string-utf8 uuid_generate
00101537 string-utf8 blkid_probe_lookup_value
00101550 string-utf8 blkid_probe_enable_partitions
0010156e string-utf8 blkid_new_probe
0010157e string-utf8 blkid_probe_enable_superblocks
0010159d string-utf8 blkid_do_probe
001015ac string-utf8 blkid_do_wipe
001015ba string-utf8 blkid_do_fullprobe
001015cd string-utf8 blkid_probe_set_superblocks_flags
001015ef string-utf8 blkid_free_probe
00101600 string-utf8 blkid_probe_set_device
00101617 string-utf8 context_str
00101623 string-utf8 selabel_close
00101631 string-utf8 selabel_open
0010163e string-utf8 is_selinux_enabled
00101651 string-utf8 context_type_set
00101662 string-utf8 fgetfilecon
0010166e string-utf8 freecon
00101676 string-utf8 fsetfilecon
00101682 string-utf8 context_free
0010168f string-utf8 setfscreatecon
0010169e string-utf8 selinux_check_access
001016b3 string-utf8 selabel_lookup
001016c2 string-utf8 context_new
001016ce string-utf8 getprevcon
001016d9 string-utf8 fgetc
001016df string-utf8 optind
001016e6 string-utf8 fgets
001016ec string-utf8 nanosleep
001016f6 string-utf8 mempcpy
001016fe string-utf8 getpagesize
0010170a string-utf8 reallocarray
00101717 string-utf8 chmod
0010171d string-utf8 program_invocation_short_name
0010173b string-utf8 wcstombs
00101744 string-utf8 getdtablesize
00101752 string-utf8 dirfd
00101758 string-utf8 dcgettext
00101762 string-utf8 __stack_chk_fail
00101773 string-utf8 __printf_chk
00101780 string-utf8 hasmntopt
0010178a string-utf8 setgid
00101791 string-utf8 fstatat
00101799 string-utf8 __assert_fail
001017a7 string-utf8 __isoc23_fscanf
001017b7 string-utf8 __isoc23_strtoimax
001017ca string-utf8 strdup
001017d1 string-utf8 fcntl
001017d7 string-utf8 __sched_cpualloc
001017e8 string-utf8 closedir
001017f1 string-utf8 realpath
001017fa string-utf8 __ctype_get_mb_cur_max
00101811 string-utf8 strspn
00101818 string-utf8 setuid
0010181f string-utf8 strrchr
00101827 string-utf8 unlink
0010182e string-utf8 ferror
00101835 string-utf8 fflush
0010183c string-utf8 memmove
00101844 string-utf8 ftruncate
0010184e string-utf8 strtod
00101855 string-utf8 __explicit_bzero_chk
0010186a string-utf8 fopen
00101870 string-utf8 strndup
00101878 string-utf8 __isoc23_sscanf
00101888 string-utf8 flock
0010188e string-utf8 __openat_2
00101899 string-utf8 endmntent
001018a3 string-utf8 fork
001018a8 string-utf8 strlen
001018af string-utf8 __ctype_b_loc
001018bd string-utf8 read
001018c2 string-utf8 __vasprintf_chk
001018d2 string-utf8 __sched_cpufree
001018e2 string-utf8 strstr
001018e9 string-utf8 mbrtowc
001018f1 string-utf8 faccessat
001018fb string-utf8 mkdir
00101901 string-utf8 __vfprintf_chk
00101910 string-utf8 __isoc23_strtol
00101920 string-utf8 __vsnprintf_chk
00101930 string-utf8 getpid
00101937 string-utf8 readlink
00101940 string-utf8 stdout
00101947 string-utf8 umask
0010194d string-utf8 mbstowcs
00101956 string-utf8 optarg
0010195d string-utf8 realloc
00101965 string-utf8 isatty
0010196c string-utf8 __sprintf_chk
0010197a string-utf8 _exit
00101980 string-utf8 bindtextdomain
0010198f string-utf8 __open_2
00101998 string-utf8 __fprintf_chk
001019a6 string-utf8 localeconv
001019b1 string-utf8 __xpg_basename
001019c0 string-utf8 strcspn
001019c8 string-utf8 malloc
001019cf string-utf8 __libc_start_main
001019e1 string-utf8 getmntent
001019eb string-utf8 strtold
001019f3 string-utf8 setmntent
001019fd string-utf8 iswprint
00101a06 string-utf8 stderr
00101a0d string-utf8 fdopen
00101a14 string-utf8 __isoc23_strtoumax
00101a27 string-utf8 mkostemp
00101a30 string-utf8 __read_chk
00101a3b string-utf8 fdopendir
00101a45 string-utf8 __ctype_tolower_loc
00101a59 string-utf8 warn
00101a5e string-utf8 __cxa_finalize
00101a6d string-utf8 setlocale
00101a77 string-utf8 strchr
00101a7e string-utf8 getgid
00101a85 string-utf8 readdir
00101a8d string-utf8 getenv
00101a94 string-utf8 posix_fallocate
00101aa4 string-utf8 calloc
00101aab string-utf8 fsync
00101ab1 string-utf8 fclose
00101ab8 string-utf8 __asprintf_chk
00101ac7 string-utf8 memset
00101ace string-utf8 readlinkat
00101ad9 string-utf8 __isoc23_strtoul
00101aea string-utf8 ioctl
00101af0 string-utf8 fputc
00101af6 string-utf8 __isoc23_vfscanf
00101b07 string-utf8 waitpid
00101b0f string-utf8 fputs
00101b15 string-utf8 __snprintf_chk
00101b24 string-utf8 getuid
00101b2b string-utf8 getegid
00101b33 string-utf8 wcwidth
00101b3b string-utf8 memcpy
00101b42 string-utf8 fileno
00101b49 string-utf8 getcwd
00101b50 string-utf8 fwrite
00101b57 string-utf8 strcmp
00101b5e string-utf8 qsort
00101b64 string-utf8 uname
00101b6a string-utf8 strsep
00101b71 string-utf8 __errno_location
00101b82 string-utf8 dcngettext
00101b8d string-utf8 syscall
00101b95 string-utf8 abort
00101b9b string-utf8 sendfile
00101ba4 string-utf8 getopt_long
00101bb0 string-utf8 pipe
00101bb5 string-utf8 lseek
00101bbb string-utf8 fstat
00101bc1 string-utf8 strncmp
00101bc9 string-utf8 geteuid
00101bd1 string-utf8 warnx
00101bd7 string-utf8 errx
00101bdc string-utf8 rewinddir
00101be6 string-utf8 __progname
00101bf1 string-utf8 __cxa_atexit
00101bfe string-utf8 libuuid.so.1
00101c0b string-utf8 libblkid.so.1
00101c19 string-utf8 libselinux.so.1
00101c29 string-utf8 libc.so.6
00101c33 string-utf8 BLKID_2.21
00101c3e string-utf8 BLKID_2.17
00101c49 string-utf8 BLKID_2.15
00101c54 string-utf8 LIBSELINUX_1.0
00101c63 string-utf8 GLIBC_2.25
00101c6e string-utf8 GLIBC_2.14
00101c79 string-utf8 GLIBC_2.3
00101c83 string-utf8 GLIBC_2.33
00101c8e string-utf8 GLIBC_2.8
00101c98 string-utf8 GLIBC_2.7
00101ca2 string-utf8 GLIBC_2.26
00101cad string-utf8 GLIBC_2.4
00101cb7 string-utf8 GLIBC_2.34
00101cc2 string-utf8 GLIBC_2.3.4
00101cce string-utf8 GLIBC_2.38
00101cd9 string-utf8 GLIBC_2.2.5
00101ce5 string-utf8 UUID_1.0
00119010 string mkswap: %s contains holes or other unsupported extents.         This swap file can be rejected by kernel on swap activation! 
00119098 string         Use --verbose for more details. 
001190c8 string data inline extent at offset %ju
001190f0 string unallocated extent at offset %ju
00119118 string unable to alloc new libblkid probe
00119140 string unable to assign device to libblkid probe
00119170 string %s: mutually exclusive arguments:
00119198 string swapspace version %d is not supported
001191c0 string invalid endianness %s is not supported
001191e8 string  -c, --check               check bad blocks before creating the swap area 
00119238 string  -f, --force               allow swap size area be larger than device 
00119280 string  -q, --quiet               suppress output and warning messages 
001192c8 string  -p, --pagesize SIZE       specify page size in bytes 
00119300 string  -L, --label LABEL         specify label 
00119330 string  -v, --swapversion NUM     specify swap-space version number 
00119370 string  -U, --uuid UUID           specify the uuid to use 
001193a8 string  -e, --endianness=<value>  specify the endianness to use (%s, %s or %s) 
001193f8 string  -o, --offset OFFSET       specify the offset in the device 
00119438 string  -s, --size SIZE           specify the size of a swap file in bytes 
00119480 string  -F, --file                create a swap file 
001194b0 string      --verbose             verbose output 
001194e0 string      --lock[=<mode>]       use exclusive device lock (%s, %s or %s) 
00119528 string Try '%s --help' for more information. 
00119550 string only one device argument is currently supported
00119580 string Bad user-specified page size %u
001195a0 string Using user-specified page size %d, instead of the system value %d
001195e8 string error: Nowhere to set up swap on?
00119610 string error: size %llu KiB is larger than device size %lu KiB
00119648 string error: swap area needs to be at least %ld KiB
00119678 string warning: truncating swap area to %llu KiB
001196a8 string error: %s is mounted; will not make swapspace
001196d8 string cannot create swap file %s: node isn't regular file
00119710 string cannot set permissions on swap file %s
00119738 string failed to set 'nocow' attribute
00119758 string couldn't allocate swap file %s
00119778 string warning: checking bad blocks from swap file is not supported: %s
001197c0 string %s: insecure permissions %04o, fix with: chmod %04o %s
001197f8 string %s: insecure file owner %d, fix with: chown 0:0 %s
00119830 string unable to erase bootbits sectors
00119858 string %s: warning: wiping old %s signature.
00119880 string %s: warning: don't erase bootbits sectors
001198b0 string         (%s partition table detected). 
001198d8 string Unable to set up swap-space: unreadable
00119900 string Setting up swapspace version %d, size = %s (%lu bytes) 
00119938 string %s: unable to write signature page
00119960 string %s: unable to obtain selinux file label
00119988 string %s: unable to obtain default selinux file label
001199b8 string unable to create new selinux context
001199e0 string couldn't compute selinux context
00119a08 string %s: %s: device already locked, waiting to get lock ... 
00119a40 string closing already open device (mode mismatch)
00119a70 string sysfs: failed devname to devno
00119a90 string %d: %s: don't print memory addresses (SUID executable). 
00119ad0 string /sys/module/loop/parameters/max_part
00119af8 string LOOP_SET_BLOCK_SIZE failed: %m
00119b18 string failed to determine device size
00119b38 string failed to determine expected size
00119b60 string failed to determine loopdev size
00119b88 string expected size misaligned to 512-byte sectors
00119bb8 string warning: loopdev and expected size mismatch (%ju/%ju)
00119bf0 string failed to set loopdev size, size: %ju, expected: %ju
00119c28 string find_unused by loop-control [rc=%d]
00119c50 string failed to get offset for device %s
00119c78 string failed to get sizelimit for device %s
00119ca0 string overlapping loop device %s (full match)
00119cc8 string access '%s' [no context, rc=%d]
00119cec string hole detected at offset %ju
00119d08 string shared extent at offset %ju
00119d24 string write error
00119d33 string /usr/share/locale
00119d45 string util-linux
00119d55 string parsing page size failed
00119d6e string parsing version number failed
00119d8c string native
00119d93 string little
00119d9e string Invalid offset
00119dad string Invalid size
00119dba string %s from %s
00119dc5 string util-linux 2.41.3
00119dd7 string features:
00119de7 string  Usage: 
00119df0 string  %s [options] device [size] 
00119e0d string Set up a Linux swap area. 
00119e28 string  Options: 
00119e33 string nonblock
00119e43 string display version
00119e53 string display this help
00119e65 string  -V, --version
00119e74 string  -h, --help
00119e91 string  For more details see %s. 
00119eb6 string cfp:qL:v:U:e:o:s:FVh
00119ecb string random
00119ed7 string error: parsing UUID failed
00119ef2 string cannot allocate %zu bytes
00119f0c string invalid block count argument
00119f29 string cannot open %s
00119f38 string cannot determine size of %s
00119f54 string offset larger than file size
00119f71 string disk-utils/mkswap.c
00119f85 string ctl->devname
00119f92 string stat of %s failed
00119fa4 string ctl->fd > -1
00119fb1 string seek failed in check_blocks
00119fcd string too many bad pages: %lu
00119fe5 string %lu bad pages 
00119ff4 string %lu bad page 
0011a002 string unable to rewind swap-device
0011a01f string PTTYPE
0011a026 string cannot duplicate string
0011a03e string Use -f to force. 
0011a050 string ctl.hdr
0011a05b string ctl->hdr
0011a064 string Label was truncated.
0011a079 string LABEL=%s, 
0011a084 string no label, 
0011a08f string UUID=%s 
