00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00101611 string-utf8 mpg123_spf
0010161c string-utf8 __gmon_start__
0010162b string-utf8 mpg123_init
00101637 string-utf8 mpg123_decode_frame
0010164b string-utf8 _ITM_deregisterTMCloneTable
00101667 string-utf8 _ITM_registerTMCloneTable
00101681 string-utf8 mpg123_getformat
00101692 string-utf8 mpg123_info2
0010169f string-utf8 mpg123_format_none
001016b2 string-utf8 mpg123_format2
001016c1 string-utf8 mpg123_param2
001016cf string-utf8 mpg123_getstate2
001016e0 string-utf8 lame_get_in_samplerate
001016f7 string-utf8 id3tag_set_fieldvalue
0010170d string-utf8 hip_finish_pinfo
0010171e string-utf8 lame_set_error_protection
00101738 string-utf8 lame_bitrate_kbps
0010174a string-utf8 id3tag_set_album
0010175b string-utf8 lame_set_errorf
0010176b string-utf8 lame_get_VBR_mean_bitrate_kbps
0010178a string-utf8 lame_get_brate
00101799 string-utf8 lame_set_debugf
001017a9 string-utf8 lame_set_VBR_q
001017b8 string-utf8 lame_get_free_format
001017cd string-utf8 lame_set_decode_only
001017e2 string-utf8 lame_set_emphasis
001017f4 string-utf8 lame_get_version
00101805 string-utf8 lame_set_strict_ISO
00101819 string-utf8 lame_get_mode
00101827 string-utf8 lame_stereo_mode_hist
0010183d string-utf8 lame_get_VBR_min_bitrate_kbps
0010185b string-utf8 hip_decode_init
0010186b string-utf8 id3tag_set_comment_ucs2
00101883 string-utf8 id3tag_set_year
00101893 string-utf8 lame_print_internals
001018a8 string-utf8 lame_get_out_samplerate
001018c0 string-utf8 id3tag_space_v1
001018d0 string-utf8 get_lame_version
001018e1 string-utf8 id3tag_set_track
001018f2 string-utf8 lame_set_VBR_quality
00101907 string-utf8 lame_set_copyright
0010191a string-utf8 lame_set_scale
00101929 string-utf8 id3tag_set_textinfo_utf16
00101943 string-utf8 lame_close
0010194e string-utf8 lame_set_highpassfreq
00101964 string-utf8 lame_set_disable_reservoir
0010197f string-utf8 id3tag_set_artist
00101991 string-utf8 id3tag_set_genre
001019a2 string-utf8 lame_get_frameNum
