00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00101581 string-utf8 _ITM_deregisterTMCloneTable
0010159d string-utf8 __gmon_start__
001015ac string-utf8 _ITM_registerTMCloneTable
001015c6 string-utf8 gztell
001015cd string-utf8 gzread
001015d4 string-utf8 gzdopen
001015dc string-utf8 stdin
001015e2 string-utf8 ctime
001015e8 string-utf8 strncpy
001015f0 string-utf8 __stack_chk_fail
00101601 string-utf8 __printf_chk
0010160e string-utf8 fread
00101614 string-utf8 exit
00101619 string-utf8 __assert_fail
00101627 string-utf8 fflush
0010162e string-utf8 memmove
00101636 string-utf8 strtod
0010163d string-utf8 fopen
00101643 string-utf8 strlen
0010164a string-utf8 __ctype_b_loc
00101658 string-utf8 __vasprintf_chk
00101668 string-utf8 strstr
0010166f string-utf8 __vsprintf_chk
0010167e string-utf8 __vfprintf_chk
0010168d string-utf8 __vsnprintf_chk
0010169d string-utf8 stdout
001016a4 string-utf8 pthread_mutex_lock
001016b7 string-utf8 __fprintf_chk
001016c5 string-utf8 __libc_start_main
001016d7 string-utf8 stderr
001016de string-utf8 __ctype_tolower_loc
001016f2 string-utf8 __cxa_finalize
00101701 string-utf8 strchr
00101708 string-utf8 ftell
0010170e string-utf8 memset
00101715 string-utf8 __isoc23_strtoul
00101726 string-utf8 fputc
0010172c string-utf8 fputs
00101732 string-utf8 pthread_mutex_unlock
00101747 string-utf8 __snprintf_chk
00101756 string-utf8 getuid
0010175d string-utf8 getpwuid_r
00101768 string-utf8 memcpy
0010176f string-utf8 fileno
00101776 string-utf8 fwrite
0010177d string-utf8 strcmp
00101784 string-utf8 qsort
0010178a string-utf8 __errno_location
0010179b string-utf8 strerror_r
001017a6 string-utf8 lseek
001017ac string-utf8 strncmp
001017b4 string-utf8 libz.so.1
001017be string-utf8 libc.so.6
001017c8 string-utf8 monoeg_g_strchug
001017d9 string-utf8 monoeg_g_filename_from_uri
001017f4 string-utf8 monoeg_g_utf16_asciiz_equal
00101810 string-utf8 monoeg_utf16_len
00101821 string-utf8 monoeg_realloc
00101830 string-utf8 monoeg_g_error_free
00101844 string-utf8 mono_assertion_message_unreachable
00101867 string-utf8 monoeg_g_strlcpy
00101878 string-utf8 monoeg_g_strjoinv
0010188a string-utf8 mono_assertion_message_disabled
001018aa string-utf8 monoeg_g_str_has_prefix
001018c2 string-utf8 monoeg_g_strsplit
001018d4 string-utf8 monoeg_g_strjoin
001018e5 string-utf8 monoeg_g_ascii_strdown_no_alloc
00101905 string-utf8 monoeg_g_ascii_strdown
0010191c string-utf8 monoeg_g_strv_length
00101931 string-utf8 monoeg_g_strdupv
00101942 string-utf8 _edata
00101949 string-utf8 monoeg_g_fprintf
0010195a string-utf8 monoeg_g_vasprintf
0010196d string-utf8 monoeg_g_hasenv
0010197d string-utf8 monoeg_g_strescape
00101990 string-utf8 monoeg_g_utf16_ascii_equal
001019ab string-utf8 monoeg_g_logv
001019b9 string-utf8 monoeg_g_strfreev
001019cb string-utf8 monoeg_g_propagate_error
001019e4 string-utf8 monoeg_g_snprintf
001019f6 string-utf8 monoeg_try_malloc
00101a08 string-utf8 monoeg_g_str_has_suffix
00101a20 string-utf8 monoeg_g_mem_get_vtable
00101a38 string-utf8 monoeg_g_strchomp
00101a4a string-utf8 monoeg_g_log_set_always_fatal
00101a68 string-utf8 monoeg_g_strdup_vprintf
00101a80 string-utf8 monoeg_g_setenv
00101a90 string-utf8 monoeg_g_ascii_xdigit_value
00101aac string-utf8 __data_start
00101ab9 string-utf8 monoeg_g_strsplit_set
00101acf string-utf8 monoeg_g_set_error
00101ae2 string-utf8 monoeg_g_strnfill
00101af4 string-utf8 g_log_disabled
00101b03 string-utf8 monoeg_g_strnlen
00101b14 string-utf8 monoeg_g_sprintf
00101b25 string-utf8 monoeg_assert_abort
00101b39 string-utf8 _IO_stdin_used
00101b48 string-utf8 monoeg_g_free
00101b56 string-utf8 monoeg_g_get_user_name
00101b6d string-utf8 monoeg_g_strdelimit
00101b81 string-utf8 monoeg_malloc
00101b8f string-utf8 monoeg_g_get_home_dir
00101ba5 string-utf8 monoeg_g_mem_set_vtable
00101bbd string-utf8 monoeg_ascii_strup
00101bd0 string-utf8 monoeg_g_ascii_tolower
00101be7 string-utf8 monoeg_g_log
00101bf4 string-utf8 monoeg_g_filename_to_uri
00101c0d string-utf8 monoeg_log_default_handler
00101c28 string-utf8 monoeg_assertion_disable_global
00101c48 string-utf8 monoeg_g_print
00101c57 string-utf8 _end
00101c5c string-utf8 monoeg_g_printv
00101c6c string-utf8 monoeg_g_strreverse
00101c80 string-utf8 monoeg_g_getenv
00101c90 string-utf8 monoeg_set_print_handler
00101ca9 string-utf8 monoeg_g_strerror
00101cbb string-utf8 __bss_start
00101cc7 string-utf8 monoeg_g_path_is_absolute
00101ce1 string-utf8 monoeg_ascii_strcasecmp
00101cf9 string-utf8 monoeg_g_printf
00101d09 string-utf8 monoeg_g_strdup_printf
00101d20 string-utf8 monoeg_set_printerr_handler
00101d3c string-utf8 monoeg_g_calloc
00101d4c string-utf8 monoeg_log_set_default_handler
00101d6b string-utf8 monoeg_try_realloc
00101d7e string-utf8 monoeg_get_assertion_message
00101d9b string-utf8 monoeg_g_clear_error
00101db0 string-utf8 monoeg_g_strdown
00101dc1 string-utf8 monoeg_g_strndup
00101dd2 string-utf8 monoeg_g_error_new
00101de5 string-utf8 monoeg_g_str_from_file_region
00101e03 string-utf8 monoeg_g_win32_getlocale
00101e1c string-utf8 monoeg_g_unsetenv
00101e2e string-utf8 monoeg_g_strconcat
00101e41 string-utf8 monoeg_g_stpcpy
00101e51 string-utf8 monoeg_g_log_set_fatal_mask
00101e6d string-utf8 monoeg_g_ascii_strncasecmp
00101e88 string-utf8 monoeg_malloc0
00101e97 string-utf8 monoeg_g_get_tmp_dir
00101eac string-utf8 monoeg_ascii_toupper
00101ec1 string-utf8 mono_assertion_message
00101ed8 string-utf8 monoeg_assertion_message
00101ef1 string-utf8 monoeg_g_memdup
00101f01 string-utf8 monoeg_g_printerr
00101f13 string-utf8 GLIBC_2.3
00101f1d string-utf8 GLIBC_2.8
00101f27 string-utf8 GLIBC_2.14
00101f32 string-utf8 GLIBC_2.4
00101f3c string-utf8 GLIBC_2.34
00101f47 string-utf8 GLIBC_2.3.4
00101f53 string-utf8 GLIBC_2.38
00101f5e string-utf8 GLIBC_2.2.5
00113008 string Mono log profiler report version %d.%d 
00113030 string Usage: mprof-report [OPTIONS] FILENAME
00113060 string FILENAME can be '-' to read from standard input.
00113098 string 	--help               display this help
001130c0 string 	--out=FILE           write to FILE instead of stdout
001130f8 string 	--traces             collect and show backtraces
00113130 string 	--maxframes=NUM      limit backtraces to NUM entries
00113168 string 	--reports=R1[,R2...] print the specified reports. Defaults are:
001131b0 string 	--method-sort=MODE   sort methods according to MODE: total, self, calls
00113200 string 	--alloc-sort=MODE    sort allocations according to MODE: bytes, count
00113248 string 	--counters-sort=MODE sort counters according to MODE: time, category
00113290 string 	                     only accessible in verbose mode
001132c8 string 	--track=OB1[,OB2...] track what happens to objects OBJ1, O2 etc.
00113310 string 	--find=FINDSPEC      find and track objects matching FINFSPEC, where FINDSPEC is:
00113368 string 	                     S:minimum_size or T:partial_name
001133a0 string 	--thread=THREADID    consider just the data for thread THREADID
001133e8 string 	--time=FROM-TO       consider data FROM seconds from startup up to TO seconds
00113438 string 	--verbose            increase verbosity level
00113468 string 	--debug              display decoding debug info for mprof-report devs
001134b0 string unmatched leave at stack pos: %d for method %s 
001134e0 string 	%lu:%02lu:%02lu:%02lu.%03lu: 
00113500 string 		%s: [type: %s, unit: %s, variance: %s] 
00113530 string root type 0x%x for obj %p (%s) not found in heap 
00113568 string referenced obj %p not found in heap 
00113590 string buf: thread:%lux, len: %d, time: %lu, file offset: %lu 
001135c8 string gc event for gen%d: %s at %lu (thread: 0x%lux) 
001135f8 string Object %p referenced from handle %u at %.3f secs. 
00113630 string handle (%s) %u created for object %p 
00113658 string gc finalizer queue being processed at %lu 
00113688 string gc finalizer queue finished processing at %lu 
001136b8 string gc finalizing object %p at %lu 
001136d8 string gc finalized object %p at %lu 
001136f8 string %s class %p (%s in %p) at %lu 
00113718 string vtable %p for class %p in domain %p at %lu 
00113748 string alloced object %p, size %lu (%s) at %lu 
00113778 string Object %p created (%s, %lu bytes) at %.3f secs. 
001137b0 string jitted method %p (%s), size: %d, code: %p 
001137e0 string Object %p referenced from %p (%s). 
00113808 string traced object %p, size %lu (%s), refs: %lud 
00113838 string root register address %p size %ld type %d key %p name %s 
00113878 string jit helper %s, size: %d, code: %p 
001138a0 string sample hit, type: %d at %p for thread %p 
001138d0 string unhandled profiler event: 0x%x at file offset: %lu + %ld (len: %d ) 
00113918 string 	Mean timer overhead: %d nanoseconds 
00113940 string 	Domain: %p, friendly name: "%s" 
00113968 string 	Gen%d collections: %d, max time: %luus, total time: %luus, average: %luus 
001139b8 string 	GC handles %s: created: %lu, destroyed: %lu, max: %lu 
001139f0 string Total memory allocated: %lu bytes in %lud objects 
00113a28 string 	Lock object %p: %d contentions 
00113a50 string 		%.6f secs total wait time, %.6f max, %.6f average 
00113a88 string  	Heap shot %d at %.3f secs: size: %lu, object count: %lu, class count: %d, roots: %lud 
00113ae8 string 		%lud root references (%lud pinning) 
00113b10 string 	Unmanaged hits:  %6d (%4.1f%%) 
00113b38 string 	Managed hits:    %6d (%4.1f%%) 
