00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00101669 string-utf8 _ITM_deregisterTMCloneTable
00101685 string-utf8 __gmon_start__
00101694 string-utf8 _ITM_registerTMCloneTable
001016ae string-utf8 doupdate
001016b7 string-utf8 delwin
001016be string-utf8 wredrawln
001016c8 string-utf8 getmouse
001016d1 string-utf8 wnoutrefresh
001016de string-utf8 scrollok
001016e7 string-utf8 use_default_colors
001016fa string-utf8 nonl
001016ff string-utf8 waddch
00101706 string-utf8 set_escdelay
00101713 string-utf8 wenclose
0010171c string-utf8 noecho
00101723 string-utf8 wattr_on
0010172c string-utf8 isendwin
00101735 string-utf8 mouseinterval
00101743 string-utf8 wgetch
0010174a string-utf8 mvwprintw
00101754 string-utf8 wmouse_trafo
00101761 string-utf8 wscrl
00101767 string-utf8 waddnstr
00101770 string-utf8 has_colors
0010177b string-utf8 ungetch
00101783 string-utf8 wattr_off
0010178d string-utf8 mousemask
00101797 string-utf8 wrefresh
001017a0 string-utf8 wclrtoeol
001017aa string-utf8 newwin
001017b1 string-utf8 wmove
001017b7 string-utf8 COLORS
001017be string-utf8 init_pair
001017c8 string-utf8 initscr
001017d0 string-utf8 start_color
001017dc string-utf8 beep
001017e1 string-utf8 define_key
001017ec string-utf8 tigetstr
001017f5 string-utf8 curscr
001017fc string-utf8 stdscr
00101803 string-utf8 napms
00101809 string-utf8 key_defined
00101815 string-utf8 raw
00101819 string-utf8 nodelay
00101821 string-utf8 typeahead
0010182b string-utf8 keypad
00101832 string-utf8 COLS
00101837 string-utf8 curs_set
00101840 string-utf8 halfdelay
0010184a string-utf8 tgetstr
00101852 string-utf8 LINES
00101858 string-utf8 optind
0010185f string-utf8 nl_langinfo
0010186b string-utf8 strcpy
00101872 string-utf8 regfree
0010187a string-utf8 gethostname
00101886 string-utf8 mempcpy
0010188e string-utf8 fchmod
00101895 string-utf8 snprintf
0010189e string-utf8 lstat
001018a4 string-utf8 strcasestr
001018af string-utf8 puts
001018b4 string-utf8 iswalpha
001018bd string-utf8 strncpy
001018c5 string-utf8 strcoll
001018cd string-utf8 dirfd
001018d3 string-utf8 dcgettext
001018dd string-utf8 __ctype_toupper_loc
001018f1 string-utf8 __stack_chk_fail
00101902 string-utf8 __printf_chk
0010190f string-utf8 fread
00101915 string-utf8 chdir
0010191b string-utf8 exit
00101920 string-utf8 fstatat
00101928 string-utf8 execlp
0010192f string-utf8 sigaddset
00101939 string-utf8 regcomp
00101941 string-utf8 sigfillset
0010194c string-utf8 futimens
00101955 string-utf8 sigaction
0010195f string-utf8 getpwent
00101968 string-utf8 strdup
0010196f string-utf8 fcntl
00101975 string-utf8 fnmatch
0010197d string-utf8 closedir
00101986 string-utf8 realpath
0010198f string-utf8 getpwnam_r
0010199a string-utf8 __ctype_get_mb_cur_max
001019b1 string-utf8 __getdelim
001019bc string-utf8 strrchr
001019c4 string-utf8 putchar
001019cc string-utf8 unlink
001019d3 string-utf8 ferror
001019da string-utf8 strpbrk
001019e2 string-utf8 fflush
001019e9 string-utf8 memmove
001019f1 string-utf8 strtok
001019f8 string-utf8 fopen
001019fe string-utf8 __isoc23_sscanf
00101a0e string-utf8 time
00101a13 string-utf8 getpwuid
00101a1c string-utf8 fork
00101a21 string-utf8 dirname
00101a29 string-utf8 strlen
00101a30 string-utf8 iswalnum
00101a39 string-utf8 __ctype_b_loc
00101a47 string-utf8 fpathconf
00101a51 string-utf8 strstr
00101a58 string-utf8 wait
00101a5d string-utf8 __strncpy_chk
00101a6b string-utf8 mkdir
00101a71 string-utf8 __vfprintf_chk
00101a80 string-utf8 iswblank
00101a89 string-utf8 __isoc23_strtol
00101a99 string-utf8 fchown
00101aa0 string-utf8 __vsnprintf_chk
00101ab0 string-utf8 dup2
00101ab5 string-utf8 getpid
00101abc string-utf8 iswpunct
00101ac5 string-utf8 stdout
00101acc string-utf8 mkstemp
00101ad4 string-utf8 mbstowcs
00101add string-utf8 optarg
00101ae4 string-utf8 realloc
00101aec string-utf8 isatty
00101af3 string-utf8 wctomb
00101afa string-utf8 execvp
00101b01 string-utf8 __sprintf_chk
00101b0f string-utf8 strcat
00101b16 string-utf8 bindtextdomain
00101b25 string-utf8 flockfile
00101b2f string-utf8 strcasecmp
00101b3a string-utf8 __fprintf_chk
00101b48 string-utf8 __xpg_basename
00101b57 string-utf8 malloc
00101b5e string-utf8 __libc_start_main
00101b70 string-utf8 funlockfile
00101b7c string-utf8 execl
00101b82 string-utf8 sigprocmask
00101b8e string-utf8 stderr
00101b95 string-utf8 fdopen
00101b9c string-utf8 memchr
00101ba3 string-utf8 strncasecmp
00101baf string-utf8 towlower
00101bb8 string-utf8 __ctype_tolower_loc
00101bcc string-utf8 __cxa_finalize
00101bdb string-utf8 mkstemps
00101be4 string-utf8 putenv
00101beb string-utf8 setlocale
00101bf5 string-utf8 strchr
00101bfc string-utf8 strerror
00101c05 string-utf8 kill
00101c0a string-utf8 readdir
00101c12 string-utf8 getenv
00101c19 string-utf8 calloc
00101c20 string-utf8 stpcpy
00101c27 string-utf8 fsync
00101c2d string-utf8 fclose
00101c34 string-utf8 memset
00101c3b string-utf8 regerror
00101c44 string-utf8 ioctl
00101c4a string-utf8 fputc
00101c50 string-utf8 waitpid
00101c58 string-utf8 tcgetattr
00101c62 string-utf8 __uflow
00101c6a string-utf8 opendir
00101c72 string-utf8 __snprintf_chk
00101c81 string-utf8 sigemptyset
00101c8d string-utf8 regexec
00101c95 string-utf8 access
00101c9c string-utf8 tcsetattr
00101ca6 string-utf8 wcwidth
00101cae string-utf8 memcpy
00101cb5 string-utf8 fileno
00101cbc string-utf8 fwrite
00101cc3 string-utf8 strcmp
00101cca string-utf8 qsort
00101cd0 string-utf8 __errno_location
00101ce1 string-utf8 dcngettext
00101cec string-utf8 getopt_long
00101cf8 string-utf8 endpwent
00101d01 string-utf8 pipe
00101d06 string-utf8 strncmp
00101d0e string-utf8 geteuid
00101d16 string-utf8 rewinddir
00101d20 string-utf8 getlogin_r
00101d2b string-utf8 libncursesw.so.6
00101d3c string-utf8 libtinfo.so.6
00101d4a string-utf8 libc.so.6
00101d54 string-utf8 NCURSES6_TINFO_5.4.20040208
00101d70 string-utf8 NCURSES6_TINFO_5.0.19991023
00101d8c string-utf8 GLIBC_2.6
00101d96 string-utf8 GLIBC_2.14
00101da1 string-utf8 GLIBC_2.33
00101dac string-utf8 GLIBC_2.4
00101db6 string-utf8 GLIBC_2.38
00101dc1 string-utf8 GLIBC_2.34
00101dcc string-utf8 GLIBC_2.3.4
00101dd8 string-utf8 GLIBC_2.11
00101de3 string-utf8 GLIBC_2.2.5
00101def string-utf8 GLIBC_2.3
00101df9 string-utf8 NCURSESW6_5.7.20081102
00101e10 string-utf8 NCURSESW6_5.1.20000708
0013b004 string (dir)
0013b00a string (parent dir)
0013b017 string %4ju %cB
0013b020 string (huge)
0013b02b string Search Wrapped
0013b03a string This is the only occurrence
0013b056 string  [%s%s]
0013b05e string  [Backwards]
0013b06b string Search
0013b072 string Cancelled
0013b07c string No current search pattern
0013b096 string Cannot open directory: %s
0013b0b0 string No entries
0013b0bb string Go To Directory
0013b0cb string Can't go outside of %s
0013b0e6 string Can't move up a directory
0013b100 string Error reading %s: %s
0013b115 string Paste is ignored
0013b12b string Unknown syntax name: %s
0013b143 string default
0013b14b string Nothing was cut
0013b15b string Copied nothing
0013b16a string Cutbuffer is empty
0013b180 string nano %s
0013b188 string %s/%s%s%s
0013b192 string Bad lock file is ignored: %s
0013b1af string Directory '%s' does not exist
0013b1cd string Path '%s': %s
0013b1db string Path '%s' is not a directory
0013b1f8 string Path '%s' is not accessible
0013b21c string New Buffer
0013b227 string %s -- %zu lines (%s)
0013b23c string %s -- %zu line (%s)
0013b250 string %s -- %zu lines
0013b260 string %s -- %zu line
0013b26f string No more open file buffers
0013b289 string Interrupted
0013b295 string File '%s' is unwritable
0013b2ad string Read %zu lines
0013b2bc string Read %zu line
0013b2cf string /bin/sh
0013b2d7 string Could not create pipe: %s
0013b2f1 string SHELL
0013b2fa string Could not fork: %s
0013b30d string Executing...
0013b31a string filtering
0013b327 string Failed to open pipe: %s
0013b33f string Error: %s
0013b349 string Piping failed
0013b357 string New File
0013b360 string File "%s" not found
0013b374 string Reading from FIFO...
0013b389 string Reading...
0013b394 string "%s" is a directory
0013b3a8 string "%s" is a device file
0013b3be string %s is meant to be read-only
0013b3dd string Command to execute
0013b3f0 string File to insert [from %s]
0013b409 string TMPDIR
0013b415 string /tmp/
0013b41f string Invalid backup directory: %s 
0013b43d string Making backup...
0013b452 string Cannot read original file
0013b46c string Cannot make regular backup
0013b487 string %s/%s~XXXXXX
0013b494 string Cannot make backup
0013b4a7 string Cannot make backup: %s
0013b4be string Can't write outside of %s
0013b4d8 string Error writing %s: %s
0013b4f2 string Error writing temp file: %s
0013b50e string Writing to FIFO...
0013b521 string Writing...
0013b52c string Error reading temp file: %s
0013b548 string Wrote %zu lines
0013b558 string Wrote %zu line
0013b567 string  [DOS Format]
0013b575 string  [Mac Format]
0013b583 string  [Backup]
0013b58d string Prepend Selection to File
0013b5a7 string Append Selection to File
0013b5c0 string Write Selection to File
0013b5d8 string Prepend to File
0013b5e8 string Append to File
0013b5f7 string Write to File
0013b609 string Too tiny
0013b612 string File "%s" exists; OVERWRITE? 
0013b630 string File on disk has changed
0013b64d string (more)
0013b659 string ncurses-%i.%i, patch %li
0013b672 string ^Space
0013b679 string M-Space
0013b699 string Next Linter message
0013b6ad string Go to next linter msg
0013b6c3 string Previous Linter message
0013b6db string Go to previous linter msg
0013b6f5 string Bottom Row
0013b700 string Go to last row in this column
0013b71e string Top Row
0013b726 string Right Column
0013b733 string Go to righthand column
0013b74a string Left Column
0013b756 string Go to lefthand column
0013b76c string Last File
0013b776 string First File
0013b781 string Next Page
0013b78b string Go one screenful down
0013b7a1 string Prev Page
0013b7ab string Go one screenful up
0013b7bf string Discard buffer
0013b7ce string Suspend
0013b7d6 string Cut Till End
0013b7e3 string No Conversion
0013b7f1 string Mac Format
0013b7fc string Toggle the use of Mac format
0013b819 string DOS Format
0013b824 string Toggle the use of DOS format
0013b841 string Go To Text
0013b84c string Go To Line
0013b857 string Go to line and column number
0013b874 string Formatter
0013b87e string Full Justify
0013b88b string Justify the entire file
0013b8a3 string Linter
0013b8aa string Spell Check
0013b8b6 string Pipe Text
0013b8c5 string Save file without prompting
0013b8e1 string Cycle
0013b8e7 string Center
0013b8ee string Refresh
0013b8f6 string Down to anchor
0013b905 string Up to anchor
0013b912 string Anchor
0013b91d string Run Macro
0013b927 string Run the last recorded macro
0013b943 string Record
0013b94a string Start/stop recording a macro
0013b967 string Complete
0013b970 string Comment Lines
0013b97e string Unindent
0013b987 string Indent
0013b98e string Verbatim
0013b997 string Word Count
0013b9a2 string Chop Right
0013b9ad string Chop Left
