00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100971 string-utf8 _ITM_deregisterTMCloneTable
0010098d string-utf8 __gmon_start__
0010099c string-utf8 _ITM_registerTMCloneTable
001009b6 string-utf8 xstrdup
001009be string-utf8 xmalloc
001009c6 string-utf8 xbasename
001009d0 string-utf8 xrealloc
001009d9 string-utf8 kpse_open_file
001009e8 string-utf8 make_suffix
001009f4 string-utf8 kpse_program_basename
00100a0a string-utf8 uppercasify
00100a16 string-utf8 kpathsea_version_string
00100a2e string-utf8 kpse_fclose_trace
00100a40 string-utf8 xfopen
00100a47 string-utf8 extend_filename
00100a57 string-utf8 kpse_set_program_name
00100a6d string-utf8 xcalloc
00100a75 string-utf8 kpse_init_prog
00100a84 string-utf8 optind
00100a8b string-utf8 stdin
00100a91 string-utf8 getopt_long_only
00100aa2 string-utf8 strncpy
00100aaa string-utf8 __stack_chk_fail
00100abb string-utf8 __printf_chk
00100ac8 string-utf8 free
00100acd string-utf8 fread
00100ad3 string-utf8 exit
00100ad8 string-utf8 __assert_fail
00100ae6 string-utf8 getc
00100aeb string-utf8 strrchr
00100af3 string-utf8 putchar
00100afb string-utf8 ferror
00100b02 string-utf8 fflush
00100b09 string-utf8 clearerr
00100b12 string-utf8 strlen
00100b19 string-utf8 feof
00100b1e string-utf8 stdout
00100b25 string-utf8 optarg
00100b2c string-utf8 isatty
00100b33 string-utf8 strcat
00100b3a string-utf8 __fprintf_chk
00100b48 string-utf8 __libc_start_main
00100b5a string-utf8 stderr
00100b61 string-utf8 __cxa_finalize
00100b70 string-utf8 strchr
00100b77 string-utf8 memset
00100b7e string-utf8 fputc
00100b84 string-utf8 fputs
00100b8a string-utf8 memcpy
00100b91 string-utf8 fileno
00100b98 string-utf8 fwrite
00100b9f string-utf8 strcmp
00100ba6 string-utf8 __errno_location
00100bb7 string-utf8 strncmp
00100bbf string-utf8 libkpathsea.so.6
00100bd0 string-utf8 libc.so.6
00100bda string-utf8 GLIBC_2.3.4
00100be6 string-utf8 GLIBC_2.14
00100bf1 string-utf8 GLIBC_2.4
00100bfb string-utf8 GLIBC_2.34
00100c06 string-utf8 GLIBC_2.2.5
00113008 string CHARACTER index (H %X) not 31-bit unsigned integer; ignored
00113048 string CHARACTER index (H %X) previously defined; old definition ignored
00113090 string check_existence_and_safety (g=%d)
001130b8 string  %s index for character "%x is too large; so I reset it to zero. 
00113100 string  Ligature/kern starting index for character "%x is too large; so I removed it. 
00113150 string  Extensible index for character "%x is too large; so I reset it to zero. 
001131a0 string Special string with negative length (%d) 
001131d0 string set_extensible_piece (piece=%d)
001131f0 string Char (%x) too big for TFM (max ff); use OFM file
00113228 string Char (%x) too big for OFM level-0 (max ffffff); use level-2
00113268 string Char (%x) too big for OFM level-1 (max ffffff); use level-2
001132a8 string %sCharacter (H %X) NEXTLARGER than (H %X) has no CHARACTER spec
001132e8 string Character (H %X) NEXTLARGER than (H %X) exceeds ffff 
00113320 string %s piece (H %X) of character (H %X) has no CHARACTER spec
00113360 string %s piece (H %X) of character (H %X) exceeds ffff 
00113398 string Cycle of NEXTLARGER characters has been broken at 
001133d0 string Unused %s piece (H %X) refers to nonexistent character
00113408 string set_character_measure (index=%d)
00113430 string Ignoring %d words in %d IVALUE tables
00113458 string Ignoring %d words in %d PENALTY tables
00113480 string Ignoring %d words in %d MVALUE tables
001134a8 string Ignoring %d words in %d FVALUE tables
