00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
001010a9 string-utf8 _ITM_deregisterTMCloneTable
001010c5 string-utf8 __gmon_start__
001010d4 string-utf8 _ITM_registerTMCloneTable
001010ee string-utf8 asn1_read_value
001010fe string-utf8 asn1_get_tag_der
0010110f string-utf8 asn1_der_decoding_startEnd
0010112a string-utf8 asn1_encode_simple_der
00101141 string-utf8 asn1_delete_structure
00101157 string-utf8 asn1_write_value
00101168 string-utf8 asn1_der_coding
00101178 string-utf8 asn1_get_length_der
0010118c string-utf8 asn1_create_element
001011a0 string-utf8 asn1_array2tree
001011b0 string-utf8 asn1_der_decoding
001011c2 string-utf8 asn1_strerror
001011d0 string-utf8 p11_kit_iter_get_session
001011e9 string-utf8 p11_kit_modules_load_and_initialize
0010120d string-utf8 p11_kit_iter_new
0010121e string-utf8 p11_kit_uri_free
0010122f string-utf8 p11_kit_uri_get_module_info
0010124b string-utf8 p11_kit_be_quiet
0010125c string-utf8 p11_kit_iter_begin
0010126f string-utf8 p11_kit_uri_message
00101283 string-utf8 p11_kit_pin_new_for_string
0010129e string-utf8 p11_kit_module_get_name
001012b6 string-utf8 p11_kit_iter_next
001012c8 string-utf8 p11_kit_iter_get_token
001012df string-utf8 p11_kit_uri_format
001012f2 string-utf8 p11_kit_uri_new
00101302 string-utf8 p11_kit_uri_parse
00101314 string-utf8 p11_kit_modules_finalize_and_release
00101339 string-utf8 p11_kit_iter_get_module
00101351 string-utf8 p11_kit_module_initialize
0010136b string-utf8 p11_kit_uri_get_token_info
00101386 string-utf8 p11_kit_iter_destroy_object
001013a2 string-utf8 p11_kit_iter_get_attributes
001013be string-utf8 p11_kit_pin_unregister_callback
001013de string-utf8 p11_kit_uri_set_pin_source
001013f9 string-utf8 p11_kit_uri_set_attribute
00101413 string-utf8 p11_kit_iter_free
00101425 string-utf8 p11_kit_be_loud
00101435 string-utf8 p11_kit_strerror
00101446 string-utf8 p11_kit_module_get_filename
00101462 string-utf8 p11_kit_pin_register_callback
00101480 string-utf8 p11_kit_space_strdup
00101495 string-utf8 p11_kit_module_load
001014a9 string-utf8 p11_kit_iter_load_attributes
001014c6 string-utf8 p11_kit_module_release
001014dd string-utf8 p11_kit_iter_get_slot
001014f3 string-utf8 optind
001014fa string-utf8 reallocarray
00101507 string-utf8 program_invocation_short_name
00101525 string-utf8 strncpy
0010152d string-utf8 sysconf
00101535 string-utf8 dirfd
0010153b string-utf8 dcgettext
00101545 string-utf8 __ctype_toupper_loc
00101559 string-utf8 __stack_chk_fail
0010156a string-utf8 __printf_chk
00101577 string-utf8 getrlimit
00101581 string-utf8 secure_getenv
0010158f string-utf8 __assert_fail
0010159d string-utf8 setenv
001015a4 string-utf8 dlclose
001015ac string-utf8 sigaction
001015b6 string-utf8 closedir
001015bf string-utf8 realpath
001015c8 string-utf8 strrchr
001015d0 string-utf8 putchar
001015d8 string-utf8 munmap
001015df string-utf8 strpbrk
001015e7 string-utf8 memmove
001015ef string-utf8 strndup
001015f7 string-utf8 strlen
001015fe string-utf8 __ctype_b_loc
0010160c string-utf8 read
00101611 string-utf8 __vasprintf_chk
00101621 string-utf8 __vfprintf_chk
00101630 string-utf8 __isoc23_strtol
00101640 string-utf8 __vsnprintf_chk
00101650 string-utf8 getpid
00101657 string-utf8 stdout
0010165e string-utf8 optarg
00101665 string-utf8 realloc
0010166d string-utf8 isatty
00101674 string-utf8 __fprintf_chk
00101682 string-utf8 open
00101687 string-utf8 getauxval
00101691 string-utf8 malloc
00101698 string-utf8 __libc_start_main
001016aa string-utf8 execv
001016b0 string-utf8 stderr
001016b7 string-utf8 textdomain
001016c2 string-utf8 memchr
001016c9 string-utf8 __ctype_tolower_loc
001016dd string-utf8 __cxa_finalize
001016ec string-utf8 dlerror
001016f4 string-utf8 setlocale
001016fe string-utf8 strchr
00101705 string-utf8 kill
0010170a string-utf8 readdir
00101712 string-utf8 calloc
00101719 string-utf8 memcmp
00101720 string-utf8 __asprintf_chk
0010172f string-utf8 memset
00101736 string-utf8 fputc
0010173c string-utf8 tcgetattr
00101746 string-utf8 fputs
0010174c string-utf8 program_invocation_name
00101764 string-utf8 opendir
0010176c string-utf8 __snprintf_chk
0010177b string-utf8 getuid
00101782 string-utf8 sigemptyset
0010178e string-utf8 getpwuid_r
00101799 string-utf8 tcsetattr
001017a3 string-utf8 memcpy
001017aa string-utf8 fileno
001017b1 string-utf8 fwrite
001017b8 string-utf8 strcmp
001017bf string-utf8 __errno_location
001017d0 string-utf8 abort
001017d6 string-utf8 getopt_long
001017e2 string-utf8 mmap
001017e7 string-utf8 strerror_l
001017f2 string-utf8 strerror_r
001017fd string-utf8 fstat
00101803 string-utf8 strncmp
0010180b string-utf8 __progname_full
0010181b string-utf8 __progname
00101826 string-utf8 libtasn1.so.6
00101834 string-utf8 libp11-kit.so.0
00101844 string-utf8 libc.so.6
0010184e string-utf8 LIBTASN1_0_3
0010185b string-utf8 GLIBC_2.16
00101866 string-utf8 GLIBC_2.6
00101870 string-utf8 GLIBC_2.38
0010187b string-utf8 GLIBC_2.14
00101886 string-utf8 GLIBC_2.33
00101891 string-utf8 GLIBC_2.8
0010189b string-utf8 GLIBC_2.4
001018a5 string-utf8 GLIBC_2.26
001018b0 string-utf8 GLIBC_2.34
001018bb string-utf8 GLIBC_2.3.4
001018c7 string-utf8 GLIBC_2.2.5
001018d3 string-utf8 GLIBC_2.3
001018dd string-utf8 LIBP11_KIT_1.0
00123004 string login
0012300a string specify the profile to add
00123025 string login to the token
00123038 string specify the module to use
00123052 string failed to allocate memory
0012306c string multiple profiles specified
00123088 string p11-kit/add-profile.c
0012309e string no profile specified
001230b3 string failed to parse URI
001230c7 string failed to initialize iterator
001230e5 string no matching token
001230f7 string failed to find token: %s
00123110 string p11-kit: '%s' not true at %s 
0012312e string session != CK_INVALID_HANDLE
0012314b string profile already exists
00123162 string p11-kit/delete-object.c
0012317a string no matching object
0012318d string failed to find object: %s
001231a7 string specify the profile to delete
001231c5 string p11-kit/delete-profile.c
001231de string attr->ulValueLen < ULONG_MAX
001231fb string padded
00123202 string p11-kit/export-object.c
0012321a string attrs
00123220 string failed to retrieve attributes
0012323e string unrecognized certificate type
0012325c string no valid certificate value
00123277 string failed to convert DER to PEM
00123294 string unable to determine key type
001232b1 string PKIX1.SubjectPublicKeyInfo
001232cc string algorithm.algorithm
001232e0 string algorithm.parameters
001232f5 string PKIX1.RSAPublicKey
00123308 string %s: unable to write modulus
00123324 string publicExponent
00123333 string unable to encode RSAPublicKey
00123351 string corrupted value in attributes
0012336f string subjectPublicKey
00123380 string %s: unable to write value
0012339a string unsupported key type: %lu
001233b4 string failed to export public key
001233d0 string PUBLIC KEY
001233db string unsupported object class
001233f4 string label
001233fa string type of keys to generate
00123417 string ecdsa
0012341d string unknown mechanism type: %s
00123438 string secp256r1
00123442 string secp384r1
0012344c string secp521r1
00123456 string ed25519
0012345e string ed448
00123464 string unknown curve name: %s
0012347b string p11-kit/generate-keypair.c
00123496 string no bits specified
001234a8 string no curve specified
001234bb string no type specified
001234cd string --curve
001234d5 string --bits
001234dc string unkwnown mechanism type in %s
001234fa string data != NULL
00123507 string data->module != NULL
0012351c string PKIX1.Certificate
0012352e string tbsCertificate.subject
00123545 string failed to create object: %s
00123561 string failed to obtain modulus
0012357a string failed to obtain exponent
00123594 string failed to obtain EC point
001235ae string corrupted EC point value
001235c7 string failed to DER encode EC point
001235e5 string unrecognized PEM label: %s
00123600 string object data to import
00123616 string p11-kit/import-object.c
0012362e string no file specified
00123640 string user_data.module != NULL
00123659 string failed to read file: %s
00123671 string no object to import
00123685 string p11-kit/list-objects.c
001236a1 string Object
001236a8 string 0x%lX (unknown)
001236b8 string %s.%s.%s
001236c1 string p11-kit/list-profiles.c
001236d9 string 0x%lX (unknown) 
001236ea string p11-kit/list-mechanisms.c
00123704 string failed to obtain module
0012371c string couldn't load token info: %s
00123739 string 0x%lX (unknown):
00123752 string  message-encrypt
00123763 string  message-decrypt
00123774 string  message-sign
00123782 string  message-verify
00123792 string  multi-message
001237a1 string  find-objects
001237af string  encrypt
001237b8 string  decrypt
001237c1 string  digest
001237c9 string  sign
001237cf string  verify
001237d7 string  sign-recover
001237e5 string  verify-recover
001237f5 string  generate-key-pair
00123808 string  wrap
0012380e string  unwrap
00123816 string  derive
0012381e string  extension
00123829 string  key-size=%lu-%lu
0012383b string only-uris
00123845 string show verbose debug output
0012385f string suppress command output
00123877 string only print token URIs
0012388d string p11-kit/list-tokens.c
001238a3 string model
001238a9 string serial-number
001238b7 string %d.%d
001238bd string hardware-version
001238ce string firmware-version
001238e3 string write-protected
001238f3 string login-required
00123902 string user-pin-initialized
00123917 string restore-key-not-needed
0012392e string clock-on-token
0012393d string protected-authentication-path
0012395b string dual-crypto-operations
00123972 string token-initialized
00123984 string secondary-authentication
0012399d string user-pin-count-low
001239b0 string user-pin-final-try
001239c3 string user-pin-locked
001239d3 string user-pin-to-be-changed
001239ea string so-pin-count-low
001239fb string so-pin-final-try
00123a0c string so-pin-locked
00123a1a string so-pin-to-be-changed
00123a2f string usage: p11-kit list-modules
00123a4b string p11-kit/lists.c
00123a5b string extra arguments specified
00123a75 string couldn't load module info: %s
00123a93 string library-description
00123aa7 string library-manufacturer
00123abc string library-version
00123acc string args != NULL
00123ad9 string /usr/bin/trust
00123ae8 string couldn't run trust tool
00123b00 string /usr/libexec/p11-kit
00123b15 string extract
00123b1d string extract-trust
00123b2b string extract-compat
00123b3a string p11-kit-%s%s
00123b47 string P11_KIT_PRIVATEDIR
00123b5a string path != NULL
00123b67 string List modules and tokens
00123b7f string list-tokens
00123b8b string List tokens
00123b97 string list-objects
00123ba4 string List objects of a token
00123bbc string import-object
00123bca string Import object into a token
00123be5 string export-object
00123bf3 string delete-object
00123c01 string generate-keypair
00123c12 string list-profiles
00123c20 string add-profile
00123c2c string delete-profile
00123c3b string Print merged configuration
00123c56 string list-mechanisms
00123c66 string List supported mechanisms
00123c80 string remote
00123c87 string usage: p11-kit print-config
00123ca3 string p11-kit/print-config.c
00123cba string ~/.config/pkcs11/pkcs11.conf
00123cd7 string /etc/pkcs11/pkcs11.conf
00123cef string ~/.config/pkcs11/modules
00123d08 string /etc/pkcs11/modules
00123d1c string /usr/share/p11-kit/modules
00123d37 string [global]
00123d40 string %s = %s 
00123d49 string [%s] 
00123d4f string !tool->modules
00123d5e string pin_description != NULL
00123d7b string asn1_defs != NULL
00123d8d string def != NULL
00123d99 string asn != NULL
00123da5 string %s: couldn't parse %s: %s: %s
00123dc3 string der_len != NULL
00123dd3 string ret != ASN1_SUCCESS
00123de7 string failed to encode: %s 
00123dfd string der != NULL
00123e09 string field != NULL
00123e17 string length != NULL
00123e26 string ret == ASN1_MEM_ERROR
00123e3c string value != NULL
00123e4a string ret == ASN1_SUCCESS
00123e5e string struct_name != NULL
00123e72 string item->length == der_len
00123e8a string der_len != 0
00123e97 string item != NULL
00123ea4 string cache != NULL
00123eb2 string PKIX1.
00123eb9 string OPENSSL.
00123ec2 string PKIX1
00123ed4 string identified-organization
00123ef0 string internet
00123ef9 string security
00123f02 string AuthorityKeyIdentifier
00123f19 string keyIdentifier
00123f27 string authorityCertIssuer
00123f3b string GeneralNames
00123f48 string authorityCertSerialNumber
00123f62 string CertificateSerialNumber
00123f7a string SubjectKeyIdentifier
00123f8f string KeyUsage
00123f98 string DirectoryString
00123fa8 string teletexString
00123fb6 string printableString
00123fc6 string universalString
00123fd6 string utf8String
00123fe1 string bmpString
00123feb string ia5String
00123ff5 string SubjectAltName
00124004 string GeneralName
00124010 string AnotherName
0012401c string rfc822Name
00124027 string dNSName
0012402f string x400Address
0012403b string directoryName
00124049 string RDNSequence
00124055 string ediPartyName
00124062 string uniformResourceIdentifier
0012407c string iPAddress
00124086 string registeredID
00124093 string type-id
0012409b string IssuerAltName
001240a9 string BasicConstraints
001240bd string pathLenConstraint
001240cf string CRLDistributionPoints
001240e5 string DistributionPoint
001240f7 string distributionPoint
00124109 string DistributionPointName
0012411f string reasons
00124127 string ReasonFlags
00124133 string cRLIssuer
0012413d string fullName
00124146 string nameRelativeToCRLIssuer
0012415e string RelativeDistinguishedName
00124178 string ExtKeyUsageSyntax
0012418a string KeyPurposeId
00124197 string CRLNumber
001241a1 string CertificateIssuer
001241b3 string AttributeType
001241c1 string values
001241c8 string AttributeValue
001241d7 string AttributeTypeAndValue
001241ed string id-at
001241f3 string joint-iso-ccitt
00124203 string PostalAddress
00124211 string emailAddress
0012421e string member-body
0012422e string rsadsi
00124235 string 113549
0012423c string Pkcs9email
00124247 string ub-emailaddress-length
0012425e string rdnSequence
0012426a string tbsCertificate
00124279 string TBSCertificate
00124288 string signatureAlgorithm
0012429b string AlgorithmIdentifier
001242b2 string serialNumber
001242bf string validity
001242c8 string Validity
001242d1 string subjectPublicKeyInfo
001242e6 string issuerUniqueID
001242f5 string UniqueIdentifier
00124306 string subjectUniqueID
00124316 string extensions
00124327 string notBefore
00124331 string notAfter
0012433a string utcTime
00124342 string generalTime
0012434e string Extension
0012435f string extnValue
00124369 string CertificateList
00124379 string tbsCertList
00124385 string TBSCertList
00124391 string thisUpdate
0012439c string nextUpdate
001243a7 string revokedCertificates
001243bb string userCertificate
001243cb string revocationDate
001243da string crlEntryExtensions
001243ed string crlExtensions
001243fb string Dss-Sig-Value
00124409 string DomainParameters
0012441e string validationParms
0012442e string ValidationParms
0012443e string pgenCounter
0012444a string Dss-Parms
00124454 string CountryName
00124460 string x121-dcc-code
0012446e string iso-3166-alpha2-code
00124483 string ub-country-name-alpha-length
001244a0 string OrganizationName
001244b1 string ub-organization-name-length
001244cd string NumericUserIdentifier
001244e3 string ub-numeric-user-id-length
001244fd string OrganizationalUnitNames
00124515 string ub-organizational-units
0012452d string OrganizationalUnitName
00124544 string CommonName
0012454f string pkcs-7-ContentInfo
00124562 string contentType
0012456e string pkcs-7-ContentType
00124581 string content
00124589 string pkcs-7-DigestInfo
0012459b string digestAlgorithm
001245ab string pkcs-7-Digest
001245b9 string pkcs-7-SignedData
001245cb string pkcs-7-CMSVersion
001245dd string digestAlgorithms
001245ee string encapContentInfo
001245ff string certificates
0012460c string pkcs-7-CertificateSet
00124627 string signerInfos
00124633 string pkcs-7-SignerInfos
0012464c string eContentType
00124659 string eContent
00124662 string pkcs-7-CertificateChoices
0012467c string subjectPKInfo
0012468a string pkcs-10-CertificationRequest
001246a7 string certificationRequestInfo
001246c0 string pkcs-9-at-challengePassword
001246dc string pkcs-9-challengePassword
001246f5 string pkcs-9-localKeyId
00124707 string pkcs-8-PrivateKeyInfo
0012471d string pkcs-8-Version
0012472c string privateKeyAlgorithm
00124740 string privateKey
0012474b string pkcs-8-PrivateKey
0012475d string pkcs-8-Attributes
0012476f string encryptionAlgorithm
00124783 string encryptedData
00124791 string pkcs-8-EncryptedData
001247a6 string pkcs-5-des-EDE3-CBC-params
001247c1 string pkcs-5-aes128-CBC-params
001247da string pkcs-5-aes192-CBC-params
001247f3 string pkcs-5-aes256-CBC-params
0012480c string pkcs-5-PBES2-params
00124820 string keyDerivationFunc
00124832 string encryptionScheme
00124843 string pkcs-5-PBKDF2-params
00124858 string otherSource
00124864 string iterationCount
00124873 string keyLength
0012487d string pkcs-12-PFX
00124889 string authSafe
00124892 string macData
0012489a string pkcs-12-MacData
001248aa string pkcs-12-PbeParams
001248bc string iterations
001248c7 string macSalt
001248cf string pkcs-12-AuthenticatedSafe
001248e9 string pkcs-12-SafeContents
001248fe string pkcs-12-SafeBag
0012490e string bagId
00124914 string bagValue
0012491d string badId
00124923 string bagAttributes
00124931 string pkcs-12-PKCS12Attribute
00124949 string pkcs-12-KeyBag
00124958 string pkcs-12-PKCS8ShroudedKeyBag
00124974 string pkcs-12-CertBag
00124984 string certId
0012498b string certValue
00124995 string pkcs-12-CRLBag
001249a4 string crlId
001249aa string crlValue
001249b3 string pkcs-12-SecretBag
001249c5 string secretTypeId
001249d2 string secretValue
001249de string pkcs-7-Data
001249ea string pkcs-7-EncryptedData
001249ff string encryptedContentInfo
00124a14 string pkcs-7-EncryptedContentInfo
00124a30 string unprotectedAttrs
00124a41 string pkcs-7-UnprotectedAttributes
00124a5e string contentEncryptionAlgorithm
00124a79 string encryptedContent
00124a8a string pkcs-7-EncryptedContent
00124aa2 string ProxyCertInfo
00124ab0 string pCPathLenConstraint
00124ac4 string proxyPolicy
00124ad0 string ProxyPolicy
00124adc string policyLanguage
00124aeb string OPENSSL
00124af3 string CertAux
00124afb string reject
00124b02 string alias
00124b0e string user-config
00124b1f string merge
00124b2a string override
00124b33 string key != NULL
00124b3f string p11-kit/conf.c
00124b4e string filename
00124b57 string %s: reading config file: %s
00124b73 string couldn't open config file: %s
00124b91 string map != NULL
00124b9d string %s: config value: %s: %s
00124bb6 string %s: unexpected pem block
00124bcf string %s: unexpected section header
00124bed string couldn't list directory: %s
00124c09 string couldn't stat path: %s
00124c20 string .module
