00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100611 string-utf8 __gmon_start__
00100620 string-utf8 _ITM_deregisterTMCloneTable
0010063c string-utf8 _ITM_registerTMCloneTable
00100656 string-utf8 pm_optParseOptions3
0010066a string-utf8 pnm_normalized_sample
00100680 string-utf8 pm_close
00100689 string-utf8 pm_openr
00100692 string-utf8 pnm_writepamrow
001006a2 string-utf8 pnm_unnormalized_sample
001006ba string-utf8 ppm_hsv_from_color
001006cd string-utf8 pnm_writepaminit
001006de string-utf8 pm_error
001006e7 string-utf8 pnm_readpaminit
001006f7 string-utf8 pm_freerow
00100702 string-utf8 ppm_color_from_hsv
00100715 string-utf8 pm_proginit
00100721 string-utf8 pnm_readpamrow
00100730 string-utf8 pnm_allocpamrow
00100740 string-utf8 __stack_chk_fail
00100751 string-utf8 stdout
00100758 string-utf8 malloc
0010075f string-utf8 __libc_start_main
00100771 string-utf8 __cxa_finalize
00100780 string-utf8 abort
00100786 string-utf8 libnetpbm.so.11
00100796 string-utf8 libc.so.6
001007a0 string-utf8 GLIBC_2.34
001007ab string-utf8 GLIBC_2.4
001007b5 string-utf8 GLIBC_2.2.5
0010200e string value
00102014 string saturation
00102020 string Value reduction cannot be more than 100%%.  You specified %d
00102060 string Saturation reduction cannot be more than 100%%.  You specified %d
001020a8 string Program takes at most one argument:  file specification
00102131 string zR
00102161 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/netpbm.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .note.gnu.property
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
.shstrtab::000000f8 string-utf8 .gnu_debugaltlink
.shstrtab::0000010a string-utf8 .gnu_debuglink
