00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
001005d1 string-utf8 __gmon_start__
001005e0 string-utf8 _ITM_deregisterTMCloneTable
001005fc string-utf8 _ITM_registerTMCloneTable
00100616 string-utf8 pm_close
0010061f string-utf8 pm_openr
00100628 string-utf8 pnm_scaletuplerow
0010063a string-utf8 pnm_writepamrow
0010064a string-utf8 pnm_writepaminit
0010065b string-utf8 pm_error
00100664 string-utf8 pnm_readpaminit
00100674 string-utf8 pm_freerow
0010067f string-utf8 pm_proginit
0010068b string-utf8 pnm_readpamrow
0010069a string-utf8 pnm_allocpamrow
001006aa string-utf8 pm_message
001006b5 string-utf8 stdin
001006bb string-utf8 __stack_chk_fail
001006cc string-utf8 stdout
001006d3 string-utf8 __libc_start_main
001006e5 string-utf8 __cxa_finalize
001006f4 string-utf8 memset
001006fb string-utf8 libnetpbm.so.11
0010070b string-utf8 libc.so.6
00100715 string-utf8 GLIBC_2.34
00100720 string-utf8 GLIBC_2.4
0010072a string-utf8 GLIBC_2.2.5
00102008 string Too many arguments.  Program takes at most 1 argument: input file name
00102058 string Image is %u columns wide.  It must be at least 3.
00102090 string Image is %u rows high.  It must be at least 3.
001020bf string row1[0][0]=%lu
00102121 string zR
00102151 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/netpbm.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .note.gnu.property
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
.shstrtab::000000f8 string-utf8 .gnu_debugaltlink
.shstrtab::0000010a string-utf8 .gnu_debuglink
