00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
001006d1 string-utf8 __gmon_start__
001006e0 string-utf8 _ITM_deregisterTMCloneTable
001006fc string-utf8 _ITM_registerTMCloneTable
00100716 string-utf8 pnm_writepamrown
00100727 string-utf8 pnm_allocpamrown
00100738 string-utf8 pnm_ungammarown
00100748 string-utf8 pm_optParseOptions3
0010075c string-utf8 pnm_gammarown
0010076a string-utf8 pm_close
00100773 string-utf8 pm_openr
0010077c string-utf8 pnm_readpamrown
0010078c string-utf8 pnm_writepaminit
0010079d string-utf8 pm_strfree
001007a8 string-utf8 pm_error
001007b1 string-utf8 pnm_readpaminit
001007c1 string-utf8 pm_freerow
001007cc string-utf8 pm_strdup
001007d6 string-utf8 pm_proginit
001007e2 string-utf8 pnm_parsecolorn
001007f2 string-utf8 pow
001007f6 string-utf8 __stack_chk_fail
00100807 string-utf8 strrchr
0010080f string-utf8 strtod
00100816 string-utf8 __strncpy_chk
00100824 string-utf8 stdout
0010082b string-utf8 malloc
00100832 string-utf8 __libc_start_main
00100844 string-utf8 __cxa_finalize
00100853 string-utf8 strchr
0010085a string-utf8 __errno_location
0010086b string-utf8 abort
00100871 string-utf8 libnetpbm.so.11
00100881 string-utf8 libm.so.6
0010088b string-utf8 libc.so.6
00100895 string-utf8 GLIBC_2.29
001008a0 string-utf8 GLIBC_2.34
001008ab string-utf8 GLIBC_2.4
001008b5 string-utf8 GLIBC_2.2.5
001008c1 string-utf8 GLIBC_2.3.4
00103018 string Invalid sample multiplier: '%s'
00103038 string Cannot resolve the transformations
00103060 string INTERNAL ERROR: solve(): impossible value of n: %u
00103098 string You cannot use -linear and -fitbrightness together
001030d0 string Mapping %u incompletely specified - you specified -fromN or -toN but not the other
00103128 string You must specify at least two mappings with -from1, -to1, etc.  You specified %u
00103180 string Too many arguments.  The only possible non-option argument is the input file name
001031d2 string fitbrightness
001031e0 string linear
001032b9 string zR
001032e9 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/netpbm.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .note.gnu.property
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
.shstrtab::000000f8 string-utf8 .gnu_debugaltlink
.shstrtab::0000010a string-utf8 .gnu_debuglink
