00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100641 string-utf8 __gmon_start__
00100650 string-utf8 _ITM_deregisterTMCloneTable
0010066c string-utf8 _ITM_registerTMCloneTable
00100686 string-utf8 pm_optParseOptions3
0010069a string-utf8 pm_allocarray
001006a8 string-utf8 pm_close
001006b1 string-utf8 pm_openr
001006ba string-utf8 pnm_YCbCrtuple
001006c9 string-utf8 pnm_writepamrow
001006d9 string-utf8 pnm_writepaminit
001006ea string-utf8 pm_error
001006f3 string-utf8 pnm_readpaminit
00100703 string-utf8 pm_freerow
0010070e string-utf8 pm_proginit
0010071a string-utf8 pnm_readpamrow
00100729 string-utf8 pnm_allocpamrow
00100739 string-utf8 pm_message
00100744 string-utf8 sqrt
00100749 string-utf8 __stack_chk_fail
0010075a string-utf8 free
0010075f string-utf8 stdout
00100766 string-utf8 malloc
0010076d string-utf8 __libc_start_main
0010077f string-utf8 __cxa_finalize
0010078e string-utf8 qsort
00100794 string-utf8 abort
0010079a string-utf8 libnetpbm.so.11
001007aa string-utf8 libm.so.6
001007b4 string-utf8 libc.so.6
001007be string-utf8 GLIBC_2.2.5
001007ca string-utf8 GLIBC_2.34
001007d5 string-utf8 GLIBC_2.4
00102009 string invert
00102010 string minsep
00102020 string Too many arguments: %u.  The only argument is the optional input file name
00102070 string Failed to determine the separation between the left and right views
001020b8 string Separation between left/right views = %d pixels
00102141 string zR
00102171 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/netpbm.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .note.gnu.property
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
.shstrtab::000000f8 string-utf8 .gnu_debugaltlink
.shstrtab::0000010a string-utf8 .gnu_debuglink
