00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100691 string-utf8 __gmon_start__
001006a0 string-utf8 _ITM_deregisterTMCloneTable
001006bc string-utf8 _ITM_registerTMCloneTable
001006d6 string-utf8 pnm_nextimage
001006e4 string-utf8 pm_close
001006ed string-utf8 pbm_writepbmrow_packed
00100704 string-utf8 pnm_writepamrow
00100714 string-utf8 pnm_writepaminit
00100725 string-utf8 pm_error
0010072e string-utf8 pbm_readpbmrow_packed
00100744 string-utf8 pnm_readpaminit
00100754 string-utf8 pm_freerow
0010075f string-utf8 pm_tmpfile
0010076a string-utf8 pm_proginit
00100776 string-utf8 pnm_readpamrow
00100785 string-utf8 pnm_allocpamrow
00100795 string-utf8 pm_allocrow
001007a1 string-utf8 stdin
001007a7 string-utf8 __stack_chk_fail
001007b8 string-utf8 fread
001007be string-utf8 ferror
001007c5 string-utf8 feof
001007ca string-utf8 stdout
001007d1 string-utf8 __libc_start_main
001007e3 string-utf8 __cxa_finalize
001007f2 string-utf8 strerror
001007fb string-utf8 fwrite
00100802 string-utf8 fseek
00100808 string-utf8 __errno_location
00100819 string-utf8 libnetpbm.so.11
00100829 string-utf8 libc.so.6
00100833 string-utf8 GLIBC_2.34
0010083e string-utf8 GLIBC_2.4
00100848 string-utf8 GLIBC_2.2.5
00102008 string Program takes no arguments.  Input is from Standard Input
00102048 string Error reading from temporary file.  Incomplete output.  Errno = %s (%d)
001020c9 string zR
001020f9 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/netpbm.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .note.gnu.property
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
.shstrtab::000000f8 string-utf8 .gnu_debugaltlink
.shstrtab::0000010a string-utf8 .gnu_debuglink
