00100394 TerminatedCString /lib64/ld-linux-x86-64.so.2
00101051 string-utf8 optind
00101058 string-utf8 nl_langinfo
00101064 string-utf8 error_message_count
00101078 string-utf8 strcpy
0010107f string-utf8 mempcpy
00101087 string-utf8 fchmod
0010108e string-utf8 lstat
00101094 string-utf8 fchownat
0010109d string-utf8 stdin
001010a3 string-utf8 program_invocation_short_name
001010c1 string-utf8 renameat
001010ca string-utf8 clock_gettime
001010d8 string-utf8 tzset
001010de string-utf8 __stack_chk_fail
001010ef string-utf8 free
001010f4 string-utf8 getrlimit
001010fe string-utf8 chdir
00101104 string-utf8 setbuf
0010110b string-utf8 fstatat
00101113 string-utf8 __assert_fail
00101121 string-utf8 sigfillset
0010112c string-utf8 mkdirat
00101134 string-utf8 futimens
0010113d string-utf8 getc
00101142 string-utf8 sigaction
0010114c string-utf8 fcntl
00101152 string-utf8 closedir
0010115b string-utf8 __ctype_get_mb_cur_max
00101172 string-utf8 strspn
00101179 string-utf8 strrchr
00101181 string-utf8 unlink
00101188 string-utf8 ferror
0010118f string-utf8 clock
00101195 string-utf8 fflush
0010119c string-utf8 memmove
001011a4 string-utf8 fopen
001011aa string-utf8 system
001011b1 string-utf8 symlinkat
001011bb string-utf8 timegm
001011c2 string-utf8 __openat_2
001011cd string-utf8 localtime_r
001011d9 string-utf8 strlen
001011e0 string-utf8 __ctype_b_loc
001011ee string-utf8 __fpending
001011f9 string-utf8 read
001011fe string-utf8 fpathconf
00101208 string-utf8 unsetenv
00101211 string-utf8 faccessat
0010121b string-utf8 mkdir
00101221 string-utf8 __vfprintf_chk
00101230 string-utf8 mbsinit
00101238 string-utf8 fchown
0010123f string-utf8 dup2
00101244 string-utf8 stdout
0010124b string-utf8 optarg
00101252 string-utf8 realloc
0010125a string-utf8 isatty
00101261 string-utf8 gmtime_r
0010126a string-utf8 __sprintf_chk
00101278 string-utf8 _exit
0010127e string-utf8 __open_2
00101287 string-utf8 error_one_per_line
0010129a string-utf8 __fprintf_chk
001012a8 string-utf8 malloc
001012af string-utf8 __libc_start_main
001012c1 string-utf8 iswprint
001012ca string-utf8 error_at_line
001012d8 string-utf8 stderr
001012df string-utf8 fdopen
001012e6 string-utf8 mktime
001012ed string-utf8 memchr
001012f4 string-utf8 fchmodat
001012fd string-utf8 renameat2
00101307 string-utf8 fdopendir
00101311 string-utf8 raise
00101317 string-utf8 __cxa_finalize
00101326 string-utf8 setlocale
00101330 string-utf8 utimensat
0010133a string-utf8 openat
00101341 string-utf8 strchr
00101348 string-utf8 strerror
00101351 string-utf8 readdir
00101359 string-utf8 getenv
00101360 string-utf8 calloc
00101367 string-utf8 stpcpy
0010136e string-utf8 memcmp
00101375 string-utf8 fclose
0010137c string-utf8 memset
00101383 string-utf8 readlinkat
0010138e string-utf8 fputc
00101394 string-utf8 fputs
0010139a string-utf8 signal
001013a1 string-utf8 program_invocation_name
001013b9 string-utf8 ftello
001013c0 string-utf8 getegid
001013c8 string-utf8 memcpy
001013cf string-utf8 fileno
001013d6 string-utf8 fwrite
001013dd string-utf8 strcmp
001013e4 string-utf8 unlinkat
001013ed string-utf8 fseeko
001013f4 string-utf8 __errno_location
00101405 string-utf8 abort
0010140b string-utf8 getrandom
00101415 string-utf8 getopt_long
00101421 string-utf8 strerror_r
0010142c string-utf8 mbrtoc32
00101435 string-utf8 error_print_progname
0010144a string-utf8 lseek
00101450 string-utf8 fstat
00101456 string-utf8 strncmp
0010145e string-utf8 geteuid
00101466 string-utf8 rewinddir
00101470 string-utf8 dup
00101474 string-utf8 __progname_full
00101484 string-utf8 __progname
0010148f string-utf8 __cxa_atexit
0010149c string-utf8 libc.so.6
001014a6 string-utf8 GLIBC_2.3
001014b0 string-utf8 GLIBC_2.25
001014bb string-utf8 GLIBC_2.28
001014c6 string-utf8 GLIBC_2.14
001014d1 string-utf8 GLIBC_2.33
001014dc string-utf8 GLIBC_2.16
001014e7 string-utf8 GLIBC_2.7
001014f1 string-utf8 GLIBC_2.17
001014fc string-utf8 GLIBC_2.4
00101506 string-utf8 GLIBC_2.34
00101511 string-utf8 GLIBC_2.3.4
0010151d string-utf8 GLIBC_2.6
00101527 string-utf8 GLIBC_2.2.5
00101533 string-utf8 _ITM_deregisterTMCloneTable
0010154f string-utf8 __gmon_start__
0010155e string-utf8 _ITM_registerTMCloneTable
0011f017 string _symbolic link
0011f026 string regular file
0011f033 string can't read %s %s
0011f044 string aborted
0011f04c string %s %s is not a number
0011f062 string %s %s is negative
0011f074 string backup %s is empty
0011f087 string Input options:
0011f09c string %td,%td
0011f0a4 string patch.c
0011f0ac string 0 <= from_st->st_size
0011f0c2 string .orig
0011f0c8 string checking
0011f0d1 string patching
0011f0df string already 
0011f0e8 string copied
0011f0ef string renamed
0011f0f7 string Unreversed
0011f102 string /dev/null
0011f10c string  ----
0011f112 string  ****
0011f118 string  -----
0011f11f string ignored
0011f127 string  (different line endings)
0011f141 string QUOTING_STYLE
0011f14f string POSIXLY_CORRECT
0011f15f string PATCH_GET
0011f169 string PATCH_GET value
0011f179 string SIMPLE_BACKUP_SUFFIX
0011f18e string $PATCH_VERSION_CONTROL
0011f1a5 string $VERSION_CONTROL
0011f1b9 string Can't change to directory %s
0011f1d6 string fuzz factor
0011f1e2 string get option value
0011f1f3 string merge
0011f1f9 string diff3
0011f1ff string strip count
0011f20b string debugging option
0011f21c string basename prefix
0011f22c string suffix
0011f233 string quoting style
0011f241 string context
0011f249 string unified
0011f251 string ignore
0011f262 string %s: %s: extra operand 
0011f281 string setenv
0011f288 string Can't create file %s
0011f29f string File %s is read-only; 
0011f2b6 string trying to patch anyway 
0011f2ce string refusing to patch 
0011f2e1 string Can't open file %s
0011f2f4 string %s %s %s%c
0011f2ff string (%s%s from %s) 
0011f30f string %s patch detected!
0011f322 string outstate->after_newline
0011f33a string pch_char(new) == ' '
0011f34f string Can't open stream for file %s
0011f36d string Index: 
0011f38b string ***************
0011f39b string *** 0%s 
0011f3a4 string *** %td%s 
0011f3af string *** %td,%td%s 
0011f3be string --- 0%s 
0011f3c7 string --- %td%s 
0011f3d2 string --- %td,%td%s 
0011f3e5 string Hunk #%jd %s at %td%s. 
0011f3fd string Hunk #%jd succeeded at %td
0011f418 string  with fuzz %td
0011f427 string  (offset %td line%s)
0011f43c string il=%td lfl=%td 
0011f44c string %jd out of %jd hunk%s %s
0011f46a string Removing %s %s 
0011f47a string Output options:
0011f48a string Miscellaneous options:
0011f4a1 string   --help  Output this help.
0011f4bd string backup
0011f4c4 string directory
0011f4d4 string remove-empty-files
0011f4f0 string input
0011f4f6 string ignore-whitespace
0011f508 string normal
0011f50f string forward
0011f517 string output
0011f51e string strip
0011f524 string reject-file
0011f530 string reverse
0011f53e string silent
0011f545 string batch
0011f54b string set-time
0011f554 string version
0011f55c string version-control
0011f56c string debug
0011f572 string basename-prefix
0011f58a string dry-run
0011f592 string verbose
0011f59a string binary
0011f5a6 string no-backup-if-mismatch
0011f5bc string posix
0011f5c2 string quoting-style
0011f5d0 string reject-format
0011f5de string read-only
