00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100599 string-utf8 __gmon_start__
001005a8 string-utf8 _ITM_deregisterTMCloneTable
001005c4 string-utf8 _ITM_registerTMCloneTable
001005de string-utf8 pgm_readpgminit
001005ee string-utf8 pm_writelittlelong
00100601 string-utf8 pm_maxvaltobits
00100611 string-utf8 pm_close
0010061a string-utf8 pm_openr
00100623 string-utf8 pm_writelittleshort
00100637 string-utf8 pgm_allocrow
00100644 string-utf8 pm_error
0010064d string-utf8 pm_proginit
00100659 string-utf8 pgm_readpgmrow
00100668 string-utf8 putc
0010066d string-utf8 __stack_chk_fail
0010067e string-utf8 __printf_chk
0010068b string-utf8 stdout
00100692 string-utf8 __libc_start_main
001006a4 string-utf8 __cxa_finalize
001006b3 string-utf8 libnetpbm.so.11
001006c3 string-utf8 libc.so.6
001006cd string-utf8 GLIBC_2.34
001006d8 string-utf8 GLIBC_2.4
001006e2 string-utf8 GLIBC_2.2.5
001006ee string-utf8 GLIBC_2.3.4
00102006 string Input image is too large.
00102020 string This is a BitMap file
00102038 string Too many arguments.  The only argument is the optional input file name
00102080 string depth was %u, which is not in the range 1-32
001020e9 string zR
00102119 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/netpbm.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .note.gnu.property
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
.shstrtab::000000f8 string-utf8 .gnu_debugaltlink
.shstrtab::0000010a string-utf8 .gnu_debuglink
