00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100e89 string-utf8 __gmon_start__
00100e98 string-utf8 _ITM_deregisterTMCloneTable
00100eb4 string-utf8 _ITM_registerTMCloneTable
00100ece string-utf8 sd_session_get_start_time
00100ee8 string-utf8 sd_session_get_leader
00100efe string-utf8 sd_session_get_type
00100f12 string-utf8 sd_session_get_class
00100f27 string-utf8 sd_session_get_tty
00100f3a string-utf8 sd_session_get_service
00100f51 string-utf8 sd_session_get_remote_host
00100f6c string-utf8 sd_session_get_seat
00100f80 string-utf8 sd_get_sessions
00100f90 string-utf8 sd_session_get_remote_user
00100fab string-utf8 sd_session_get_display
00100fc2 string-utf8 sd_session_get_username
00100fda string-utf8 sd_session_get_uid
00100fed string-utf8 optind
00100ff4 string-utf8 error_message_count
00101008 string-utf8 strcpy
0010100f string-utf8 mempcpy
00101017 string-utf8 program_invocation_short_name
00101035 string-utf8 fputc_unlocked
00101044 string-utf8 __strcpy_chk
00101051 string-utf8 utmpxname
0010105b string-utf8 clock_gettime
00101069 string-utf8 dcgettext
00101073 string-utf8 __ctype_toupper_loc
00101087 string-utf8 __stack_chk_fail
00101098 string-utf8 __printf_chk
001010a5 string-utf8 free
001010aa string-utf8 fstatat
001010b2 string-utf8 __fpurge
001010bb string-utf8 stat
001010c0 string-utf8 freeaddrinfo
001010cd string-utf8 getaddrinfo
001010d9 string-utf8 getutxent
001010e3 string-utf8 strdup
001010ea string-utf8 fcntl
001010f0 string-utf8 closedir
001010f9 string-utf8 __ctype_get_mb_cur_max
00101110 string-utf8 strspn
00101117 string-utf8 strrchr
0010111f string-utf8 timespec_get
0010112c string-utf8 memmove
00101134 string-utf8 gettimeofday
00101141 string-utf8 fopen
00101147 string-utf8 strlen
0010114e string-utf8 __ctype_b_loc
0010115c string-utf8 __fpending
00101167 string-utf8 read
0010116c string-utf8 endutxent
00101176 string-utf8 clearerr_unlocked
00101188 string-utf8 strnlen
00101190 string-utf8 __vfprintf_chk
0010119f string-utf8 mbsinit
001011a7 string-utf8 sysinfo
001011af string-utf8 fflush_unlocked
001011bf string-utf8 stdout
001011c6 string-utf8 realloc
001011ce string-utf8 posix_fadvise
001011dc string-utf8 __sprintf_chk
001011ea string-utf8 _exit
001011f0 string-utf8 getpwnam
001011f9 string-utf8 bindtextdomain
00101208 string-utf8 error_one_per_line
0010121b string-utf8 strftime
00101224 string-utf8 __fprintf_chk
00101232 string-utf8 strcspn
0010123a string-utf8 malloc
00101241 string-utf8 __libc_start_main
00101253 string-utf8 iswprint
0010125c string-utf8 error_at_line
0010126a string-utf8 stderr
00101271 string-utf8 setutxent
0010127b string-utf8 fread_unlocked
0010128a string-utf8 fwrite_unlocked
0010129a string-utf8 __cxa_finalize
001012a9 string-utf8 localtime
001012b3 string-utf8 setlocale
001012bd string-utf8 strchr
001012c4 string-utf8 kill
001012c9 string-utf8 readdir
001012d1 string-utf8 getenv
001012d8 string-utf8 calloc
001012df string-utf8 stpcpy
001012e6 string-utf8 memcmp
001012ed string-utf8 fclose
001012f4 string-utf8 memset
001012fb string-utf8 fputs_unlocked
0010130a string-utf8 program_invocation_name
00101322 string-utf8 opendir
0010132a string-utf8 gai_strerror
00101337 string-utf8 memcpy
0010133e string-utf8 fileno
00101345 string-utf8 strcmp
0010134c string-utf8 __errno_location
0010135d string-utf8 write
00101363 string-utf8 abort
00101369 string-utf8 getopt_long
00101375 string-utf8 strerror_r
00101380 string-utf8 mbrtoc32
00101389 string-utf8 __overflow
00101394 string-utf8 error_print_progname
001013a9 string-utf8 strncmp
001013b1 string-utf8 __progname_full
001013c1 string-utf8 __progname
001013cc string-utf8 __cxa_atexit
001013d9 string-utf8 libsystemd.so.0
001013e9 string-utf8 libc.so.6
001013f3 string-utf8 GLIBC_2.14
001013fe string-utf8 GLIBC_2.33
00101409 string-utf8 GLIBC_2.34
00101414 string-utf8 GLIBC_2.4
0010141e string-utf8 GLIBC_2.3
00101428 string-utf8 GLIBC_2.3.4
00101434 string-utf8 GLIBC_2.17
0010143f string-utf8 GLIBC_2.16
0010144a string-utf8 GLIBC_2.2.5
00101456 string-utf8 LIBSYSTEMD_209
00101465 string-utf8 LIBSYSTEMD_254
0010b004 string write error
0010b020 string         ???
0010b02c string  %19s
0010b032 string  %-19.19s
0010b03c string %02d:%02d
0010b04b string  %-6s
0010b051 string ?????
0010b065 string ,=[  
0010b06b string --help
0010b072 string --version
0010b07c string pinky
0010b0b6 string test invocation
0010b0c6 string Multi-call invocation
0010b0dc string sha2 utilities
0010b0eb string sha224sum
0010b0f5 string sha256sum
0010b0ff string sha384sum
0010b109 string sha512sum
0010b113 string /var/run/utmp
0010b125 string Full documentation <%s%s> 
0010b140 string %Y-%m-%d %H:%M
0010b14f string %b %e %H:%M
0010b15b string /usr/share/locale
0010b16d string Kaveh Ghazi
0010b179 string David MacKenzie
0010b189 string Joseph Arceneaux
0010b19a string GNU coreutils
0010b1a8 string sfwiqbhlp
0010b1b2 string Login
0010b1bd string  %-19s
0010b1c9 string  %-9s
0010b1df string Where
0010b1e5 string Login name: 
0010b1f2 string %-28s
0010b1f8 string In real life: 
0010b20c string Directory: 
0010b218 string %-29s
0010b21e string Shell: 
0010b226 string Project: 
0010b230 string .project
0010b239 string Plan: 
0010b240 string .plan
0010b246 string lookup
0010b252 string gnulib
0010b259 string %s: %s
0010b260 string Unknown system error
0010b27a string %s:%u: 
0010b288 string POSIX
0010b29c string literal
0010b2a4 string shell
0010b2aa string shell-always
0010b2b7 string shell-escape
0010b2c4 string shell-escape-always
0010b2da string c-maybe
0010b2e2 string clocale
0010b2ea string runlevel
0010b2f3 string /var/lib/systemd/random-seed
0010b310 string /var/lib/urandom/random-seed
0010b32d string /var/lib/random-seed
0010b342 string reboot
0010b34b string /proc/uptime
0010b35c string /dev/pts
0010b369 string manager
0010b375 string %s (%s) %s 
0010b381 string %s %s 
0010b388 string Packaged by %s (%s) 
0010b39d string 9.10-1
0010b3a4 string Debian
0010b3af string Written by %s. 
0010b3bf string Written by %s and %s. 
0010b3d6 string Written by %s, %s, and %s. 
0010b3f2 string Report bugs to: %s 
0010b406 string bug-coreutils@gnu.org
0010b41c string %s home page: <%s> 
0010b430 string https://www.gnu.org/gethelp/
0010b44d string memory exhausted
0010b460 string https://www.gnu.org/software/coreutils/
0010b488 string https://www.gnu.org/software/coreutils/manual/coreutils.html
0010b4d0 string Try '%s --help' for more information. 
0010b4f8 string Usage: %s [OPTION]... [USER]... 
0010b520 string   -l     produce long format output for the specified USERs 
0010b560 string   -b     omit the user's home directory and shell in long format 
0010b5a8 string   -h     omit the user's project file in long format 
0010b5e0 string   -p     omit the user's plan file in long format 
0010b618 string   -s     do short format output, this is the default 
0010b650 string   -f     omit the line of column headings in short format 
0010b690 string   -w     omit the user's full name in short format 
0010b6c8 string   -i     omit the user's full name and remote host in short format 
0010b710 string   -q     omit the user's full name, remote host and idle time in short format 
0010b760 string       --lookup          attempt to canonicalize hostnames via DNS 
0010b7a8 string       --help          display this help and exit 
0010b7e0 string       --version          output version information and exit 
0010b820 string  A lightweight 'finger' program;  print user information. The utmp file will be %s. 
0010b878 string Report any translation bugs to <https://translationproject.org/team/> 
0010b8c0 string or available locally via: info '(coreutils) %s%s' 
0010b8f8 string no username specified; at least one must be specified when using -l
0010b940 string License GPLv3+: GNU GPL version 3 or later <%s>. This is free software: you are free to change and redistribute it. There is NO WARRANTY, to the extent permitted by law. 
0010b9f0 string https://gnu.org/licenses/gpl.html
0010ba18 string Written by %s, %s, %s, and %s. 
0010ba38 string Written by %s, %s, %s, %s, and %s. 
0010ba60 string Written by %s, %s, %s, %s, %s, and %s. 
0010ba88 string Written by %s, %s, %s, %s, %s, %s, and %s. 
