00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
001005d1 string-utf8 __gmon_start__
001005e0 string-utf8 _ITM_deregisterTMCloneTable
001005fc string-utf8 _ITM_registerTMCloneTable
00100616 string-utf8 pm_close
0010061f string-utf8 pm_openr
00100628 string-utf8 pgm_writepgminit
00100639 string-utf8 pm_keymatch
00100645 string-utf8 pgm_writepgmrow
00100655 string-utf8 pgm_allocrow
00100662 string-utf8 ppm_computecolorhist
00100677 string-utf8 pm_error
00100680 string-utf8 ppm_init
00100689 string-utf8 ppm_readppm
00100695 string-utf8 pm_usage
0010069e string-utf8 stdin
001006a4 string-utf8 exit
001006a9 string-utf8 stdout
001006b0 string-utf8 malloc
001006b7 string-utf8 __libc_start_main
001006c9 string-utf8 __cxa_finalize
001006d8 string-utf8 qsort
001006de string-utf8 libnetpbm.so.11
001006ee string-utf8 libc.so.6
001006f8 string-utf8 GLIBC_2.34
00100703 string-utf8 GLIBC_2.2.5
00102004 string -frequency
0010200f string -intensity
00102020 string [-frequency|-intensity] [ppmfile]
00102048 string Too many colors - Try reducing with pnmquant
00102078 string This should never happen - contact the maintainer
00102119 string zR
00102149 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/netpbm.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .note.gnu.property
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
.shstrtab::000000f8 string-utf8 .gnu_debugaltlink
.shstrtab::0000010a string-utf8 .gnu_debuglink
