00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
001005c9 string-utf8 __gmon_start__
001005d8 string-utf8 _ITM_deregisterTMCloneTable
001005f4 string-utf8 _ITM_registerTMCloneTable
0010060e string-utf8 pm_optParseOptions3
00100622 string-utf8 ppm_nextimage
00100630 string-utf8 pm_close
00100639 string-utf8 ppm_readppminit
00100649 string-utf8 pm_openr
00100652 string-utf8 pm_error
0010065b string-utf8 ppm_writeppmrow
0010066b string-utf8 ppm_readppmrow
0010067a string-utf8 pm_freerow
00100685 string-utf8 ppm_allocrow
00100692 string-utf8 pm_proginit
0010069e string-utf8 ppm_writeppminit
001006af string-utf8 pm_message
001006ba string-utf8 __stack_chk_fail
001006cb string-utf8 stdout
001006d2 string-utf8 malloc
001006d9 string-utf8 __libc_start_main
001006eb string-utf8 __cxa_finalize
001006fa string-utf8 libnetpbm.so.11
0010070a string-utf8 libc.so.6
00100714 string-utf8 GLIBC_2.34
0010071f string-utf8 GLIBC_2.4
00100729 string-utf8 GLIBC_2.2.5
00102004 string verbose
0010200c string debug
00102016 string illegalonly
00102022 string correctedonly
00102032 string Mapping %u %u %u -> %u %u %u 
00102050 string %u images processed.
00102068 string Too many arguments.  The only arguments accepted are the mask color and optional input file specification
001020d8 string --legalonly, --illegalonly, and --correctedonly are conflicting options.  Specify at most one of these.
00102140 string %u pixels were above the saturation limit.
00102170 string %u pixels were below the saturation limit.
00102309 string zR
00102339 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/netpbm.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .note.gnu.property
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
.shstrtab::000000f8 string-utf8 .gnu_debugaltlink
.shstrtab::0000010a string-utf8 .gnu_debuglink
