00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100641 string-utf8 __gmon_start__
00100650 string-utf8 _ITM_deregisterTMCloneTable
0010066c string-utf8 _ITM_registerTMCloneTable
00100686 string-utf8 pm_optParseOptions3
0010069a string-utf8 pm_close
001006a3 string-utf8 ppm_readppminit
001006b3 string-utf8 pm_openr
001006bc string-utf8 pm_srand2
001006c6 string-utf8 pm_error
001006cf string-utf8 pm_rand
001006d7 string-utf8 ppm_writeppmrow
001006e7 string-utf8 ppm_readppmrow
001006f6 string-utf8 pm_randterm
00100702 string-utf8 pm_freerow
0010070d string-utf8 ppm_allocrow
0010071a string-utf8 pm_randinit
00100726 string-utf8 pm_proginit
00100732 string-utf8 ppm_writeppminit
00100743 string-utf8 pm_message
0010074e string-utf8 __stack_chk_fail
0010075f string-utf8 free
00100764 string-utf8 __isoc23_strtol
00100774 string-utf8 stdout
0010077b string-utf8 malloc
00100782 string-utf8 __libc_start_main
00100794 string-utf8 __cxa_finalize
001007a3 string-utf8 libnetpbm.so.11
001007b3 string-utf8 libc.so.6
001007bd string-utf8 GLIBC_2.34
001007c8 string-utf8 GLIBC_2.38
001007d3 string-utf8 GLIBC_2.4
001007dd string-utf8 GLIBC_2.2.5
00102010 string You must specify the shift factor as an argument
00102048 string shift factor must be 0 or more
00102068 string Too many arguments (%u).  Shift factor and input file name are the only possible arguments
001020c8 string shift amount is larger than picture width - reset to %u
00102139 string zR
00102169 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/netpbm.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .note.gnu.property
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
.shstrtab::000000f8 string-utf8 .gnu_debugaltlink
.shstrtab::0000010a string-utf8 .gnu_debuglink
