00100394 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100609 string-utf8 fgets
0010060f string-utf8 stdin
00100615 string-utf8 __stack_chk_fail
00100626 string-utf8 __printf_chk
00100633 string-utf8 exit
00100638 string-utf8 putchar
00100640 string-utf8 ferror
00100647 string-utf8 strtok
0010064e string-utf8 feof
00100653 string-utf8 __isoc23_strtol
00100663 string-utf8 isatty
0010066a string-utf8 __sprintf_chk
00100678 string-utf8 __fprintf_chk
00100686 string-utf8 __libc_start_main
00100698 string-utf8 stderr
0010069f string-utf8 __cxa_finalize
001006ae string-utf8 fileno
001006b5 string-utf8 fwrite
001006bc string-utf8 strncmp
001006c4 string-utf8 libc.so.6
001006ce string-utf8 GLIBC_2.3.4
001006da string-utf8 GLIBC_2.38
001006e5 string-utf8 GLIBC_2.4
001006ef string-utf8 GLIBC_2.34
001006fa string-utf8 GLIBC_2.2.5
00100706 string-utf8 _ITM_deregisterTMCloneTable
00100722 string-utf8 __gmon_start__
00100731 string-utf8 _ITM_registerTMCloneTable
00102008 string usage %s [options] < input > output 	Options: 		-d=#   dyna number (-d=12 and $dynamic_12$hash$salt is used) 		-a     ALL hashes get $HEX$ and not simply hashes which have problems 		-ls=#  The salt is the leading data, and it is # bytes long 		-ss=b  The salt separator char is b  a blank -ss= means no separator char 		-hl=n  The length of hash.  SHA1 is 40, MD4/5 is 32, SHA256 is 64, etc 		-2h=r  perform a simple convert to hex.  the string r is converted to $HEX$hhhh... 		-2r=h  perform a simple convert out of hex.  the hex string h is converted to raw data 		       if either -2h or -2r are used, then the convert is done and the program exits 	defaults are -d=12 -ss=: -hl=32 
001022b8 string multiple recurse line (usrid may be wrong):   %s 
00102303 string $HEX$
0010230e string %*.*s:
00102315 string error 
0010231f string invalid line:   %s 
00102333 string %s$dynamic_%d$%*.*s$%s 
00102409 string zR
00102439 string zR
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.property
.shstrtab::0000001e string-utf8 .note.gnu.build-id
.shstrtab::00000031 string-utf8 .interp
.shstrtab::00000039 string-utf8 .gnu.hash
.shstrtab::00000043 string-utf8 .dynsym
.shstrtab::0000004b string-utf8 .dynstr
.shstrtab::00000053 string-utf8 .gnu.version
.shstrtab::00000060 string-utf8 .gnu.version_r
.shstrtab::0000006f string-utf8 .rela.dyn
.shstrtab::00000079 string-utf8 .rela.plt
.shstrtab::00000083 string-utf8 .init
.shstrtab::00000089 string-utf8 .plt.got
.shstrtab::00000092 string-utf8 .text
.shstrtab::00000098 string-utf8 .fini
.shstrtab::0000009e string-utf8 .rodata
.shstrtab::000000a6 string-utf8 .eh_frame_hdr
.shstrtab::000000b4 string-utf8 .eh_frame
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
