00100394 TerminatedCString /lib64/ld-linux-x86-64.so.2
00101669 string-utf8 __gmon_start__
00101678 string-utf8 _ITM_deregisterTMCloneTable
00101694 string-utf8 _ITM_registerTMCloneTable
001016ae string-utf8 snd_pcm_hw_params_any
001016c4 string-utf8 snd_pcm_hw_params_set_access
001016e1 string-utf8 snd_pcm_hw_params_can_pause
001016fd string-utf8 snd_pcm_close
0010170b string-utf8 snd_pcm_hw_params_get_period_time
0010172d string-utf8 snd_pcm_hw_params_set_format
0010174a string-utf8 snd_pcm_hw_params_set_rate_near
0010176a string-utf8 snd_pcm_pause
00101778 string-utf8 snd_pcm_hw_params_set_buffer_size_near
0010179f string-utf8 snd_pcm_prepare
001017af string-utf8 snd_pcm_hw_params_set_periods_near
001017d2 string-utf8 snd_strerror
001017df string-utf8 snd_pcm_open
001017ec string-utf8 snd_pcm_hw_params_get_period_size
0010180e string-utf8 snd_pcm_hw_params_set_channels_near
00101832 string-utf8 snd_pcm_hw_params_sizeof
0010184b string-utf8 snd_pcm_readi
00101859 string-utf8 snd_pcm_format_width
0010186e string-utf8 snd_pcm_hw_params
00101880 string-utf8 theora_encode_header
00101895 string-utf8 theora_comment_init
001018a9 string-utf8 theora_encode_YUVin
001018bd string-utf8 theora_comment_add_tag
001018d4 string-utf8 theora_info_init
001018e5 string-utf8 theora_encode_init
001018f8 string-utf8 theora_encode_tables
0010190d string-utf8 theora_info_clear
0010191f string-utf8 theora_granule_shift
00101934 string-utf8 theora_encode_packetout
0010194c string-utf8 theora_encode_comment
00101962 string-utf8 theora_granule_time
00101976 string-utf8 ogg_stream_flush
00101987 string-utf8 ogg_page_eos
00101994 string-utf8 ogg_page_granulepos
001019a8 string-utf8 ogg_stream_clear
001019b9 string-utf8 ogg_stream_packetin
001019cd string-utf8 ogg_stream_init
001019dd string-utf8 ogg_stream_pageout
001019f0 string-utf8 vorbis_encode_init_vbr
00101a07 string-utf8 vorbis_bitrate_addblock
00101a1f string-utf8 vorbis_info_init
00101a30 string-utf8 vorbis_analysis_blockout
00101a49 string-utf8 vorbis_comment_init
00101a5d string-utf8 vorbis_analysis_buffer
00101a74 string-utf8 vorbis_bitrate_flushpacket
00101a8f string-utf8 vorbis_analysis_headerout
00101aa9 string-utf8 vorbis_analysis
00101ab9 string-utf8 vorbis_block_init
00101acb string-utf8 vorbis_analysis_init
00101ae0 string-utf8 vorbis_granule_time
00101af4 string-utf8 vorbis_analysis_wrote
00101b0a string-utf8 _XReply
00101b12 string-utf8 _XGetRequest
00101b1f string-utf8 XDamageCreate
00101b2d string-utf8 XDamageQueryExtension
00101b43 string-utf8 XFree
00101b49 string-utf8 _XReadPad
00101b53 string-utf8 XFixesGetCursorImage
00101b68 string-utf8 XFixesQueryExtension
00101b7d string-utf8 XQueryExtension
00101b8d string-utf8 XShapeQueryExtension
00101ba2 string-utf8 XShmDetach
00101bad string-utf8 XShapeCombineRectangles
00101bc5 string-utf8 XShmGetImage
00101bd2 string-utf8 XShmAttach
00101bdd string-utf8 XShmCreateImage
00101bed string-utf8 XGetWindowAttributes
00101c02 string-utf8 XChangeGC
00101c0c string-utf8 XCreateImage
00101c19 string-utf8 XGetErrorText
