00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00101059 string-utf8 __gmon_start__
00101068 string-utf8 _ITM_deregisterTMCloneTable
00101084 string-utf8 _ITM_registerTMCloneTable
0010109e string-utf8 lsx_sigfigs3p
001010ac string-utf8 sox_get_format_fns
001010bf string-utf8 sox_is_playlist
001010cf string-utf8 sox_create_effect
001010e1 string-utf8 lsx_find_enum_text
001010f4 string-utf8 lsx_calloc
001010ff string-utf8 sox_push_effect_last
00101114 string-utf8 sox_effect_options
00101127 string-utf8 lsx_warn_impl
00101135 string-utf8 sox_format_init
00101145 string-utf8 lsx_realloc
00101151 string-utf8 lsx_getopt_init
00101161 string-utf8 lsx_find_enum_value
00101175 string-utf8 sox_get_globals
00101185 string-utf8 sox_read
0010118e string-utf8 sox_close
00101198 string-utf8 sox_get_encodings_info
001011af string-utf8 sox_get_effects_globals
001011c7 string-utf8 sox_append_comment
001011da string-utf8 sox_num_comments
001011eb string-utf8 sox_find_comment
001011fc string-utf8 sox_trim_get_start
0010120f string-utf8 sox_effects_clips
00101221 string-utf8 sox_open_write
00101230 string-utf8 sox_basename
0010123d string-utf8 sox_trim_clear_start
00101252 string-utf8 lsx_find_file_extension
0010126a string-utf8 lsx_sigfigs3
00101277 string-utf8 sox_seek
00101280 string-utf8 sox_get_effect_fns
00101293 string-utf8 lsx_report_impl
001012a3 string-utf8 sox_copy_comments
001012b5 string-utf8 sox_delete_comments
001012c9 string-utf8 sox_format_supports_encoding
001012e6 string-utf8 sox_strerror
001012f3 string-utf8 lsx_adjust_softvol
00101306 string-utf8 lsx_debug_impl
00101315 string-utf8 sox_write
0010131f string-utf8 sox_delete_effects_chain
00101338 string-utf8 lsx_filelength
00101347 string-utf8 sox_add_effect
00101356 string-utf8 sox_create_effects_chain
0010136f string-utf8 sox_find_effect
0010137f string-utf8 lsx_fail_impl
0010138d string-utf8 sox_version_info
0010139e string-utf8 sox_pop_effect_last
001013b2 string-utf8 lsx_sscanf
001013bd string-utf8 sox_delete_effect_last
001013d4 string-utf8 lsx_getopt
001013df string-utf8 sox_open_read
001013ed string-utf8 sox_init
001013f6 string-utf8 sox_parse_playlist
00101409 string-utf8 sox_flow_effects
0010141a string-utf8 sox_write_handler
0010142c string-utf8 sox_init_encodinginfo
00101442 string-utf8 lsx_malloc
0010144d string-utf8 sox_find_format
0010145d string-utf8 lsx_realloc_array
0010146f string-utf8 sox_delete_effects
00101482 string-utf8 sox_quit
0010148b string-utf8 lsx_strncasecmp
0010149b string-utf8 sox_precision
001014a9 string-utf8 lsx_strdup
001014b4 string-utf8 log10
001014ba string-utf8 pow
001014be string-utf8 floor
001014c4 string-utf8 sqrt
001014c9 string-utf8 ceil
001014ce string-utf8 globfree
001014d7 string-utf8 fgets
001014dd string-utf8 strcpy
001014e4 string-utf8 stdin
001014ea string-utf8 __stack_chk_fail
001014fb string-utf8 __printf_chk
00101508 string-utf8 __fdelt_chk
00101514 string-utf8 __isoc23_scanf
00101523 string-utf8 stat
00101528 string-utf8 getc
0010152d string-utf8 fcntl
00101533 string-utf8 strrchr
0010153b string-utf8 putchar
00101543 string-utf8 unlink
0010154a string-utf8 ferror
00101551 string-utf8 fflush
00101558 string-utf8 strtod
0010155f string-utf8 gettimeofday
0010156c string-utf8 fopen
00101572 string-utf8 strlen
00101579 string-utf8 __ctype_b_loc
00101587 string-utf8 __vfprintf_chk
00101596 string-utf8 stdout
0010159d string-utf8 isatty
001015a4 string-utf8 __sprintf_chk
001015b2 string-utf8 strcat
001015b9 string-utf8 strcasecmp
001015c4 string-utf8 __fprintf_chk
