00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00101289 string-utf8 apr_hash_first
00101298 string-utf8 apr_array_make
001012a7 string-utf8 svn_subst_translate_string2
001012c3 string-utf8 apr_hash_this_val
001012d5 string-utf8 svn_err_best_message
001012ea string-utf8 _ITM_deregisterTMCloneTable
00101306 string-utf8 svn_stream_printf
00101318 string-utf8 svn_dirent_local_style
0010132f string-utf8 apr_hash_this_key
00101341 string-utf8 apr_hash_set
0010134e string-utf8 svn_fs_get_uuid
0010135e string-utf8 apr_pool_clear
0010136d string-utf8 svn_stream_from_aprfile2
00101386 string-utf8 svn_fs_deltify_revision
0010139e string-utf8 svn_sort__hash
001013ad string-utf8 svn_utf_cstring_to_utf8
001013c5 string-utf8 svn_error_quick_wrapf
001013db string-utf8 apr_pool_cleanup_register
001013f5 string-utf8 svn_fs_open_txn
00101405 string-utf8 svn_fs_verify_root
00101418 string-utf8 svn_error_compose_create
00101431 string-utf8 apr_palloc
0010143c string-utf8 svn_sort_compare_items_lexically
0010145d string-utf8 svn_pool_create_ex
00101470 string-utf8 svn_dirent_join
00101480 string-utf8 __gmon_start__
0010148f string-utf8 svn_stream_puts
0010149f string-utf8 svn_fs_abort_txn
001014b0 string-utf8 svn_fs_get_lock
001014c0 string-utf8 apr_pstrdup
001014cc string-utf8 svn_error_wrap_apr
001014df string-utf8 apr_hash_make
001014ed string-utf8 apr_psprintf
001014fa string-utf8 svn_error_purge_tracing
00101512 string-utf8 svn_error_clear
00101522 string-utf8 svn_error_createf
00101534 string-utf8 svn_stringbuf_create
00101549 string-utf8 svn_fs_change_txn_prop
00101560 string-utf8 apr_pool_cleanup_null
00101576 string-utf8 svn_fs_txn_root
00101586 string-utf8 svn_io_file_open
00101597 string-utf8 svn_stream_create
001015a9 string-utf8 svn_stringbuf_from_file2
001015c2 string-utf8 apr_array_push
001015d1 string-utf8 apr_pool_destroy
001015e2 string-utf8 svn_error_quick_wrap
001015f7 string-utf8 svn_fspath__canonicalize
00101610 string-utf8 svn_error_dup
0010161e string-utf8 svn_fs_set_uuid
0010162e string-utf8 svn_fs_txn_base_revision
00101647 string-utf8 svn_error__malfunction
0010165e string-utf8 svn_cstring_split
00101670 string-utf8 apr_hash_next
0010167e string-utf8 svn_path_is_url
0010168e string-utf8 _ITM_registerTMCloneTable
001016a8 string-utf8 svn_error_create
001016b9 string-utf8 svn_fs_youngest_rev
001016cd string-utf8 svn_fs_path
001016d9 string-utf8 svn_error_find_cause
001016ee string-utf8 svn_repos_db_logfiles
00101704 string-utf8 svn_repos_fs_unlock
00101718 string-utf8 svn_repos_verify_fs3
0010172d string-utf8 svn_repos_fs
0010173a string-utf8 svn_repos_open3
0010174a string-utf8 svn_repos_fs_pack2
0010175d string-utf8 svn_repos_fs_change_rev_prop4
0010177b string-utf8 svn_repos_create
0010178c string-utf8 svn_repos_fs_get_locks2
001017a4 string-utf8 svn_repos_hotcopy3
001017b7 string-utf8 svn_repos_freeze
001017c8 string-utf8 svn_repos_upgrade2
001017db string-utf8 svn_repos_recover4
001017ee string-utf8 svn_repos_fs_lock
00101800 string-utf8 svn_repos_dump_fs4
00101813 string-utf8 svn_repos_info_format
00101829 string-utf8 svn_repos_version
0010183b string-utf8 svn_repos_dated_revision
00101854 string-utf8 svn_repos_capabilities
0010186b string-utf8 svn_repos_load_fs6
0010187e string-utf8 svn_repos_load_fs_revprops
00101899 string-utf8 svn_repos_path
001018a8 string-utf8 svn_handle_error2
001018ba string-utf8 svn_uuid_generate
001018cc string-utf8 svn_ver_equal
001018da string-utf8 svn_fs_unlock
001018e8 string-utf8 svn_fs_lock
001018f4 string-utf8 svn_fs_create_access
00101909 string-utf8 svn_fs_list_transactions
00101922 string-utf8 svn_fs_info_format
00101935 string-utf8 svn_fs_initialize
00101947 string-utf8 svn_fs_set_warning_func
0010195f string-utf8 svn_fs_purge_txn
00101970 string-utf8 svn_fs_info
0010197c string-utf8 svn_fs_ioctl
00101989 string-utf8 svn_fs_version
00101998 string-utf8 svn_fs_info_config_files
001019b1 string-utf8 svn_fs_print_modules
001019c6 string-utf8 svn_fs_set_access
001019d8 string-utf8 apr_file_open_stdout
001019ed string-utf8 svn_stream_set_write
00101a02 string-utf8 svn_stream_open_readonly
00101a1b string-utf8 svn_delta_version
00101a2d string-utf8 apr_file_open_stdin
00101a41 string-utf8 apr_file_open_stderr
00101a56 string-utf8 apr_allocator_owner_get
00101a6e string-utf8 svn_opt_get_option_from_code3
00101a8c string-utf8 svn_stream_for_stdout
00101aa2 string-utf8 svn_subr_version
00101ab3 string-utf8 svn_cmdline__disable_cancellation_handler
00101add string-utf8 svn_cmdline_printf
00101af0 string-utf8 svn_cmdline_fflush
00101b03 string-utf8 svn_cstring_count_newlines
00101b1e string-utf8 svn_opt_parse_revision
00101b35 string-utf8 svn_cmdline_fputs
00101b47 string-utf8 svn_dirent_canonicalize
00101b5f string-utf8 svn_cstring_atoui64
00101b73 string-utf8 svn_cmdline__default_get_cstring_argv
00101b99 string-utf8 svn_cmdline_fprintf
00101bad string-utf8 svn_time_to_human_cstring
00101bc7 string-utf8 svn_version__at_least
00101bdd string-utf8 svn_stream_for_stdin2
00101bf3 string-utf8 svn_cmdline__cancellation_exit
00101c12 string-utf8 svn_opt_get_canonical_subcommand3
00101c34 string-utf8 svn_error_set_malfunction_handler
00101c56 string-utf8 svn_user_get_name
00101c68 string-utf8 svn_opt_subcommand_takes_option4
00101c89 string-utf8 svn_cstring_match_glob_list
00101ca5 string-utf8 svn_cache_config_set
00101cba string-utf8 svn_pool_create_allocator
00101cd4 string-utf8 svn_cmdline_init
00101ce5 string-utf8 svn_cmdline_handle_exit_error
00101d03 string-utf8 svn_io_run_cmd
00101d12 string-utf8 svn_string_create_empty
00101d2a string-utf8 svn_dirent_internal_style
00101d44 string-utf8 svn_handle_warning2
00101d58 string-utf8 svn_opt_print_help5
00101d6c string-utf8 svn_version__parse_version_string
00101d8e string-utf8 svn_opt_format_option
00101da4 string-utf8 svn_opt__args_to_target_array
00101dc2 string-utf8 svn_cmdline__getopt_init
00101ddb string-utf8 svn_cmdline__setup_cancellation_handler
00101e03 string-utf8 svn_ver_check_list2
00101e17 string-utf8 svn_cache_config_get
00101e2c string-utf8 apr_getopt_long
00101e3c string-utf8 dcgettext
00101e46 string-utf8 __stack_chk_fail
00101e57 string-utf8 strlen
00101e5e string-utf8 __libc_start_main
00101e70 string-utf8 __cxa_finalize
00101e7f string-utf8 strcmp
00101e86 string-utf8 dcngettext
00101e91 string-utf8 abort
00101e97 string-utf8 strncmp
00101e9f string-utf8 libsvn_repos-1.so.1
00101eb3 string-utf8 libsvn_fs-1.so.1
00101ec4 string-utf8 libsvn_delta-1.so.1
00101ed8 string-utf8 libsvn_subr-1.so.1
00101eeb string-utf8 libapr-1.so.0
00101ef9 string-utf8 libc.so.6
00101f03 string-utf8 GLIBC_2.34
00101f0e string-utf8 GLIBC_2.4
00101f18 string-utf8 GLIBC_2.2.5
00101f24 string-utf8 /usr/lib/x86_64-linux-gnu
0010c004 string Can't open stdin
0010c015 string Can't open stdout
0010c027 string Can't open stderr
0010c03e string Not enough arguments
0010c053 string subversion
0010c05e string Too many arguments
0010c071 string No program provided
0010c088 string WARNING 0x%04x: %s 
0010c09c string * Dumped revision %ld. 
0010c0b4 string * Verified revision %ld. 
0010c0ce string      * editing path : %s ...
0010c0eb string      * deleting path : %s ...
0010c109 string      * adding path : %s ...
0010c125 string  done. 
0010c12d string COPIED...
0010c137 string  removing '\r' from %s ...
0010c152 string svn:mergeinfo
0010c160 string * Copied revision %ld. 
0010c178 string svnadmin: 
0010c185 string fsfs-cache-deltas
0010c197 string fsfs-cache-fulltexts
0010c1ac string fsfs-cache-nodeprops
0010c1c3 string fsfs-cache-revprops
0010c1d7 string fsfs-cache-namespace
0010c1ec string fsfs-block-read
0010c1fc string no-flush-to-disk
0010c20d string Invalid revision specifier
0010c231 string %s: E%06d: %s 
0010c240 string  Upgrade completed. 
0010c255 string * Processed revision %ld. 
0010c270 string '%s' unlocked by user '%s'. 
0010c28d string Missing revision
0010c29e string Only one revision allowed
0010c2b8 string Transaction '%s' removed. 
0010c2d3 string administrator
0010c2e1 string No paths to unlock provided
0010c2fd string Path '%s' isn't locked. 
0010c316 string Removed lock on '%s'. 
0010c32d string  Recovery completed. 
0010c345 string Too many arguments given
0010c35e string Path: %s 
0010c368 string UUID Token: %s 
0010c378 string Owner: %s 
0010c383 string Created: %s 
0010c390 string Expires: %s 
0010c39d string Comment (%i lines): %s  
0010c3b6 string Comment (%i line): %s  
0010c3ce string Deltifying revision %ld...
0010c3eb string bdb-txn-nosync
0010c3fa string bdb-log-autoremove
0010c416 string fs-type
0010c41e string pre-1.4-compatible
0010c431 string pre-1.5-compatible
0010c444 string pre-1.6-compatible
0010c457 string pre-1.8-compatible
0010c46a string %d.%d.%d%s%s
0010c477 string compatible-version
0010c48e string svnadmin
