00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100fd1 string-utf8 _ITM_deregisterTMCloneTable
00100fed string-utf8 __gmon_start__
00100ffc string-utf8 _ITM_registerTMCloneTable
00101016 string-utf8 blkid_probe_lookup_value
0010102f string-utf8 blkid_new_probe_from_filename
0010104d string-utf8 blkid_probe_enable_superblocks
0010106c string-utf8 blkid_do_safeprobe
0010107f string-utf8 blkid_probe_filter_superblocks_type
001010a3 string-utf8 blkid_probe_set_superblocks_flags
001010c5 string-utf8 blkid_free_probe
001010d6 string-utf8 mnt_fs_get_size
001010e6 string-utf8 mnt_resolve_spec
001010f7 string-utf8 mnt_new_iter
00101104 string-utf8 mnt_table_set_cache
00101118 string-utf8 mnt_init_debug
00101127 string-utf8 mnt_unref_cache
00101137 string-utf8 mnt_fs_is_swaparea
0010114a string-utf8 mnt_new_table
00101158 string-utf8 mnt_table_next_fs
0010116a string-utf8 mnt_table_find_source
00101180 string-utf8 mnt_fs_get_source
00101192 string-utf8 mnt_optstr_get_option
001011a8 string-utf8 mnt_new_cache
001011b6 string-utf8 mnt_resolve_tag
001011c6 string-utf8 mnt_table_parse_fstab
001011dc string-utf8 mnt_get_fstab_path
001011ef string-utf8 mnt_fs_get_usedsize
00101203 string-utf8 mnt_table_set_parser_errcb
0010121e string-utf8 mnt_fs_get_options
00101231 string-utf8 mnt_free_iter
0010123f string-utf8 mnt_table_find_next_fs
00101256 string-utf8 mnt_fs_get_priority
0010126a string-utf8 mnt_fs_get_swaptype
0010127e string-utf8 mnt_unref_table
0010128e string-utf8 mnt_table_is_empty
001012a1 string-utf8 mnt_fs_get_option
001012b3 string-utf8 mnt_table_parse_swaps
001012c9 string-utf8 scols_new_table
001012d9 string-utf8 scols_init_debug
001012ea string-utf8 scols_print_table
001012fc string-utf8 scols_table_enable_noheadings
0010131a string-utf8 scols_line_refer_data
00101330 string-utf8 scols_table_new_line
00101345 string-utf8 scols_table_enable_raw
0010135c string-utf8 scols_unref_table
0010136e string-utf8 scols_table_new_column
00101385 string-utf8 fgetc
0010138b string-utf8 optind
00101392 string-utf8 nanosleep
0010139c string-utf8 getpagesize
001013a8 string-utf8 reallocarray
001013b5 string-utf8 program_invocation_short_name
001013d3 string-utf8 dcgettext
001013dd string-utf8 __stack_chk_fail
001013ee string-utf8 __printf_chk
001013fb string-utf8 free
00101400 string-utf8 setgid
00101407 string-utf8 __assert_fail
00101415 string-utf8 __isoc23_strtoimax
00101428 string-utf8 strdup
0010142f string-utf8 strspn
00101436 string-utf8 setuid
0010143d string-utf8 ferror
00101444 string-utf8 fflush
0010144b string-utf8 strtod
00101452 string-utf8 strndup
0010145a string-utf8 flock
00101460 string-utf8 fork
00101465 string-utf8 strlen
0010146c string-utf8 __ctype_b_loc
0010147a string-utf8 read
0010147f string-utf8 __vasprintf_chk
0010148f string-utf8 __isoc23_strtol
0010149f string-utf8 stdout
001014a6 string-utf8 optarg
001014ad string-utf8 realloc
001014b5 string-utf8 isatty
001014bc string-utf8 execvp
001014c3 string-utf8 _exit
001014c9 string-utf8 bindtextdomain
001014d8 string-utf8 __open_2
001014e1 string-utf8 __fprintf_chk
001014ef string-utf8 localeconv
001014fa string-utf8 swapon
00101501 string-utf8 open
00101506 string-utf8 strcspn
0010150e string-utf8 malloc
00101515 string-utf8 __libc_start_main
00101527 string-utf8 strtold
0010152f string-utf8 stderr
00101536 string-utf8 __isoc23_strtoumax
00101549 string-utf8 __read_chk
00101554 string-utf8 __ctype_tolower_loc
00101568 string-utf8 warn
0010156d string-utf8 __cxa_finalize
0010157c string-utf8 setlocale
00101586 string-utf8 strchr
0010158d string-utf8 getgid
00101594 string-utf8 getenv
0010159b string-utf8 calloc
001015a2 string-utf8 fsync
001015a8 string-utf8 ioctl
001015ae string-utf8 close
001015b4 string-utf8 fputc
001015ba string-utf8 waitpid
001015c2 string-utf8 fputs
001015c8 string-utf8 __snprintf_chk
001015d7 string-utf8 getuid
001015de string-utf8 access
001015e5 string-utf8 memcpy
001015ec string-utf8 fileno
001015f3 string-utf8 strcmp
001015fa string-utf8 __errno_location
0010160b string-utf8 write
00101611 string-utf8 getopt_long
0010161d string-utf8 lseek
00101623 string-utf8 fstat
00101629 string-utf8 strncmp
00101631 string-utf8 geteuid
00101639 string-utf8 warnx
0010163f string-utf8 errx
00101644 string-utf8 __progname
0010164f string-utf8 __cxa_atexit
0010165c string-utf8 libblkid.so.1
0010166a string-utf8 libmount.so.1
00101678 string-utf8 libsmartcols.so.1
0010168a string-utf8 libc.so.6
00101694 string-utf8 BLKID_2.17
0010169f string-utf8 BLKID_2.15
001016aa string-utf8 SMARTCOLS_2.25
001016b9 string-utf8 GLIBC_2.3
001016c3 string-utf8 GLIBC_2.33
001016ce string-utf8 GLIBC_2.8
001016d8 string-utf8 GLIBC_2.14
001016e3 string-utf8 GLIBC_2.7
001016ed string-utf8 GLIBC_2.38
001016f8 string-utf8 GLIBC_2.26
00101703 string-utf8 GLIBC_2.4
0010170d string-utf8 GLIBC_2.34
00101718 string-utf8 GLIBC_2.3.4
00101724 string-utf8 GLIBC_2.2.5
00101730 string-utf8 MOUNT_2.20
0010173b string-utf8 MOUNT_2.21
00101746 string-utf8 MOUNT_2.22
00101751 string-utf8 MOUNT_2.24
0010175c string-utf8 MOUNT_2.19
0010a005 string $tI(knNsys-utils/swapon.c
0010a024 string unknown column: %s
0010a037 string cannot allocate string
0010a04e string nofail
0010a055 string discard
0010a062 string pages
0010a06c string cannot open %s
0010a07b string stat of %s failed
0010a08d string %s: get size failed
0010a0a1 string cannot allocate %zu bytes
0010a0bb string SWAPSPACE2
0010a0c6 string S1SUSPEND
0010a0d0 string S2SUSPEND
0010a0da string ULSUSPEND
0010a0ef string %s: read swap header failed
0010a10b string cannot duplicate string
0010a123 string %s: reinitializing the swap.
0010a140 string fork failed
0010a159 string failed to execute %s
0010a16e string waitpid failed
0010a17d string %s: lseek failed
0010a18e string %s: write signature failed
0010a1a9 string write failed: %s
0010a1ba string swapon %s 
0010a1c5 string %s: swapon failed
0010a1d7 string suspend
0010a1df string write error
0010a1ed string /usr/share/locale
0010a1ff string util-linux
0010a20f string failed to parse priority
0010a228 string  Usage: 
0010a231 string  %s [options] [<spec>] 
0010a249 string  Options: 
0010a254 string display version
0010a264 string display this help
0010a276 string  -V, --version
0010a285 string  -h, --help
0010a291 string %-26s%s %-26s%s 
0010a2a2 string  Available output columns: 
0010a2be string  %-5s  %s 
0010a2c9 string  For more details see %s. 
0010a2e4 string swapon(8)
0010a2ee string %s from %s 
0010a2fa string util-linux 2.41.3
0010a30c string ahd::efo:p:svVL:U:T:
0010a323 string %s%*s%s%s	%jd%s	%jd%s	%d 
0010a34c string LABEL
0010a352 string failed to add output data
0010a36c string bad usage
0010a376 string failed to parse %s
0010a389 string noauto
0010a390 string %s: noauto option -- ignored
0010a3ad string %s: already active -- ignored
0010a3cb string %s: inaccessible -- ignored
0010a3e7 string  --%s
0010a3ed string ifexists
0010a3f6 string options
0010a3fe string summary
0010a40e string verbose
0010a41b string output-all
0010a426 string noheadings
0010a440 string device file or partition path
0010a463 string type of the device
0010a47b string size of the swap area
0010a496 string bytes in use
0010a4a8 string swap priority
0010a4b6 string swap uuid
0010a4c0 string swap label
0010a4cb string cannot find the device for %s
0010a4e9 string %s: unable to probe device
0010a504 string VERSION
0010a50c string warning: %s is misaligned
0010a526 string printer
0010a52e string processor
0010a541 string scanner
0010a549 string mo-disk
