00100318 TerminatedCString /lib64/ld-linux-x86-64.so.2
00101411 string-utf8 _ITM_deregisterTMCloneTable
0010142d string-utf8 __gmon_start__
0010143c string-utf8 _ITM_registerTMCloneTable
00101456 string-utf8 ntfs_device_mount
00101468 string-utf8 ntfs_attr_close
00101478 string-utf8 AT_UNNAMED
00101483 string-utf8 ntfs_get_attribute_value_length
001014a3 string-utf8 ntfs_inode_open
001014b3 string-utf8 ntfs_attr_put_search_ctx
001014cc string-utf8 ntfs_log_set_handler
001014e1 string-utf8 ntfs_log_handler_stderr
001014f9 string-utf8 ntfs_mbstoucs
00101507 string-utf8 ntfs_umount
00101513 string-utf8 ntfs_cluster_read
00101525 string-utf8 ntfs_device_alloc
00101537 string-utf8 ntfs_inode_close
00101548 string-utf8 ntfs_attr_open
00101557 string-utf8 ntfs_log_set_levels
0010156b string-utf8 ntfs_attr_get_search_ctx
00101584 string-utf8 ntfs_mapping_pairs_decompress
001015a2 string-utf8 ntfs_readdir
001015af string-utf8 ntfs_device_free
001015c0 string-utf8 ntfs_attr_mst_pread
001015d4 string-utf8 ntfs_attr_pread
001015e4 string-utf8 ntfs_attr_lookup
001015f5 string-utf8 ntfs_ucstombs
00101603 string-utf8 ext2fs_get_library_version
0010161e string-utf8 ext2fs_close
0010162b string-utf8 ext2fs_dir_iterate2
0010163f string-utf8 ext2fs_read_inode
00101651 string-utf8 ext2fs_file_read
00101662 string-utf8 ext2fs_file_open
00101673 string-utf8 ext2fs_file_close
00101685 string-utf8 ext2fs_open
00101691 string-utf8 delwin
00101698 string-utf8 wredrawln
001016a2 string-utf8 assume_default_colors
001016b8 string-utf8 nonl
001016bd string-utf8 waddch
001016c4 string-utf8 clearok
001016cc string-utf8 noecho
001016d3 string-utf8 getcurx
001016db string-utf8 getcury
001016e3 string-utf8 newterm
001016eb string-utf8 wgetch
001016f2 string-utf8 wtouchln
001016fb string-utf8 wborder
00101703 string-utf8 wprintw
0010170b string-utf8 waddnstr
00101714 string-utf8 has_colors
0010171f string-utf8 endwin
00101726 string-utf8 wattr_off
00101730 string-utf8 wrefresh
00101739 string-utf8 getmaxy
00101741 string-utf8 wclear
00101748 string-utf8 wclrtoeol
00101752 string-utf8 newwin
