00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100f59 string-utf8 _ITM_deregisterTMCloneTable
00100f75 string-utf8 __gmon_start__
00100f84 string-utf8 _ITM_registerTMCloneTable
00100f9e string-utf8 scols_new_table
00100fae string-utf8 scols_init_debug
00100fbf string-utf8 scols_print_table
00100fd1 string-utf8 scols_table_enable_noheadings
00100fef string-utf8 scols_table_new_line
00101004 string-utf8 scols_line_set_data
00101018 string-utf8 scols_table_enable_raw
0010102f string-utf8 scols_unref_table
00101041 string-utf8 scols_table_new_column
00101058 string-utf8 fgetc
0010105e string-utf8 optind
00101065 string-utf8 nanosleep
0010106f string-utf8 reallocarray
0010107c string-utf8 program_invocation_short_name
0010109a string-utf8 getdtablesize
001010a8 string-utf8 dirfd
001010ae string-utf8 dcgettext
001010b8 string-utf8 __stack_chk_fail
001010c9 string-utf8 __printf_chk
001010d6 string-utf8 fstatat
001010de string-utf8 __assert_fail
001010ec string-utf8 sigfillset
001010f7 string-utf8 __isoc23_strtoimax
0010110a string-utf8 strdup
00101111 string-utf8 fcntl
00101117 string-utf8 __sched_cpualloc
00101128 string-utf8 closedir
00101131 string-utf8 __getdelim
0010113c string-utf8 strspn
00101143 string-utf8 strrchr
0010114b string-utf8 ferror
00101152 string-utf8 fflush
00101159 string-utf8 strtod
00101160 string-utf8 __explicit_bzero_chk
00101175 string-utf8 strndup
0010117d string-utf8 __openat_2
00101188 string-utf8 strlen
0010118f string-utf8 __ctype_b_loc
0010119d string-utf8 read
001011a2 string-utf8 __vasprintf_chk
001011b2 string-utf8 __sched_cpufree
001011c2 string-utf8 faccessat
001011cc string-utf8 mkdir
001011d2 string-utf8 __vfprintf_chk
001011e1 string-utf8 __isoc23_strtol
001011f1 string-utf8 __vsnprintf_chk
00101201 string-utf8 getpid
00101208 string-utf8 readlink
00101211 string-utf8 stdout
00101218 string-utf8 umask
0010121e string-utf8 optarg
00101225 string-utf8 realloc
0010122d string-utf8 isatty
00101234 string-utf8 _exit
0010123a string-utf8 bindtextdomain
00101249 string-utf8 __open_2
00101252 string-utf8 __fprintf_chk
00101260 string-utf8 localeconv
0010126b string-utf8 strcspn
00101273 string-utf8 malloc
0010127a string-utf8 __libc_start_main
0010128c string-utf8 strtold
00101294 string-utf8 sigprocmask
001012a0 string-utf8 stderr
001012a7 string-utf8 fdopen
001012ae string-utf8 __isoc23_strtoumax
001012c1 string-utf8 mkostemp
001012ca string-utf8 __read_chk
001012d5 string-utf8 fdopendir
001012df string-utf8 __ctype_tolower_loc
001012f3 string-utf8 warn
001012f8 string-utf8 __cxa_finalize
00101307 string-utf8 setlocale
00101311 string-utf8 strchr
00101318 string-utf8 getgid
0010131f string-utf8 readdir
00101327 string-utf8 getenv
0010132e string-utf8 calloc
00101335 string-utf8 stpcpy
0010133c string-utf8 fclose
00101343 string-utf8 __asprintf_chk
00101352 string-utf8 memset
00101359 string-utf8 readlinkat
00101364 string-utf8 __isoc23_strtoul
00101375 string-utf8 ioctl
0010137b string-utf8 fputc
00101381 string-utf8 __isoc23_vfscanf
00101392 string-utf8 fputs
00101398 string-utf8 __snprintf_chk
001013a7 string-utf8 getuid
001013ae string-utf8 getegid
001013b6 string-utf8 sigemptyset
001013c2 string-utf8 access
001013c9 string-utf8 memcpy
001013d0 string-utf8 fileno
001013d7 string-utf8 strcmp
001013de string-utf8 __errno_location
001013ef string-utf8 dcngettext
001013fa string-utf8 write
00101400 string-utf8 syscall
00101408 string-utf8 sendfile
00101411 string-utf8 getopt_long
0010141d string-utf8 fstat
00101423 string-utf8 strncmp
0010142b string-utf8 geteuid
00101433 string-utf8 warnx
00101439 string-utf8 errx
0010143e string-utf8 rewinddir
00101448 string-utf8 __progname
00101453 string-utf8 __cxa_atexit
00101460 string-utf8 libsmartcols.so.1
00101472 string-utf8 libc.so.6
0010147c string-utf8 SMARTCOLS_2.25
0010148b string-utf8 GLIBC_2.3
00101495 string-utf8 GLIBC_2.25
001014a0 string-utf8 GLIBC_2.14
001014ab string-utf8 GLIBC_2.33
001014b6 string-utf8 GLIBC_2.8
001014c0 string-utf8 GLIBC_2.7
001014ca string-utf8 GLIBC_2.26
001014d5 string-utf8 GLIBC_2.4
001014df string-utf8 GLIBC_2.34
001014ea string-utf8 GLIBC_2.3.4
001014f6 string-utf8 GLIBC_2.38
00101501 string-utf8 GLIBC_2.2.5
0010e005 string $tI(knN/dev/watchdog0
0010e01b string /sys/dev/char/%u:%u
0010e02f string identity
0010e038 string unknown column: %s
0010e04b string sys-utils/wdctl.c
0010e05d string unknown flag: %s
0010e06e string write error
0010e07a string /usr/share/locale
0010e08c string util-linux
0010e09c string invalid timeout argument
0010e0b5 string invalid pretimeout argument
0010e0d1 string  Usage: 
0010e0da string  %s [options] [<device> ...] 
0010e0f8 string  Options: 
0010e103 string display version
0010e113 string display this help
0010e125 string  -V, --version
0010e134 string  -h, --help
0010e151 string The default device is %s. 
0010e16c string  Available output columns: 
0010e193 string  For more details see %s. 
0010e1b7 string %s from %s 
0010e1c3 string util-linux 2.41.3
0010e1d5 string f:g:hFnITp:o:s:OrVx
0010e1e9 string wd->devpath
0010e1f5 string cannot open %s
0010e204 string %s: failed to disarm watchdog
0010e222 string cannot set timeout for %s
0010e23c string cannot set pretimeout for %s
0010e259 string write failed
0010e266 string pretimeout_governor
0010e27a string fw_version
0010e288 string options
0010e290 string bootstatus
0010e29b string nowayout
0010e2a4 string timeleft
0010e2b1 string  VERSION="%x"
0010e2bf string  IDENTITY=
0010e2ca string \x%02x
0010e2d1 string  TIMEOUT="%i"
0010e2df string  PRETIMEOUT="%i"
0010e2f0 string  TIMELEFT="%i"
