001003ac TerminatedCString /lib64/ld-linux-x86-64.so.2
00101091 string-utf8 _ITM_deregisterTMCloneTable
001010ad string-utf8 __gmon_start__
001010bc string-utf8 _ITM_registerTMCloneTable
001010d6 string-utf8 compressBound
001010e4 string-utf8 uncompress2
001010f0 string-utf8 ZSTD_compress
001010fe string-utf8 ZSTD_decompress
0010110e string-utf8 ZSTD_isError
0010111b string-utf8 optind
00101122 string-utf8 strcpy
00101129 string-utf8 getpagesize
00101135 string-utf8 fchmod
0010113c string-utf8 lstat
00101142 string-utf8 stdin
00101148 string-utf8 __isoc23_strtoull
0010115a string-utf8 fopen64
00101162 string-utf8 ctime
00101168 string-utf8 perror
0010116f string-utf8 strncpy
00101177 string-utf8 sysconf
0010117f string-utf8 __realpath_chk
0010118e string-utf8 __strcpy_chk
0010119b string-utf8 __stack_chk_fail
001011ac string-utf8 __printf_chk
001011b9 string-utf8 free
001011be string-utf8 fread
001011c4 string-utf8 getrlimit
001011ce string-utf8 setrlimit
001011d8 string-utf8 __assert_fail
001011e6 string-utf8 getc
001011eb string-utf8 dlclose
001011f3 string-utf8 strdup
001011fa string-utf8 fcntl
00101200 string-utf8 fnmatch
00101208 string-utf8 closedir
00101211 string-utf8 strrchr
00101219 string-utf8 unlink
00101220 string-utf8 munmap
00101227 string-utf8 ferror
0010122e string-utf8 fflush
00101235 string-utf8 memmove
0010123d string-utf8 clearerr
00101246 string-utf8 fopen
0010124c string-utf8 __isoc23_sscanf
0010125c string-utf8 sbrk
00101261 string-utf8 mkdtemp
00101269 string-utf8 ftello64
00101272 string-utf8 strlen
00101279 string-utf8 __vasprintf_chk
00101289 string-utf8 __memcpy_chk
00101296 string-utf8 strstr
0010129d string-utf8 __vsprintf_chk
001012ac string-utf8 strnlen
001012b4 string-utf8 __strncpy_chk
001012c2 string-utf8 __vfprintf_chk
001012d1 string-utf8 __isoc23_strtol
001012e1 string-utf8 __vsnprintf_chk
001012f1 string-utf8 stdout
001012f8 string-utf8 mkstemp
00101300 string-utf8 umask
00101306 string-utf8 optarg
0010130d string-utf8 realloc
00101315 string-utf8 isatty
0010131c string-utf8 __sprintf_chk
0010132a string-utf8 strcat
00101331 string-utf8 _exit
00101337 string-utf8 strcasecmp
00101342 string-utf8 __fprintf_chk
00101350 string-utf8 malloc
00101357 string-utf8 __libc_start_main
00101369 string-utf8 stderr
00101370 string-utf8 fdopen
00101377 string-utf8 fprintf
0010137f string-utf8 memchr
00101386 string-utf8 strncasecmp
00101392 string-utf8 __strcat_chk
0010139f string-utf8 towlower
001013a8 string-utf8 dlsym
001013ae string-utf8 dlopen
001013b5 string-utf8 __cxa_finalize
001013c4 string-utf8 mkstemps
001013cd string-utf8 dlerror
001013d5 string-utf8 setlocale
001013df string-utf8 utimensat
001013e9 string-utf8 strchr
001013f0 string-utf8 ftell
001013f6 string-utf8 getgid
001013fd string-utf8 strerror
00101406 string-utf8 readdir
0010140e string-utf8 getenv
00101415 string-utf8 calloc
0010141c string-utf8 stpcpy
00101423 string-utf8 memcmp
0010142a string-utf8 fclose
00101431 string-utf8 memset
00101438 string-utf8 __isoc23_strtoul
00101449 string-utf8 fputc
0010144f string-utf8 fputs
00101455 string-utf8 opendir
0010145d string-utf8 __snprintf_chk
0010146c string-utf8 getuid
00101473 string-utf8 access
0010147a string-utf8 memcpy
00101481 string-utf8 fileno
00101488 string-utf8 getcwd
0010148f string-utf8 fwrite
00101496 string-utf8 fseeko64
0010149f string-utf8 strcmp
001014a6 string-utf8 qsort
001014ac string-utf8 fseek
001014b2 string-utf8 __errno_location
001014c3 string-utf8 abort
001014c9 string-utf8 getopt_long
001014d5 string-utf8 mmap
001014da string-utf8 lseek
001014e0 string-utf8 fstat
001014e6 string-utf8 strncmp
001014ee string-utf8 __environ
001014f8 string-utf8 __tls_get_addr
00101507 string-utf8 libz.so.1
00101511 string-utf8 libzstd.so.1
0010151e string-utf8 libc.so.6
00101528 string-utf8 ld-linux-x86-64.so.2
0010153d string-utf8 ZLIB_1.2.9
00101548 string-utf8 ZLIB_1.2.0
00101553 string-utf8 GLIBC_2.3
0010155d string-utf8 GLIBC_2.8
00101567 string-utf8 GLIBC_2.14
00101572 string-utf8 GLIBC_2.33
0010157d string-utf8 GLIBC_2.4
00101587 string-utf8 GLIBC_2.6
00101591 string-utf8 GLIBC_2.34
0010159c string-utf8 GLIBC_2.38
001015a7 string-utf8 GLIBC_2.2.5
001015b3 string-utf8 GLIBC_2.11
001015be string-utf8 GLIBC_2.3.4
00209010 string Syntax error in archive script, line %d 
00209040 string out of dynamic memory in yyensure_buffer_stack()
00209078 string out of dynamic memory in yy_create_buffer()
002090a8 string fatal flex scanner internal error--end of buffer missed
002090e0 string fatal error - scanner input buffer overflow
00209110 string out of dynamic memory in yy_get_next_buffer()
00209140 string fatal flex scanner internal error--no action found
00209178 string out of dynamic memory in yy_scan_buffer()
002091a8 string out of dynamic memory in yy_scan_bytes()
002091d8 string could not create temporary file whilst writing archive
00209210 string Usage: %s [emulation options] [-]{dmpqrstx}[abcDfilMNoOPsSTuvV] [--plugin <name>] [member-name] [count] archive-file file... 
00209290 string   d            - delete file(s) from the archive 
002092c8 string   m[ab]        - move file(s) in the archive 
002092f8 string   p            - print file(s) found in the archive 
00209330 string   q[f]         - quick append file(s) to the archive 
00209368 string   r[ab][f][u]  - replace existing or insert new file(s) into the archive 
002093b8 string   s            - act as ranlib 
002093d8 string   t[O][v]      - display contents of the archive 
00209410 string   x[o]         - extract file(s) from the archive 
00209448 string   [a]          - put file(s) after [member-name] 
00209480 string   [b]          - put file(s) before [member-name] (same as [i]) 
002094c8 string   [D]          - use zero for timestamps and uids/gids (default) 
00209510 string   [U]          - use actual timestamps and uids/gids 
00209548 string   [N]          - use instance [count] of name 
00209578 string   [f]          - truncate inserted file names 
002095a8 string   [P]          - use full path names when matching 
002095e0 string   [o]          - preserve original dates 
00209610 string   [O]          - display offsets of files in the archive 
00209650 string   [u]          - only replace files that are newer than current archive contents 
002096a8 string   [c]          - do not warn if the library had to be created 
002096e8 string   [s]          - create an archive index (cf. ranlib) 
00209720 string   [l <text> ]  - specify the dependencies of this library 
00209760 string   [S]          - do not build a symbol table 
00209790 string   [T]          - deprecated, use --thin instead 
002097c8 string   [V]          - display the version number 
002097f8 string   @<file>      - read options from <file> 
00209828 string   --target=BFDNAME - specify the target object format as BFDNAME 
00209870 string   --output=DIRNAME - specify the output directory for extraction operations 
002098c0 string   --record-libdeps=<text> - specify the dependencies of this library 
00209908 string   --thin       - make a thin archive 
00209930 string   --plugin <p> - load the specified plugin 
00209960 string <https://sourceware.org/bugzilla/>
00209988 string illegal output pathname for archive member: %s, using '%s' instead
002099d0 string Cannot convert existing library %s to thin format
00209a08 string Cannot convert existing thin library %s to normal format
00209a48 string fatal error: libbfd ABI mismatch
00209a70 string two different operation options specified
00209aa0 string libdeps specified more than once
00209ac8 string `u' is only meaningful with the `r' option.
00209af8 string `u' is not meaningful with the `D' option - replacement will always happen.
00209b48 string `u' modifier ignored since `D' is the default (see `U')
00209b80 string `N' is only meaningful with the `x' and `d' options.
00209bb8 string Value for `N' must be positive.
00209bd8 string `x' cannot be used on thin archives.
00209c00 string Cannot set libdeps record type to binary.
00209c30 string Cannot set libdeps object format.
00209c58 string Cannot make libdeps object writable.
00209c80 string Cannot make libdeps object readable.
00209ca8 string Cannot reset libdeps record type.
00209cd0 string internal error -- this option not implemented
00209d00 string %s: Can't open temporary file (%s) 
00209d28 string %s: Can't open output archive %s 
00209d50 string %s: Can't open input archive %s 
00209d78 string %s: file %s is not an archive 
00209d98 string %s: no output archive specified yet 
00209dc0 string %s: can't find module file %s 
00209de0 string unable to copy file '%s'; reason: %s
00209e08 string   No emulation specific options 
00209e30 string can't set BFD default target to `%s': %s
00209e60 string (GNU Binutils) 2.45.90.20260125
00209e80 string Warning: could not locate '%s'.  reason: %s
00209eb0 string Warning: '%s' is not an ordinary file
00209ed8 string Warning: '%s' has negative size, probably it is too large
00209f18 string Copyright (C) 2026 Free Software Foundation, Inc.
00209f50 string This program is free software; you may redistribute it under the terms of the GNU General Public License version 3 or (at your option) any later version. This program has absolutely no warranty.
0020a018 string %P: %pB(%s): error opening thin archive member: %E 
0020a050 string %pB: plugin needed to handle lto object
0020a078 string warning: writing archive was slow: rewriting timestamp
0020a0b0 string Reading archive file mod timestamp
0020a0d8 string Writing updated armap timestamp
0020a0f8 string %s: BFD %s internal error, aborting at %s:%d in %s 
0020a130 string %s: BFD %s internal error, aborting at %s:%d 
0020a160 string archive object file in wrong format
0020a188 string archive has no index; run ranlib to add one
0020a1b8 string nonrepresentable section on output
0020a1e0 string symbol needs debug section which does not exist
0020a210 string sorry, cannot handle this file
0020a230 string %pB: unable to get decompressed section %pA
0020a260 string %pB: mapped section %pA has non-NULL buffer
0020a290 string error: %pB(%pA) is too large (%#lx bytes)
0020a2c0 string warning: writing section `%pA' at huge (ie negative) file offset
0020a308 string %pB 64-bit address %#lx out of range for Intel Hex file
0020a340 string %pB: address %#lx out of range for Intel Hex file
0020a378 string %pB:%d: unexpected character `%s' in Intel Hex file
0020a3b0 string %pB: internal error in ihex_read_section
0020a3e0 string %pB: bad section length in ihex_read_section
0020a410 string %pB:%u: bad checksum in Intel Hex file (expected %u, found %u)
0020a450 string %pB:%u: bad extended address record length in Intel Hex file
0020a490 string %pB:%u: bad extended start address length in Intel Hex file
