001003ac TerminatedCString /lib64/ld-linux-x86-64.so.2
001011e1 string-utf8 _ITM_deregisterTMCloneTable
001011fd string-utf8 __gmon_start__
0010120c string-utf8 _ITM_registerTMCloneTable
00101226 string-utf8 zError
0010122d string-utf8 gzwrite
00101235 string-utf8 compressBound
00101243 string-utf8 uncompress
0010124e string-utf8 uncompress2
0010125a string-utf8 ZSTD_compress
00101268 string-utf8 ZSTD_decompress
00101278 string-utf8 ZSTD_isError
00101285 string-utf8 optind
0010128c string-utf8 tmpfile
00101294 string-utf8 strcpy
0010129b string-utf8 getpagesize
001012a7 string-utf8 snprintf
001012b0 string-utf8 lstat
001012b6 string-utf8 chmod
001012bc string-utf8 __isoc23_strtoull
001012ce string-utf8 fopen64
001012d6 string-utf8 ctime
001012dc string-utf8 strncpy
001012e4 string-utf8 sysconf
001012ec string-utf8 __realpath_chk
001012fb string-utf8 __strcpy_chk
00101308 string-utf8 qsort_r
00101310 string-utf8 __stack_chk_fail
00101321 string-utf8 __printf_chk
0010132e string-utf8 free
00101333 string-utf8 fread
00101339 string-utf8 getrlimit
00101343 string-utf8 setrlimit
0010134d string-utf8 msync
00101353 string-utf8 __assert_fail
00101361 string-utf8 getc
00101366 string-utf8 dlclose
0010136e string-utf8 strdup
00101375 string-utf8 fcntl
0010137b string-utf8 fnmatch
00101383 string-utf8 closedir
0010138c string-utf8 strspn
00101393 string-utf8 strrchr
0010139b string-utf8 putchar
001013a3 string-utf8 unlink
001013aa string-utf8 munmap
001013b1 string-utf8 ferror
001013b8 string-utf8 strpbrk
001013c0 string-utf8 fflush
001013c7 string-utf8 memmove
001013cf string-utf8 strtod
001013d6 string-utf8 fopen
001013dc string-utf8 __isoc23_sscanf
001013ec string-utf8 sbrk
001013f1 string-utf8 mkdtemp
001013f9 string-utf8 ftello64
00101402 string-utf8 strlen
00101409 string-utf8 __ctype_b_loc
00101417 string-utf8 __vasprintf_chk
00101427 string-utf8 __memcpy_chk
00101434 string-utf8 strstr
0010143b string-utf8 __vsprintf_chk
0010144a string-utf8 strnlen
00101452 string-utf8 __strncpy_chk
00101460 string-utf8 __vfprintf_chk
0010146f string-utf8 feof
00101474 string-utf8 __isoc23_strtol
00101484 string-utf8 __vsnprintf_chk
00101494 string-utf8 stdout
0010149b string-utf8 mkstemp
001014a3 string-utf8 umask
001014a9 string-utf8 optarg
001014b0 string-utf8 realloc
001014b8 string-utf8 isatty
001014bf string-utf8 __sprintf_chk
001014cd string-utf8 strcat
001014d4 string-utf8 _exit
001014da string-utf8 strcasecmp
001014e5 string-utf8 __fprintf_chk
001014f3 string-utf8 __fread_chk
001014ff string-utf8 strcspn
00101507 string-utf8 malloc
0010150e string-utf8 __libc_start_main
00101520 string-utf8 pread
00101526 string-utf8 stderr
0010152d string-utf8 fdopen
00101534 string-utf8 fprintf
0010153c string-utf8 memchr
00101543 string-utf8 strncasecmp
0010154f string-utf8 __strcat_chk
0010155c string-utf8 towlower
00101565 string-utf8 dlsym
0010156b string-utf8 dlopen
00101572 string-utf8 warn
00101577 string-utf8 __cxa_finalize
00101586 string-utf8 mkstemps
0010158f string-utf8 dlerror
00101597 string-utf8 setlocale
001015a1 string-utf8 strchr
001015a8 string-utf8 ftell
001015ae string-utf8 getgid
001015b5 string-utf8 strerror
001015be string-utf8 readdir
001015c6 string-utf8 getenv
001015cd string-utf8 calloc
001015d4 string-utf8 stpcpy
001015db string-utf8 memcmp
001015e2 string-utf8 fclose
001015e9 string-utf8 __asprintf_chk
001015f8 string-utf8 memset
001015ff string-utf8 __isoc23_strtoul
00101610 string-utf8 fputc
00101616 string-utf8 fputs
0010161c string-utf8 opendir
00101624 string-utf8 __snprintf_chk
00101633 string-utf8 getuid
0010163a string-utf8 access
00101641 string-utf8 memcpy
00101648 string-utf8 fileno
0010164f string-utf8 getcwd
00101656 string-utf8 fwrite
0010165d string-utf8 fseeko64
00101666 string-utf8 strcmp
0010166d string-utf8 qsort
00101673 string-utf8 fseek
00101679 string-utf8 __errno_location
0010168a string-utf8 abort
00101690 string-utf8 getopt_long
0010169c string-utf8 mmap
001016a1 string-utf8 lseek
001016a7 string-utf8 fstat
001016ad string-utf8 strncmp
001016b5 string-utf8 __environ
001016bf string-utf8 __tls_get_addr
001016ce string-utf8 libz.so.1
001016d8 string-utf8 libzstd.so.1
001016e5 string-utf8 libc.so.6
001016ef string-utf8 ld-linux-x86-64.so.2
00101704 string-utf8 ZLIB_1.2.9
0010170f string-utf8 ZLIB_1.2.0
0010171a string-utf8 GLIBC_2.3
00101724 string-utf8 GLIBC_2.7
0010172e string-utf8 GLIBC_2.14
00101739 string-utf8 GLIBC_2.8
00101743 string-utf8 GLIBC_2.33
0010174e string-utf8 GLIBC_2.4
00101758 string-utf8 GLIBC_2.34
00101763 string-utf8 GLIBC_2.38
0010176e string-utf8 GLIBC_2.2.5
0010177a string-utf8 GLIBC_2.11
00101785 string-utf8 GLIBC_2.3.4
002ae018 string Usage: %s <option(s)> <file(s)> 
002ae040 string  Display information from object <file(s)>. 
002ae070 string  At least one of the following switches must be given: 
002ae0a8 string   -a, --archive-headers    Display archive header information 
002ae0e8 string   -f, --file-headers       Display the contents of the overall file header 
002ae138 string   -p, --private-headers    Display object format specific file header contents 
002ae188 string   -P, --private=OPT,OPT... Display object format specific contents 
002ae1d0 string   -h, --[section-]headers  Display the contents of the section headers 
002ae218 string   -x, --all-headers        Display the contents of all headers 
002ae258 string   -d, --disassemble        Display assembler contents of executable sections 
002ae2a8 string   -D, --disassemble-all    Display assembler contents of all sections 
002ae2f0 string       --disassemble=<sym>  Display assembler contents from <sym> 
002ae338 string   -S, --source             Intermix source code with disassembly 
002ae380 string       --source-comment[=<txt>] Prefix lines of source code with <txt> 
002ae3c8 string   -s, --full-contents      Display the full contents of all sections requested 
