00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
001022e1 string-utf8 FT_Get_Advance
001022f0 string-utf8 FT_Load_Sfnt_Table
00102303 string-utf8 FT_Load_Glyph
00102311 string-utf8 __gmon_start__
00102320 string-utf8 gr_seg_first_slot
00102332 string-utf8 gr_make_seg
0010233e string-utf8 _ITM_deregisterTMCloneTable
0010235a string-utf8 gr_seg_destroy
00102369 string-utf8 _ITM_registerTMCloneTable
00102383 string-utf8 FT_Face_GetCharVariantIndex
0010239f string-utf8 gr_face_featureval_for_lang
001023bb string-utf8 FT_Get_Name_Index
001023cd string-utf8 FT_Get_Kerning
001023dc string-utf8 gr_slot_next_in_segment
001023f4 string-utf8 FT_New_Face
00102400 string-utf8 FT_Get_Char_Index
00102412 string-utf8 gr_fref_set_feature_value
0010242c string-utf8 gr_face_find_fref
0010243e string-utf8 FT_Get_Glyph_Name
00102450 string-utf8 FT_Done_Face
0010245d string-utf8 hb_buffer_set_language
00102474 string-utf8 hb_font_funcs_set_glyph_h_kerning_func
0010249b string-utf8 hb_blob_create
001024aa string-utf8 hb_version_string
001024bc string-utf8 hb_ot_math_get_min_connector_overlap
001024e1 string-utf8 hb_shape_plan_create_cached
001024fd string-utf8 hb_ot_math_get_glyph_assembly
0010251b string-utf8 hb_buffer_get_segment_properties
0010253c string-utf8 hb_shape_plan_get_shaper
00102555 string-utf8 hb_font_funcs_set_glyph_h_advance_func
0010257c string-utf8 hb_font_funcs_set_glyph_h_origin_func
001025a2 string-utf8 hb_font_get_face
001025b3 string-utf8 hb_language_from_string
001025cb string-utf8 hb_buffer_get_glyph_positions
001025e9 string-utf8 hb_graphite2_font_get_gr_font
00102607 string-utf8 hb_font_set_scale
00102619 string-utf8 hb_buffer_set_direction
00102631 string-utf8 hb_buffer_get_length
00102646 string-utf8 hb_ot_math_get_glyph_italics_correction
0010266e string-utf8 hb_ot_math_get_constant
00102686 string-utf8 hb_ot_layout_get_size_params
001026a3 string-utf8 hb_face_destroy
001026b3 string-utf8 hb_ot_layout_table_get_script_tags
001026d6 string-utf8 hb_buffer_get_glyph_infos
001026f0 string-utf8 hb_font_create
001026ff string-utf8 hb_buffer_add_utf16
00102713 string-utf8 hb_font_funcs_set_glyph_v_origin_func
00102739 string-utf8 hb_font_funcs_set_glyph_func
00102756 string-utf8 hb_ot_math_get_glyph_variants
00102774 string-utf8 hb_graphite2_face_get_gr_face
00102792 string-utf8 hb_font_funcs_set_glyph_extents_func
001027b7 string-utf8 hb_font_funcs_create
001027cc string-utf8 hb_font_funcs_set_glyph_v_kerning_func
001027f3 string-utf8 hb_tag_from_string
00102806 string-utf8 hb_ot_tag_to_language
0010281c string-utf8 hb_face_set_upem
0010282d string-utf8 hb_face_set_index
0010283f string-utf8 hb_buffer_destroy
00102851 string-utf8 hb_font_funcs_set_glyph_contour_point_func
0010287c string-utf8 hb_font_destroy
