001003ac TerminatedCString /lib64/ld-linux-x86-64.so.2
00101291 string-utf8 __gmon_start__
001012a0 string-utf8 _ITM_deregisterTMCloneTable
001012bc string-utf8 _ITM_registerTMCloneTable
001012d6 string-utf8 g_hash_table_new_full
001012ec string-utf8 g_source_add_poll
001012fe string-utf8 g_get_application_name
00101315 string-utf8 g_option_context_add_main_entries
00101337 string-utf8 g_strdup
00101340 string-utf8 g_bytes_unref
0010134e string-utf8 g_ptr_array_unref
00101360 string-utf8 g_strjoinv
0010136b string-utf8 g_option_context_set_summary
00101388 string-utf8 g_ptr_array_remove_index_fast
001013a6 string-utf8 g_ptr_array_add
001013b6 string-utf8 g_clear_error
001013c4 string-utf8 g_main_loop_run
001013d4 string-utf8 g_main_loop_unref
001013e6 string-utf8 g_once_init_enter_pointer
00101400 string-utf8 g_log
00101406 string-utf8 g_set_prgname
00101414 string-utf8 g_malloc0
0010141e string-utf8 g_ptr_array_foreach
00101432 string-utf8 g_once_init_leave_pointer
0010144c string-utf8 g_ptr_array_new
0010145c string-utf8 g_print
00101464 string-utf8 g_main_loop_new
00101474 string-utf8 g_free
0010147b string-utf8 g_build_filename
0010148c string-utf8 g_error_matches
0010149c string-utf8 g_assertion_message_expr
001014b5 string-utf8 g_unix_signal_add
001014c7 string-utf8 g_bytes_get_data
001014d8 string-utf8 g_hash_table_unref
001014eb string-utf8 g_hash_table_insert
001014ff string-utf8 g_source_attach
0010150f string-utf8 g_option_context_new
00101524 string-utf8 g_option_context_free
0010153a string-utf8 g_option_context_parse
00101551 string-utf8 g_main_loop_quit
00101562 string-utf8 g_get_prgname
00101570 string-utf8 g_source_new
0010157d string-utf8 g_str_hash
00101588 string-utf8 g_bytes_new_with_free_func
001015a3 string-utf8 g_source_unref
001015b2 string-utf8 g_ptr_array_new_full
001015c7 string-utf8 g_strdup_printf
001015d7 string-utf8 g_bytes_get_size
001015e8 string-utf8 g_intern_static_string
001015ff string-utf8 g_str_equal
0010160b string-utf8 g_source_set_name
0010161d string-utf8 g_get_user_data_dir
00101631 string-utf8 g_error_free
0010163e string-utf8 XGetErrorText
0010164c string-utf8 XDeleteProperty
0010165c string-utf8 XNextEvent
00101667 string-utf8 XFree
0010166d string-utf8 XInternAtom
00101679 string-utf8 XChangeProperty
00101689 string-utf8 XGetAtomName
00101696 string-utf8 XPending
0010169f string-utf8 XDisplayName
001016ac string-utf8 XOpenDisplay
001016b9 string-utf8 XCloseDisplay
001016c7 string-utf8 XRRFreeGamma
001016d4 string-utf8 XRRGetOutputProperty
001016e9 string-utf8 XRRFreeOutputInfo
001016fb string-utf8 XRRGetScreenResources
00101711 string-utf8 XRRQueryVersion
00101721 string-utf8 XRRGetOutputInfo
00101732 string-utf8 XRRSelectInput
00101741 string-utf8 XRRAllocGamma
0010174f string-utf8 XRRGetCrtcGammaSize
00101763 string-utf8 XRRGetOutputPrimary
00101777 string-utf8 XRRQueryExtension
00101789 string-utf8 XRRFreeScreenResources
001017a0 string-utf8 XRRGetCrtcGamma
001017b0 string-utf8 XRRSetCrtcGamma
001017c0 string-utf8 g_param_spec_string
001017d4 string-utf8 g_signal_emit
001017e2 string-utf8 g_type_add_instance_private
001017fe string-utf8 g_object_unref
0010180d string-utf8 g_object_class_install_property
0010182d string-utf8 g_object_new
0010183a string-utf8 g_object_ref
00101847 string-utf8 g_signal_new
00101854 string-utf8 g_signal_connect_data
0010186a string-utf8 g_type_register_static_simple
00101888 string-utf8 g_file_get_path
00101898 string-utf8 g_file_new_for_path
001018ac string-utf8 g_type_class_peek_parent
001018c5 string-utf8 g_type_class_adjust_private_offset
001018e8 string-utf8 cd_icc_store_search_kind
00101901 string-utf8 cd_icc_save_file
00101912 string-utf8 cd_client_find_profile_sync
0010192e string-utf8 cd_icc_new
00101939 string-utf8 cd_device_add_profile
0010194f string-utf8 cd_client_get_devices_by_kind
0010196d string-utf8 cd_icc_load_file
0010197e string-utf8 cd_profile_connect_sync
00101996 string-utf8 cd_client_new
001019a4 string-utf8 cd_device_connect_finish
001019bd string-utf8 cd_icc_store_new
001019ce string-utf8 cd_icc_get_filename
001019e2 string-utf8 cd_profile_get_id
001019f4 string-utf8 cd_edid_get_monitor_name
00101a0d string-utf8 cd_icc_set_kind
00101a1d string-utf8 cd_device_error_quark
00101a33 string-utf8 cd_profile_connect
00101a46 string-utf8 cd_device_get_default_profile
00101a64 string-utf8 cd_client_connect
00101a76 string-utf8 cd_icc_get_vcgt
00101a86 string-utf8 cd_device_mode_to_string
00101a9f string-utf8 cd_edid_get_checksum
00101ab4 string-utf8 cd_edid_get_serial_number
00101ace string-utf8 cd_client_get_profiles_finish
00101aec string-utf8 cd_device_connect
00101afe string-utf8 cd_icc_store_set_load_flags
00101b1a string-utf8 cd_profile_get_metadata_item
00101b37 string-utf8 cd_icc_create_from_edid_data
00101b54 string-utf8 cd_client_create_profile
00101b6d string-utf8 cd_client_error_quark
00101b83 string-utf8 cd_client_connect_finish
00101b9c string-utf8 cd_device_get_id
00101bad string-utf8 cd_client_delete_device
00101bc5 string-utf8 cd_client_create_device_finish
00101be4 string-utf8 cd_icc_store_find_by_filename
00101c02 string-utf8 cd_client_get_devices_finish
00101c1f string-utf8 cd_client_delete_profile_finish
00101c3f string-utf8 cd_client_delete_device_finish
00101c5e string-utf8 cd_device_kind_to_string
00101c77 string-utf8 cd_icc_get_checksum
00101c8b string-utf8 cd_client_create_device
00101ca3 string-utf8 cd_client_create_profile_finish
00101cc3 string-utf8 cd_edid_get_vendor_name
00101cdb string-utf8 cd_device_add_profile_finish
00101cf8 string-utf8 cd_edid_parse
00101d06 string-utf8 cd_icc_save_data
00101d17 string-utf8 cd_client_delete_profile
00101d30 string-utf8 cd_icc_add_metadata
00101d44 string-utf8 cd_colorspace_to_string
00101d5c string-utf8 cd_profile_connect_finish
00101d76 string-utf8 cd_client_get_profiles
00101d8d string-utf8 cd_device_get_kind
00101da0 string-utf8 cd_client_find_device_sync
00101dbb string-utf8 cd_device_connect_sync
00101dd2 string-utf8 cd_profile_load_icc
00101de6 string-utf8 cd_edid_new
00101df2 string-utf8 g_value_get_string
00101e05 string-utf8 __stack_chk_fail
00101e16 string-utf8 exit
00101e1b string-utf8 strlen
00101e22 string-utf8 __libc_start_main
00101e34 string-utf8 __cxa_finalize
00101e43 string-utf8 strcmp
00101e4a string-utf8 strncmp
00101e52 string-utf8 libglib-2.0.so.0
00101e63 string-utf8 libX11.so.6
00101e6f string-utf8 libXrandr.so.2
00101e7e string-utf8 libcolord.so.2
00101e8d string-utf8 libgio-2.0.so.0
00101e9d string-utf8 libgobject-2.0.so.0
00101eb1 string-utf8 libc.so.6
00101ebb string-utf8 GLIBC_2.34
00101ec6 string-utf8 GLIBC_2.4
00101ed0 string-utf8 GLIBC_2.2.5
00108008 string CD_CLIENT (src) == daemon->cli
00108030 string Failed to connect to colord: %s
00108050 string unable to watch profile store: %s
00108078 string Failed to get profile list: %s
00108098 string unable to connect to profile: %s
001080c0 string unable to connect to device: %s
001080e0 string unable to add device profile: %s
00108108 string device %s not found so not changed: %s
00108130 string ignoring device %s: not a display 
00108158 string loading profile '%s' for display %s
00108180 string can't get profile for display %s: %s
001081a8 string unloading profile for display %s
001081d0 string device %s not found so not removed: %s
001081f8 string failed to create colord device: %s
00108220 string profile for edid %s already exists
00108248 string profile for EDID %s was not created
00108270 string profile not found so not removed: %s: %s
001082a0 string Generates a default color profile based on the display model
001082e0 string vcgt->len == (guint) gamma->size
00108308 string unable to create profile from EDID: %s
00108330 string XRRGetScreenResources() failed at screen %i
00108360 string RandR extension is not working on display %s
00108390 string RandR %i.%i found on display %s but 1.3 is needed
001083c8 string XRRAllocGamma() failed at output %s
001083f0 string setting _ICC_PROFILE for display %s
00108414 string src/xiccd.c
00108420 string profile-added
0010842e string device-added
0010843b string device-changed
0010844a string display-added
00108458 string display-removed
00108468 string display-changed
00108478 string EDID_md5
00108481 string profile %s matches display %s
0010849f string unable to find device %s: %s
001084bc string Failed to get device list: %s
001084da string conn == daemon->rcon
001084ef string changed display: '%s'
00108505 string daemon->cli != NULL
00108519 string device '%s' does not exist
00108534 string (none)
0010853b string stor == daemon->stor
00108550 string icc-%s
00108557 string Filename
00108560 string FILE_checksum
0010856e string unable to create profile: %s
0010858b string removed display: '%s'
001085a1 string primary
001085a9 string secondary
001085b3 string added display: '%s'
001085c7 string edid-%s.icc
001085d3 string WRITING profile for EDID %s
001085ef string unable to write file %s: %s
00108615 string Colorspace
00108620 string Vendor
00108627 string Model
0010862d string Serial
00108634 string XRANDR_name
00108640 string OutputPriority
0010864f string OutputEdidMd5
0010865d string Embedded
00108666 string 0.4.1
0010866c string %s - Version %s 
0010867d string client == daemon->cli
00108693 string unable to remove profile: %s
001086b0 string device not removed: %s
001086c7 string xiccd
001086cd string X color management daemon
001086e7 string Exiting
001086ef string Show version
001086fc string Uses a specific display
00108719 string ICC profile has no VCGT
00108731 string src/icc.c
0010873b string CMF_product
00108747 string CMF_binary
00108752 string CMF_version
0010875e string RandrConn
00108768 string display_added
00108776 string display_removed
00108786 string display_changed
00108796 string X Display
001087a0 string X error: %s: %s
001087b0 string XRRGetOutputInfo() failed
001087ca string Panel
001087d0 string unable to parse ICC: %s
001087e8 string xrandr
001087f1 string RandrSource
001087fd string opening display %s
00108810 string Can't open display: %s
0010882c string ConnectorType
0010883a string unable to get ICC data: %s
00108855 string Gamma size is %i at output %s
00108873 string _ICC_PROFILE
00108880 string XChangeProperty()
00108892 string XDeleteProperty()
001088c0 string cd_profile_added_sig
001088e0 string cd_device_added_sig
00108900 string cd_device_changed_sig
00108920 string cd_create_device_cb
00108940 string randr_display_added_sig
00108960 string cd_device_remove_cb
00108980 string randr_display_removed_sig
001089a0 string randr_display_changed_sig
001089c0 string cd_client_create_profile_cb
001089e0 string cd_icc_store_file_added_sig
00108a00 string cd_client_delete_profile_cb
00108a20 string cd_icc_store_file_removed_sig
00108a40 string cd_existing_devices_cb
00108a60 string cd_existing_profiles_cb
00108a78 string cd_connect_cb
00108a88 string icc_to_gamma
00108c71 string zR
00108ca1 string zR
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .sframe
.shstrtab::000000b3 string-utf8 .note.gnu.property
.shstrtab::000000c6 string-utf8 .note.ABI-tag
.shstrtab::000000d4 string-utf8 .init_array
.shstrtab::000000e0 string-utf8 .fini_array
.shstrtab::000000ec string-utf8 .data.rel.ro
.shstrtab::000000f9 string-utf8 .dynamic
.shstrtab::00000102 string-utf8 .data
.shstrtab::00000108 string-utf8 .bss
.shstrtab::0000010d string-utf8 .gnu_debuglink
