00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
001006c9 string-utf8 objc_get_class
001006d8 string-utf8 objc_msg_lookup
001006e8 string-utf8 __objc_exec_class
001006fa string-utf8 _ITM_deregisterTMCloneTable
00100716 string-utf8 __gmon_start__
00100725 string-utf8 _ITM_registerTMCloneTable
0010073f string-utf8 __objc_class_name_NSProcessInfo
0010075f string-utf8 NSLog
00100765 string-utf8 __objc_class_name_NSString
00100780 string-utf8 __objc_class_name_NSConstantString
001007a3 string-utf8 GSPrintf
001007ac string-utf8 __objc_class_name_NSAutoreleasePool
001007d0 string-utf8 __objc_class_name_GSXMLParser
001007ee string-utf8 fgets
001007f4 string-utf8 stdin
001007fa string-utf8 __stack_chk_fail
0010080b string-utf8 exit
00100810 string-utf8 strlen
00100817 string-utf8 stdout
0010081e string-utf8 __libc_start_main
00100830 string-utf8 __cxa_finalize
0010083f string-utf8 libgnustep-base.so.1.31
00100857 string-utf8 libobjc.so.4
00100864 string-utf8 libc.so.6
0010086e string-utf8 __data_start
0010087b string-utf8 __bss_start
00100887 string-utf8 _end
0010088c string-utf8 _edata
00100893 string-utf8 __objc_class_name_GSXMLParse
001008b0 string-utf8 _IO_stdin_used
001008bf string-utf8 GLIBC_2.34
001008ca string-utf8 GLIBC_2.4
001008d4 string-utf8 GLIBC_2.2.5
00103004 string NSString
0010300d string NSAutoreleasePool
0010301f string NSProcessInfo
0010302d string GSXMLParse
00103038 string Document is %@
00103047 string Errors: %@
00103058 string WARNING %@ is not a valid document
00103080 string unable to get process information!
001030a8 string Enter filename to load entity '%@' at '%@': 
00103121 string zR
00103151 string zR
00105010 string Vv16@0:8
00105019 string C16@0:8
00105021 string v20@0:8C16
0010502c string C20@0:8C16
00105037 string @24@0:8@16
00105042 string @24@0:8Q16
0010504d string Q16@0:8
00105055 string @16@0:8
0010505d string @24@0:8r*16
00105069 string @32@0:8@16@24
00105077 string release
00105089 string document
00105092 string messages
0010509b string parse
001050a1 string saveMessages:
001050af string keepBlanks:
001050bb string doValidityChecking:
001050cf string substituteEntities:
001050e3 string parserWithContentsOfFile:
001050fd string objectAtIndex:
0010510c string count
00105112 string arguments
0010511c string processInfo
0010512c string stringWithUTF8String:
00105142 string loadEntity:at:
00105151 string NSObject
0010515a string GSXMLParser
00105166 string GSXMLParse
00105171 string NSConstantString
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/gnustep-base-runtime.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .note.gnu.property
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
.shstrtab::000000f8 string-utf8 .gnu_debugaltlink
.shstrtab::0000010a string-utf8 .gnu_debuglink
